record_date,rain,temp,rhum,msl
2018-01-01 00:00:00,0.0,4.6,82,991.0
2018-01-01 01:00:00,0.1,4.7,81,991.1
2018-01-01 02:00:00,0.0,4.8,81,991.1
2018-01-01 03:00:00,0.0,4.9,82,990.7
2018-01-01 04:00:00,0.0,5.3,81,990.3
2018-01-01 05:00:00,0.0,5.1,80,990.0
2018-01-01 06:00:00,0.0,5.0,80,990.9
2018-01-01 07:00:00,0.0,4.6,82,991.2
2018-01-01 08:00:00,0.0,4.3,84,991.8
2018-01-01 09:00:00,0.0,4.5,83,992.4
2018-01-01 10:00:00,0.0,5.6,79,992.9
2018-01-01 11:00:00,0.0,6.7,77,994.1
2018-01-01 12:00:00,0.0,7.5,73,994.8
2018-01-01 13:00:00,0.2,7.3,78,996.1
2018-01-01 14:00:00,0.1,6.4,81,998.3
2018-01-01 15:00:00,0.0,7.3,75,1000.1
2018-01-01 16:00:00,0.0,6.7,74,1001.9
2018-01-01 17:00:00,0.0,6.1,78,1003.6
2018-01-01 18:00:00,0.0,5.7,81,1004.9
2018-01-01 19:00:00,0.0,5.7,81,1006.2
2018-01-01 20:00:00,0.0,5.0,79,1007.4
2018-01-01 21:00:00,0.0,4.2,79,1007.8
2018-01-01 22:00:00,0.0,3.7,78,1008.5
2018-01-01 23:00:00,0.0,3.6,79,1008.8
2018-01-02 00:00:00,0.0,3.8,76,1008.9
2018-01-02 01:00:00,0.0,4.1,73,1008.5
2018-01-02 02:00:00,0.0,4.5,72,1008.2
2018-01-02 03:00:00,0.0,4.6,72,1007.6
2018-01-02 04:00:00,0.0,4.8,73,1005.8
2018-01-02 05:00:00,0.0,5.2,76,1004.6
2018-01-02 06:00:00,0.5,5.8,87,1003.3
2018-01-02 07:00:00,0.8,6.4,89,999.8
2018-01-02 08:00:00,0.1,8.3,83,998.8
2018-01-02 09:00:00,0.5,8.9,88,998.1
2018-01-02 10:00:00,0.0,9.0,86,997.9
2018-01-02 11:00:00,0.0,9.9,82,997.8
2018-01-02 12:00:00,0.0,10.0,78,998.0
2018-01-02 13:00:00,0.0,10.2,76,997.1
2018-01-02 14:00:00,0.0,9.8,78,996.9
2018-01-02 15:00:00,0.7,8.9,85,995.2
