segment,count,mean,std,mae,rmse,r2
10_12,829,134.0,70.0,29.43113532623915,38.24462930491896,0.19125230659087966
100_1111,725,45.0,25.0,14.273189381446711,17.951327818988368,0.17512469522986418
1005_1788,228,54.0,24.0,15.162971925780017,18.67432210002017,0.10150829997957211
1013_1015,289,83.0,40.0,21.57275208023484,29.13144775938567,0.13982974494877398
1015_1016,20,156.0,54.0,35.90509269892179,46.81703380803671,-0.2622576389525999
1015_2812,265,85.0,45.0,27.01231762451093,32.93927257149423,0.16181683984924222
1016_1017,3271,74.0,44.0,26.619641689853776,32.66182089747919,0.026306087221580232
1017_1018,3265,46.0,46.0,18.221876081202105,27.675824035171054,0.1026065614056001
1018_1019,3261,32.0,22.0,13.487350935856542,16.839954925222077,0.0745568842099339
1019_1020,3278,39.0,20.0,13.465435071678817,16.602544970994618,0.11076396721506798
102_6239,564,34.0,11.0,8.470767251402298,9.92662250812796,0.06126809907773967
1020_1076,3290,56.0,21.0,14.220365623300982,18.46187484111363,0.07085299959438363
1021_6042,551,34.0,14.0,9.841693114830221,12.68292109755345,0.02790073873845722
1022_1023,553,39.0,51.0,9.901554544842451,13.124932708176066,-0.09053258174441181
1023_1024,551,37.0,94.0,12.574306738713169,17.82200802832759,0.015152962346386634
1024_895,546,75.0,113.0,23.37967008239596,36.76778221795296,0.04427417770014408
1025_1026,72,88.0,56.0,30.641674163001184,36.86583789458875,-0.13871080329737406
1026_1027,72,33.0,24.0,10.809229453536371,12.837950582109775,-0.40344008155750566
1027_1028,73,25.0,26.0,11.236834017260154,14.055912896878384,-0.15599023132696677
1028_2818,74,171.0,73.0,44.146705595582624,49.576832313822436,-0.3704325682562355
1035_1314,360,51.0,19.0,12.971156032761412,15.798218874791866,0.11507299631859447
1036_4709,381,34.0,17.0,12.135070896179508,15.791369651666995,0.05923672251496803
1037_1038,387,34.0,22.0,12.013114810260742,14.896969411628707,0.0976808524373236
1038_2998,380,79.0,22.0,13.696979178967426,17.845794709340765,0.13256466687023405
104_6241,574,59.0,36.0,9.915239213322334,12.954356920236139,0.04480050074919284
1042_1043,450,91.0,25.0,16.738296739669988,21.291046297804538,0.09144157459541247
1043_1044,454,37.0,13.0,8.874971580306,11.78051805915301,0.06746426316927823
1044_1045,451,19.0,10.0,6.597332504604881,8.448287612847873,0.056004105434526275
1045_4710,454,41.0,32.0,9.681770021246445,12.001924656136381,0.019404816548624693
1046_1047,452,67.0,12.0,8.913821531121808,10.998888455984968,-0.01246333583793735
1047_1048,452,66.0,24.0,16.60910705408752,21.638592627031777,0.07210077003808246
1048_1049,449,41.0,11.0,8.956905078299354,10.564061102346468,0.049329221999946604
1049_4333,452,49.0,12.0,10.059753491200487,11.868067954588595,0.060011432237957796
105_6253,507,33.0,14.0,9.538680825485837,11.505288004552082,0.0965324063737012
1051_1052,379,35.0,15.0,10.969789003200976,12.961202370415581,0.06621090774100846
1052_1053,381,67.0,30.0,16.645034258122063,20.492962063174126,0.10718773344418764
1053_1054,382,62.0,25.0,10.55567588959882,13.314761109396224,-0.1503479151847642
1054_1036,377,89.0,38.0,26.998478335216188,33.26246639836555,-0.06076612196868658
1055_2868,359,65.0,32.0,14.75944501084889,19.23918705380786,0.012555674249806636
1062_1063,48,38.0,28.0,15.558652417966437,22.0578647599434,0.07432210793643079
1063_1064,48,56.0,31.0,19.79047303138392,23.422292662306596,0.01969315338102573
1064_1065,51,48.0,17.0,11.670389035625982,15.286794369586577,0.021464220338146878
1065_1066,51,69.0,32.0,22.827770532022193,26.162121120814803,-0.2988558450438832
1066_1067,51,79.0,40.0,21.762227617551723,25.086602954303086,-0.2750762767014643
1067_1068,595,67.0,35.0,13.172633182128276,17.313432447429754,0.17829941649505177
1068_1069,591,129.0,50.0,30.99111590989969,39.12215381400112,0.18753158322542374
1069_1070,3146,55.0,23.0,16.07454741254878,20.04295241308438,0.0812344332707935
107_6125,474,69.0,20.0,13.638261232003718,16.960784166539344,0.1051843167093991
1070_1071,3138,64.0,25.0,17.34552225709721,21.95978631519588,0.1451515501372892
1071_4528,3146,35.0,18.0,12.04671008718908,14.95654751107595,0.10748997563903562
1072_1352,778,127.0,69.0,30.27824596153114,43.02126075399931,0.16575321237653418
1072_7577,2330,122.0,48.0,28.953830314106572,41.36423782127889,0.13450930901128733
1073_3641,245,75.0,26.0,18.444749540032383,22.60146895566987,0.09158995406392267
1074_6074,261,156.0,49.0,36.78479796858528,45.5764803550682,0.12770138418609078
1076_1021,554,66.0,21.0,14.66034529684957,18.692157747056008,0.08669934776388499
1076_1077,2740,69.0,24.0,16.126214994652727,20.645565209688012,0.0741476411437586
1077_1078,2248,55.0,18.0,12.52774796684268,15.92253319121936,0.01598287316367586
1077_2479,797,91.0,29.0,19.978760084261992,25.023876100985046,0.0630761940190947
1078_1079,2244,57.0,27.0,16.434486553477004,20.399870010641614,0.13215484333791072
1079_1080,2226,33.0,20.0,11.02085018938333,13.295536106783153,0.02129236401113177
1080_1081,2218,53.0,38.0,18.88527066056553,26.267351663686476,0.10887611493760951
1081_1082,1326,73.0,36.0,25.05019197694409,30.36361030404586,0.18101134269142372
1081_2914,929,73.0,30.0,22.156824517217093,26.84057916513094,0.13421285033524322
