segment,count,mean,std,mae,rmse,r2
10_12,773,136.0,93.0,33.84011493108813,44.345826417033365,0.19576066388313484
100_1111,629,40.0,19.0,12.194524097303754,15.501219128789057,0.1272948761529129
1005_1788,246,45.0,17.0,11.309562324285212,14.054988803587685,0.11029492535298502
1013_1015,309,83.0,31.0,23.53785293090178,29.61471297311931,0.13866199475743024
1015_1016,23,139.0,37.0,31.627337961991103,35.17469732032868,-0.10834366823716701
1015_2812,286,80.0,37.0,26.40698506601842,32.41539363761326,0.08327343720017932
1016_1017,3342,69.0,33.0,25.38243269686004,30.30966021924504,0.04923849302173566
1017_1018,3307,37.0,23.0,11.823456143546863,15.384707370915288,0.08366187858354213
1018_1019,3358,28.0,17.0,11.667671984442327,14.276441232524977,0.057488007610070224
1019_1020,3403,36.0,17.0,12.482730069702662,15.183970618812923,0.09351155327173566
102_6239,553,33.0,12.0,8.348882019222474,9.79062058724634,0.033886223452673225
1020_1076,3410,53.0,20.0,13.669623475857684,17.49808838430305,0.13090620812981602
1021_6042,635,32.0,13.0,9.20230453708153,11.686655089076824,0.06355591716989961
1022_1023,642,35.0,48.0,8.561677610760814,11.088465622160548,0.025970462479396828
1023_1024,639,29.0,20.0,11.530065393688018,13.467511093547982,0.025976075988421332
1024_895,633,65.0,134.0,18.696745014494617,33.544827350541446,-0.013841773938409352
1025_1026,63,75.0,33.0,22.951444299607854,28.9229671151984,0.0038315662038468368
1026_1027,60,23.0,13.0,7.402352824333723,8.494247268410554,-0.018236475541915542
1027_1028,63,15.0,7.0,3.9050556477345615,5.3264115084692465,0.0016566381422965515
1028_2818,63,151.0,48.0,40.73625099854014,52.53166532459684,-0.04574040078982322
1035_1314,409,49.0,19.0,13.195000998614852,16.12276322735181,0.095434109546357
1036_4709,446,32.0,16.0,11.800690951856394,15.086421113802926,0.09738737336419512
1037_1038,448,34.0,17.0,11.818544051727343,14.484609285858486,0.13877303721462797
1038_2998,445,79.0,21.0,14.08538904218568,18.62747719968516,0.15563631944691259
104_6241,560,59.0,45.0,10.974467763482693,14.702251679146505,-0.038682979128263684
1042_1043,437,89.0,26.0,16.04683926250816,21.46574005915206,0.0898476559616479
1043_1044,444,37.0,12.0,8.356587109789041,11.333178672297317,0.09311606006703366
1044_1045,445,19.0,10.0,6.941725788121495,8.585631430290448,0.030745940693680973
1045_4710,443,38.0,11.0,8.144384817955139,9.87265071164995,0.07918091426361284
1046_1047,446,67.0,12.0,8.816147237486375,11.042219625142126,-0.01965546404605245
1047_1048,441,63.0,24.0,17.12536928846418,21.27938592338913,0.10840099060636277
1048_1049,445,41.0,12.0,9.154451240642118,10.84502472191721,0.07882720299591184
1049_4333,443,49.0,12.0,9.859276189374095,11.696356818960423,0.07954621293947717
105_6253,490,33.0,14.0,10.111244336386209,12.639351647708786,0.08183801609646868
1051_1052,436,35.0,15.0,10.880917249968924,13.067723294140537,0.06788875777252057
1052_1053,442,65.0,23.0,17.629653394079646,21.561224231789836,0.12701528516180205
1053_1054,439,62.0,13.0,9.503447018771112,11.746236026945294,-0.005641203617349433
1054_1036,442,87.0,31.0,25.225443788407365,30.806910734133126,-0.04881434167901122
1055_2868,421,58.0,21.0,12.326628258282152,16.14778472266919,0.048708310871896865
1062_1063,66,32.0,23.0,16.92372678419429,20.83962803009802,0.04495200695196666
1063_1064,68,47.0,28.0,23.454121677571635,28.067212286054144,-0.0006060009532438126
1064_1065,68,45.0,18.0,15.83571747856386,18.873592925454226,0.016436462112453865
1065_1066,68,64.0,26.0,21.466196878199554,24.60957926847608,-0.049547568168091916
1066_1067,68,54.0,15.0,12.726097047905752,15.196249168225831,0.002370489974029555
1067_1068,579,63.0,23.0,14.07000414596315,18.086085768822592,0.08706050381142083
1068_1069,581,122.0,46.0,33.014143854903054,42.61265644482832,0.12965483407060685
1069_1070,3380,54.0,50.0,16.327609976844162,21.352961949027975,0.09169757693119795
107_6125,484,69.0,20.0,14.528275110573157,18.413629046415252,0.06606410782394156
1070_1071,3339,60.0,24.0,16.016828647413888,19.971998709026693,0.08000793408937701
1071_4528,3347,33.0,16.0,11.455896366496926,14.120183604811189,0.04462695347613799
1072_1352,758,119.0,65.0,26.809577205703086,38.51490397403198,0.035003908772691994
1072_7577,2433,114.0,44.0,25.104861068524546,35.761824098544956,0.05121543258473482
1073_3641,289,79.0,30.0,19.454534597720357,24.165226204770963,0.0518900767574525
1074_6074,294,150.0,47.0,37.12120185247979,45.93828828305662,0.018277124792439037
1076_1021,636,65.0,21.0,15.890489069475153,19.51504604172658,0.0988398916352311
1076_1077,2764,68.0,24.0,16.12447175650439,20.72920541361089,0.15262053099537287
1077_1078,2232,54.0,18.0,12.781440637660511,16.290222471890544,0.04270880083291295
1077_2479,893,88.0,28.0,21.152239792424396,27.38170886357158,0.017071831310197405
1078_1079,2229,52.0,21.0,15.95701289675314,19.49564570764902,0.10355275320971602
1079_1080,2228,31.0,15.0,10.760561489376832,12.78401780210243,0.0677911200395599
1080_1081,2175,46.0,31.0,15.55863034792801,21.95405792478847,0.11839261260806566
1081_1082,1366,69.0,35.0,25.682609700047497,31.04440034374751,0.15687330307159353
1081_2914,871,71.0,29.0,21.808476252301823,26.511881747172822,0.14922039766451933
1082_1083,1383,27.0,40.0,10.812070849395264,13.69684901395967,0.09273663172224234
1083_1085,1349,72.0,55.0,35.372613556232245,48.1453095054573,0.18799123255805694
1085_1086,404,89.0,37.0,27.56450119087841,34.296649929181314,0.12579521175242903
1085_1121,970,69.0,31.0,24.049844057584483,28.617108273647883,0.15477856686790548
1086_1087,638,39.0,16.0,11.217237610962092,13.954498280962225,-0.0010990231308105614
1087_1088,642,32.0,13.0,9.665157214790009,11.644289802029721,0.08574556082449458
1088_1089,641,35.0,11.0,8.838633745649147,9.871422476899337,0.10336831839717775
1089_1090,641,74.0,35.0,28.959622587727807,34.279778819666674,0.013581187908790704
1090_1091,397,60.0,19.0,13.006773590163194,16.350762436403766,0.1173181043852437
1090_2413,705,55.0,18.0,12.580996921318388,16.050401445141933,0.05925956051934411
1091_1092,405,34.0,10.0,8.181509456625783,9.501605991799853,0.11358379458030776
1092_1093,405,21.0,10.0,7.711058733380907,9.522318875548462,0.016740963723020807
1093_1094,404,37.0,17.0,13.814875470955485,16.014706319443516,0.051845332168911074
1094_1095,396,48.0,15.0,9.437581872883646,11.447632155537594,0.057767169651419925
1095_1096,797,34.0,17.0,12.976759414319565,15.746095524549181,0.06369702186197312
1096_1097,645,47.0,16.0,11.46993111496865,14.269729599650045,0.08854723934413522
1096_1101,399,44.0,26.0,15.05545573378551,19.184741163737574,0.06729883331251918
1097_1099,647,32.0,35.0,8.268801151898666,9.941892114250745,0.00906512489717659
1099_6132,606,98.0,17.0,10.723486461141695,13.526923484328199,0.04327399983151514
