segment,count,mean,std,mae,rmse,r2
10_12,827,135.0,67.0,31.403306131555976,39.07878217050352,0.30728656054889225
100_1111,524,46.0,30.0,14.573115253045712,18.576778453806934,0.18218564653243785
1005_1788,224,45.0,17.0,12.232828689137051,15.368983875921671,0.035442039709834505
1013_1015,289,83.0,46.0,20.353062545589182,26.308287363665734,0.2605316442009963
1015_1016,9,141.0,36.0,32.50357679995617,41.125954119880326,-0.0656746653902629
1015_2812,275,83.0,41.0,26.299429869380116,32.40645358373294,0.22743917276945635
1016_1017,3095,78.0,55.0,29.70663881541952,38.391307412707036,0.08768888604596237
1017_1018,3097,54.0,55.0,25.616071041683767,37.98550815399855,0.1531494107474728
1018_1019,3108,36.0,27.0,16.142445186979142,20.823626812845063,0.12921266066413706
1019_1020,3138,39.0,22.0,13.967654025203771,17.574342465863424,0.16204580404435498
102_6239,539,35.0,19.0,9.546329164525659,11.357733788969865,0.012414905510018115
1020_1076,3140,58.0,25.0,15.866575110563828,20.377478925996964,0.1451454700294842
1021_6042,490,36.0,17.0,10.162728102632734,12.994589696966154,0.05847647835315817
1022_1023,493,38.0,12.0,8.785696532982602,10.61435589375076,0.11996999917190854
1023_1024,495,36.0,60.0,13.328566344852298,17.212898553231362,-0.02307371545039527
1024_895,494,67.0,95.0,23.89335939413045,35.307782111263144,-0.05105876744852744
1025_1026,43,81.0,37.0,25.81741768030263,30.31748432776484,-0.21472391602965457
1026_1027,43,29.0,22.0,10.571947862156591,14.362895621282837,-0.04149578386438235
1027_1028,43,22.0,15.0,8.368155019122737,9.79295074104955,-0.3386877843615872
1028_2818,43,173.0,76.0,51.713890434558614,61.236732442457196,-0.052626871156409294
1035_1314,333,51.0,19.0,13.83520956804981,16.83880178776451,0.11479941083325174
1036_4709,451,34.0,20.0,11.996240609641042,15.885367500783428,0.05136480175404268
1037_1038,451,33.0,18.0,11.954260659359152,15.281885591408631,0.03503394515338165
1038_2998,448,79.0,21.0,12.932319062238735,16.48115696642264,0.11617558430364716
104_6241,542,61.0,47.0,11.603304116756187,15.19963209234479,-0.06546836124774025
1042_1043,479,91.0,26.0,16.683097776261857,21.900444071108037,-0.03037814307043263
1043_1044,486,36.0,13.0,9.296878248870453,12.120665952406275,0.13777597179584422
1044_1045,486,19.0,10.0,6.33217752360405,8.048580972885294,0.08921595878810828
1045_4710,484,40.0,16.0,8.901579043381643,10.988065232488461,0.13465865203136818
1046_1047,479,67.0,12.0,9.099525725833228,11.264859657557224,-0.11456875037325842
1047_1048,474,69.0,34.0,19.147939843206018,24.742922841587458,0.17069786756690586
1048_1049,481,40.0,11.0,8.43600705331662,9.974812561496183,0.050603066391849416
1049_4333,482,52.0,57.0,9.862422107096787,12.758179133312774,0.005543063404009119
105_6253,468,33.0,13.0,10.526530145516745,12.44918832165031,-0.004276829754060962
1051_1052,448,37.0,17.0,11.530440090661587,14.799667066837317,0.045631366849892996
1052_1053,451,67.0,25.0,17.251428626317512,21.50771685418414,0.16012986802955376
1053_1054,446,63.0,14.0,9.797030848999352,12.384072822088246,-0.06033153833460081
1054_1036,450,88.0,33.0,25.39611405958379,30.76348086816619,0.003354183376624298
1055_2868,345,64.0,28.0,16.420957839204245,21.42924192586831,0.15073633151754562
1062_1063,23,42.0,27.0,21.651392827666307,24.92660954696492,-0.16566304622099826
1063_1064,23,53.0,38.0,20.99250771482447,25.257767106672183,-0.08097453790439912
1064_1065,23,45.0,16.0,11.279206210586583,13.734108872898382,-0.9209729692699675
1065_1066,23,78.0,27.0,22.291403928525245,27.16839057668456,-0.006454872417742674
1066_1067,22,67.0,19.0,15.94680391305435,18.372580143302837,-0.4021200080937988
1067_1068,476,78.0,45.0,19.481652290062566,26.378344668227378,0.21580847299721073
1068_1069,487,159.0,73.0,43.18824460064071,53.753114081308865,0.2958978072247186
1069_1070,3159,55.0,26.0,16.576360728235016,20.85022429440755,0.14661853339850872
107_6125,363,72.0,23.0,14.139404314186663,18.377735042677802,0.12012751611320738
1070_1071,3155,62.0,27.0,16.938877368480625,21.47810769356099,0.1886762943010185
1071_4528,3155,34.0,18.0,12.009745229047603,14.788160164500985,0.12337506241661733
1072_1352,751,133.0,107.0,33.92294983701317,49.83051258941647,0.12506887988411441
1072_7577,2384,125.0,59.0,27.727131861528516,39.06030279243962,0.19354125667205258
1073_3641,19,82.0,21.0,17.940391183584953,21.623205249995245,0.2452523949091151
1074_6074,225,153.0,101.0,34.68680001332124,43.531501006238834,0.15348788054003426
1076_1021,491,68.0,23.0,16.050211835163886,19.975502071584465,0.05900395752761867
1076_1077,2657,69.0,25.0,16.37424044297041,20.93406713731953,0.14248947515151666
1077_1078,2104,54.0,19.0,12.863308165460088,16.64211113409252,0.05871946446750975
1077_2479,804,89.0,29.0,20.100106778626735,25.00786985663799,-0.018358951224146436
1078_1079,2109,53.0,25.0,15.989186772547537,20.00095412214651,0.11648036986098809
1079_1080,2097,33.0,20.0,11.05862827523956,13.338112902491439,0.06653733175871146
1080_1081,2083,52.0,39.0,18.52115441169231,26.09715652267512,0.1648369778370058
1081_1082,1202,72.0,39.0,26.156101543416263,32.16268500287697,0.18511465438856756
1081_2914,908,72.0,32.0,21.822865923353238,26.393836336462027,0.16728277695269378
1082_1083,1199,28.0,14.0,10.103500020272769,11.775289641204898,0.1046481056602071
1083_1085,1197,74.0,54.0,31.53972736451823,42.50116974440365,0.22311510113722866
1085_1086,332,90.0,36.0,28.46366781652044,34.80180040300817,-0.03611889686145053
1085_1121,884,67.0,31.0,22.679040007690677,27.271275638124692,0.13448817756233855
1086_1087,502,44.0,22.0,12.280204089012692,15.53889992387221,0.21067358347227083
1087_1088,498,34.0,15.0,9.475337180082693,11.241338307834505,0.06701964369736224
1088_1089,498,39.0,23.0,10.051074680528705,12.782673980663185,0.11577115804457239
1089_1090,502,84.0,41.0,28.807550485879712,35.18420803490158,0.15592669750383692
1090_1091,331,61.0,20.0,12.456488743599671,15.828054482698569,0.1271268801426847
1090_2413,625,56.0,19.0,12.31243073244397,15.665093594918794,0.172235070488576
1091_1092,331,36.0,10.0,8.886748972153251,10.130317243064999,-0.07823489986069676
1092_1093,330,22.0,10.0,7.587054080175341,9.451096458820423,-0.040212669033986126
1093_1094,330,39.0,16.0,12.804559079197727,15.256521976069106,0.033313915260052784
1094_1095,328,53.0,27.0,10.262781494723239,13.308854477466934,0.023683539643772344
1095_1096,662,36.0,19.0,12.130520197513471,15.078699843042255,0.1425836206036536
1096_1097,514,50.0,17.0,10.892403912091568,13.35509157034426,0.16373308056005453
1096_1101,322,46.0,22.0,14.011024431682353,17.803476363126784,0.18054608086301138
1097_1099,520,32.0,24.0,8.682045247573459,10.22123386035503,0.05589450142706531
1099_6132,470,106.0,54.0,16.935008391097323,23.052116599676356,0.08208845120031605
11_14,1343,63.0,33.0,25.329942870050548,29.514223567744857,0.11098225828973218
110_112,364,116.0,46.0,27.252983419066148,35.04972783689851,0.26086537992291847
1100_100,521,48.0,27.0,13.474773740275129,17.805763838308945,0.0819026821917116
1101_1102,331,34.0,10.0,8.60979498708113,10.09533758370531,-0.012733581085630163
1102_1103,331,24.0,10.0,8.2034118651858,9.361553114168872,-0.0002843050500311861
1103_1104,327,55.0,13.0,10.053467237034644,12.26270083751676,0.05274246343057942
1105_1107,345,66.0,17.0,8.994575740007576,11.924040421519088,-0.10399687819052006
1107_1108,349,27.0,21.0,8.620137201957998,11.366378055964644,0.08025018147823071
1108_1109,352,37.0,32.0,11.018644043792845,14.53989268186056,0.10173585430501997
1109_1110,348,28.0,21.0,10.802751533262663,13.715009903794154,0.13948962652329733
1110_1111,350,40.0,37.0,16.33289471502497,21.389127194179494,0.08871318656646154
1111_1112,348,73.0,28.0,16.000363107143897,19.945289477814836,0.2533558045942528
1111_2323,348,91.0,29.0,14.932401980369617,19.61683956220277,0.24079384479529287
1111_2404,177,84.0,23.0,13.086726948722772,15.854448683141712,0.14054587505114724
1112_1113,350,40.0,17.0,11.109412425398531,14.260042870810732,0.09908019587657424
1113_1114,354,44.0,15.0,10.038363986797677,12.475319649617857,0.14978196285454948
1114_1115,351,44.0,19.0,11.378559045268432,14.509424129957305,0.14936146428149355
1115_2437,351,84.0,28.0,21.991674463945802,26.72934573746917,-0.08724601732525983
1117_1118,580,39.0,16.0,10.872998029489965,13.717707777205742,0.10236238315264468
1118_1119,582,25.0,16.0,9.372317450697661,11.079253851489483,0.09243009991752926
1119_1120,571,75.0,88.0,38.006459626787176,55.28770191806968,0.09486903150966453
112_113,822,116.0,38.0,24.200429879310075,30.633671323734823,0.20304869065577213
1120_1164,354,229.0,148.0,103.36183737364088,128.67833455825658,0.20688263025127318
1121_1122,1121,36.0,16.0,9.709376737677571,11.84580464296271,0.09181034627542062
1122_1123,1128,26.0,16.0,6.787906297107475,8.641823102226413,0.07583841050303042
1123_1124,1121,25.0,21.0,8.129658284238987,10.047010019260568,0.021502691122877837
1124_1125,1112,64.0,41.0,16.493589990219203,21.815494780404034,0.21355805941095318
1125_1127,1125,85.0,34.0,19.621882717158954,25.264427494559424,0.2934254715837864
1127_1130,1116,79.0,31.0,18.48737237449691,24.213955095239392,0.11585084922481803
113_114,805,30.0,18.0,12.537267400959287,15.735624449039026,0.09657565969660831
1130_1140,895,135.0,79.0,43.940407240490984,55.619642466007335,0.27932764286225
1130_2550,218,67.0,36.0,25.059760325367996,32.33563809036769,0.13724182160948428
1135_7064,419,63.0,18.0,11.91689618765743,14.865458196342216,0.004557820545222135
1137_5131,448,111.0,51.0,28.030631406488766,36.79107496084675,0.19871921953474936
114_115,818,68.0,28.0,22.28207371604109,26.704828952865657,0.04068415591565544
1140_1141,658,68.0,21.0,13.807572161564023,17.017192128577275,0.06691915124987813
1140_2515,247,58.0,28.0,17.58970967621676,21.99402926650301,0.22602984289164874
1141_1142,664,37.0,12.0,10.03960286195724,11.61160699041937,0.06546062496269456
1142_1143,664,60.0,15.0,10.891548800822806,12.940119758545185,-0.10950264376757923
1143_1144,660,28.0,19.0,11.02063611159781,12.783904910111136,0.004213831832278525
1144_1145,653,75.0,51.0,20.10858827372929,26.864501155750325,0.07527879005443694
1145_4869,661,84.0,24.0,13.824788743956193,17.39979897528137,0.04045173872093355
115_37,1282,52.0,23.0,15.740293747807776,20.238294789448908,0.1575559029183301
1150_1151,663,75.0,33.0,21.620403963480772,27.03549834566201,0.14398142377611167
1151_1152,663,26.0,14.0,11.263442280316792,13.118401660080366,0.0477874698621088
1152_1153,663,54.0,14.0,9.928952645561647,12.299665531722423,0.04887149287053838
1153_1154,661,32.0,16.0,9.57011702265163,11.491656816059583,0.07710288535809995
1154_946,659,101.0,43.0,20.296017247139893,26.949929168018617,0.23111859746832575
1155_1157,1072,58.0,18.0,11.114617917732623,13.874617227415179,0.20558608861981564
1157_1158,1076,68.0,30.0,19.029117465342363,23.746684220879345,0.21714787771546518
1158_1159,1082,47.0,26.0,15.260181493777457,19.250102492261746,0.23584674486257395
1159_1160,1075,40.0,18.0,11.40168320314482,14.413735706742756,0.1598792233785309
116_117,395,24.0,37.0,13.354392759011388,16.245751565617507,0.12586198663864545
1160_1161,1072,25.0,11.0,7.110351573053098,9.064431124983686,0.04509415709539755
1161_1162,1067,39.0,43.0,15.195974967825121,22.596009455815818,0.07252312712891651
1162_1163,1073,49.0,55.0,31.057762292536143,42.00474438353075,0.11641483553245391
1163_1164,899,113.0,64.0,31.9677868378955,41.29243217623663,0.3370644405773252
1163_1337,182,108.0,51.0,34.4931106882017,44.06814126509636,0.19913255071715363
1164_1165,1246,67.0,46.0,15.662834560918014,21.003169570993737,0.16193180409396113
1165_1166,1245,92.0,42.0,24.75364773903945,31.696967954971498,0.2576907198871978
1166_1167,2174,40.0,34.0,13.761727406759503,17.81241722792312,0.09881899943811145
1167_1168,2165,48.0,24.0,15.991876092640988,19.94316479985298,0.153694811028796
1168_1169,2162,32.0,15.0,10.070437021241526,12.080787640014423,0.09133288776086634
1169_1170,2146,51.0,37.0,15.588671890168674,20.005204617790486,0.12542515810940202
117_118,390,33.0,28.0,9.606287970369804,12.915044350476315,0.13162375935916226
1170_1069,2676,73.0,36.0,22.348236745666362,27.38831326621623,0.20860088396556742
1171_1172,769,69.0,56.0,24.46593042328731,31.129764463279727,0.12398231673107174
1172_1173,781,70.0,56.0,25.86883636159644,33.308228565380446,0.1141617274630019
1172_7671,50,80.0,27.0,20.881760059179577,23.66980941527575,-0.43797816969582537
1173_1174,814,92.0,71.0,28.466539652564602,35.77225062930816,0.005849945605956863
1174_1175,821,77.0,54.0,25.787677203330784,34.009462863016246,0.10899989280487266
1174_4725,8,187.0,75.0,44.3775440053702,76.54083123325432,-0.41187783787019816
1175_15,821,96.0,49.0,35.0879560747076,40.99848511563598,0.15350761155146864
1176_1177,4,44.0,11.0,17.187340664518764,17.37048980972052,-44.119090277324034
1177_1178,4,114.0,18.0,23.69025522865531,26.49858944933734,-1.3484121832927505
1178_1179,1,96.0,11.0,23.36298843648308,23.36298843648308,nan
1179_7112,1,401.0,150.0,260.48616607598785,260.48616607598785,nan
118_119,393,92.0,42.0,29.567612535944956,35.64830914122128,0.14408430783660786
1181_7350,515,31.0,15.0,10.502913460632527,12.939112480576794,0.06371830074670692
1182_1550,482,30.0,10.0,5.625489706049244,6.865818783913616,0.16662686871864474
1185_1186,482,52.0,219.0,11.18295321111568,14.27368429742039,0.022248229967008815
1186_1187,479,53.0,23.0,12.431876926536766,15.736826617469857,0.054364431473386876
1187_1188,476,54.0,53.0,11.888655845705246,20.035776412720157,0.12748964147153363
1188_216,476,104.0,56.0,25.739092545497282,34.435343207903784,0.24636862031557538
119_44,2423,44.0,21.0,14.028181964466762,17.623699779711824,0.15252188103038755
1190_1191,496,40.0,18.0,11.561803611674533,14.929514932867553,0.10573738729166615
1191_1192,501,30.0,14.0,10.532715685941543,12.778281374920532,0.07780080755820784
1192_1193,501,38.0,18.0,13.303072888948286,16.101530199285634,0.11785365768154576
1193_1194,498,20.0,9.0,6.2606740229670335,8.041327086429966,0.07980721186938444
1194_1195,498,52.0,26.0,13.784345471377186,17.765249271049953,0.12404940136154685
1195_664,496,100.0,70.0,31.20580517211465,41.181792904746686,0.15840484564204704
1196_1197,2395,42.0,23.0,16.6715527206978,20.65519427948392,0.11070068803592814
1197_1198,2313,78.0,29.0,18.056959708480758,22.74480283835273,0.25158224629195214
1198_1199,1701,80.0,25.0,15.73543902868483,20.144083287024767,0.28201887581729457
1198_1222,400,66.0,24.0,14.07827561741086,18.134801286247196,0.3173464961558543
1198_4782,225,91.0,36.0,20.737775562751434,27.004322487957023,0.3613216784458667
1199_1200,1699,32.0,15.0,11.208012312395109,12.86798462903042,0.12069557629113525
12_14,1840,66.0,31.0,24.152545890977596,27.829296272482743,0.13850266184311288
1200_4385,1703,37.0,17.0,10.869117657934583,13.395500886306964,0.11159186370606122
1201_1202,1100,65.0,46.0,24.509698782657342,28.986511548434272,0.13706875377638972
1201_4695,616,79.0,32.0,25.43511073912596,29.44807187885489,0.11101338280932938
1202_1203,1085,63.0,17.0,11.534736957446736,14.211091051633744,0.08701860751134038
1203_6115,1096,74.0,22.0,13.74850483129722,17.817974745665424,0.22568514392173078
1205_1206,458,165.0,68.0,38.4799449349115,50.40629911183234,0.14370830992254924
1206_1207,461,64.0,20.0,13.684985090983977,17.52165950489761,0.13463311117574506
1207_1208,461,34.0,13.0,5.458405106321998,7.19109148774446,-0.087658488614907
1208_1209,458,26.0,20.0,8.58054941886112,11.52101997627402,-0.056206274251290544
1209_1210,453,20.0,15.0,4.886900329369256,6.741564499249554,0.003318117537141285
1210_1211,278,29.0,21.0,9.57868923756648,12.13013413382225,0.1106954732778278
1210_3575,173,88.0,63.0,30.907467769071644,41.42533568862588,0.24713241458648172
1211_3575,279,43.0,34.0,14.695937879906715,21.25417378884771,0.21159784004858795
1212_1213,399,33.0,14.0,8.425672958619797,10.139713012814463,0.17701106481103834
1213_1214,386,17.0,5.0,2.4872482769542343,3.4056567738423777,-0.13117563201936155
1214_1215,392,18.0,12.0,4.850227775210088,6.552162246662661,0.021030347893799428
1215_1216,398,30.0,15.0,4.379983526631746,6.190718033172564,-0.030744173261633367
1216_1217,401,44.0,23.0,14.833371317419894,18.082935262514226,0.1832313940493654
1217_4563,399,164.0,71.0,39.92489840840876,50.148762803584916,0.16646777359013198
1218_1258,592,91.0,23.0,14.478600448317685,18.268355745544863,0.2248331428359579
1218_1270,1084,67.0,36.0,14.542258732964045,18.923970449474044,0.21179485863994651
1219_1220,2323,59.0,23.0,14.291216496564736,17.987097116504476,0.13118581885986913
1220_1221,2402,57.0,25.0,16.947922620135888,20.80419259771317,0.15556614530144208
1221_664,2328,74.0,32.0,23.098641581947835,28.394865414557874,0.10589045508659956
1222_1223,403,27.0,12.0,8.758013011513377,10.432798706361988,0.10347662597937557
1223_1224,402,27.0,9.0,6.286728064000558,7.916382279726371,0.11053865030444032
1224_1225,399,32.0,19.0,10.348658540717384,12.05622366239926,0.08825983958846173
1225_1226,398,74.0,41.0,20.5011406028642,26.491245308658183,0.28407699163675404
1226_1227,399,45.0,20.0,8.111367660155635,11.226107341926667,0.1807172127751583
1227_1228,396,62.0,22.0,14.64930441120129,18.5692788285686,0.20340444750163478
1227_1253,9,71.0,22.0,26.215025873078428,27.890567939063914,-0.13353337489739725
1228_1244,412,32.0,10.0,6.634643895079422,8.41553828443503,0.17109117468299795
1229_1231,390,49.0,21.0,8.382465799221233,10.131293239821188,-0.18467996997331015
1231_1232,760,25.0,8.0,5.55024782944289,6.908004547744047,0.0057235210375382595
1232_1233,768,27.0,25.0,6.02957559530386,8.168124611130835,0.03451768827015533
1233_1234,765,30.0,16.0,6.690461729302276,9.298156923715176,0.04470820086802674
1234_7358,755,63.0,94.0,18.271707394574808,33.80224915759972,0.0282405507775616
1235_1251,396,51.0,29.0,13.930094449709946,18.740204198840054,0.15791500511997214
1237_1238,388,75.0,33.0,20.330078534641263,26.367022325835997,0.1991169575266405
1238_1239,381,51.0,25.0,13.544495892446987,17.636449394250967,0.22367637307939514
1239_247,382,66.0,24.0,16.083340483269943,20.122564696841053,0.23667948898596025
1240_1241,383,28.0,13.0,10.379631754026684,12.029571762619979,0.07473447695759206
1241_1242,386,28.0,22.0,8.155024091125822,10.48578253141985,0.17799278761718007
1242_1277,381,75.0,40.0,19.636074273844407,26.770705431346702,0.29917843920047626
1243_4696,613,40.0,14.0,8.922525283299485,10.833951073306032,0.06257785476906297
1244_1246,36,37.0,27.0,11.397320964900112,13.93220129962262,-0.27293080818602644
1244_254,355,152.0,59.0,21.041530954270293,28.552165644820473,0.09974060264689666
1245_4693,596,41.0,15.0,11.235660458917575,13.168435704121395,0.04226894523279734
1246_1229,400,28.0,15.0,9.229507938127494,11.281593316214352,0.03208634797984211
1247_1248,590,46.0,14.0,10.19618489492053,12.59759542367278,0.051446609007536725
1248_1273,598,85.0,36.0,25.814809332011063,31.97277854177764,0.029685220341223784
1249_1247,592,25.0,15.0,10.426462280274096,12.73480505988688,0.07624883542491478
1250_4698,607,40.0,13.0,9.60797199407341,11.442617484264439,0.05786002199850626
1251_253,316,155.0,52.0,26.1315404893328,33.543729144641595,0.1910808152730583
1251_7130,77,51.0,39.0,29.007243049218893,38.61898031038938,0.21698328082352758
1253_969,9,101.0,31.0,20.02426998022394,25.780146346094135,-0.3826251180323734
1254_1255,595,57.0,27.0,15.625061636053594,20.638818764108688,0.1656444405180839
1255_1256,594,22.0,9.0,6.238104122615601,7.751073563906285,0.010576634728995948
1256_4694,595,54.0,17.0,11.183181093338796,13.89557844593245,0.16794257998274964
1258_1259,594,40.0,14.0,11.014166812108517,13.613485672120664,0.015272149547034708
1259_1260,593,45.0,13.0,9.762003591700598,11.778498947661783,-0.02634610181325847
126_6182,460,80.0,31.0,20.75786522743395,25.150287738439687,0.0835740703844996
1260_1262,3,65.0,14.0,11.296745537120584,12.840602519861765,-0.2597025956347392
1260_6130,588,39.0,16.0,11.387409657739394,14.502175918212512,0.041353606693740885
1262_4692,596,59.0,18.0,12.727213888470244,16.469591750959264,0.08294255957468133
1265_6115,600,91.0,34.0,18.38804300943625,23.868663002915252,0.2708397929954356
1266_1267,610,56.0,13.0,9.245912866685837,11.921545312824101,0.023507265966997037
1267_1268,609,36.0,14.0,9.622828887829636,12.504019765579487,0.0628202074112616
1268_1269,605,51.0,12.0,8.918219236563212,10.826573094921494,0.09673381906233991
1269_1265,607,30.0,10.0,8.129450484242037,9.550870861612282,0.05706894525816719
127_112,446,88.0,34.0,23.540792277954203,29.233791876338636,0.14974500189360618
1270_1272,1085,65.0,49.0,15.008539580965262,20.118015817968654,-0.054424935293865495
1272_1273,1086,48.0,44.0,17.60703250583987,22.485132445840563,0.08857016209850732
1273_1274,1684,76.0,31.0,23.627879667741993,28.196039189745886,0.09071247541543037
1274_1275,1676,67.0,21.0,14.260136395402265,18.1538414456927,0.1347641631739802
1275_1276,1682,24.0,16.0,11.015321315000847,12.79974363690096,0.10694276926104096
1276_1277,1661,54.0,25.0,12.142959116380105,15.549959694496401,0.26394102282810117
1277_1219,2324,42.0,17.0,11.44940596122472,14.702138244589824,0.12421580905366758
1278_1282,1012,147.0,45.0,31.41983109253992,39.568202463931875,0.06781458469049295
1278_1934,480,138.0,58.0,36.79893775416322,46.96797767368349,0.08373821017950389
1279_1282,618,147.0,47.0,30.092451506966743,37.36434785208913,0.1421058007356938
1279_1283,543,156.0,56.0,33.03286224977023,43.72434341590181,0.20060558727442246
1279_1934,517,138.0,67.0,41.657403387349724,52.728805711742375,0.1777975916565343
1280_6348,578,80.0,40.0,26.102877497771743,32.1064125507555,0.09878193805393276
1280_6366,457,106.0,38.0,29.19965848089174,35.45855828368186,0.09199828538497723
1281_1329,318,60.0,31.0,23.840951440705,30.264429458372952,0.07809819436439003
1282_4456,1630,119.0,50.0,34.626378564697475,43.75490907287138,0.07626600820681695
1283_4456,763,87.0,43.0,28.957969139648647,37.63238793293653,0.06516219189502537
1283_7579,2325,136.0,59.0,33.75829559585334,43.847027015920176,0.12776309054161084
1284_1285,2389,138.0,61.0,35.896326082196715,47.515198513062955,0.19664630035786634
1285_1016,3080,146.0,59.0,35.667923273409315,45.36747209848672,0.19966502234016548
1285_1286,1013,176.0,56.0,34.468591883415215,43.67759801519653,0.21140313831970248
1286_1288,1008,72.0,36.0,22.725644212896874,29.07008638868397,0.1196350993725459
1287_1288,532,61.0,30.0,18.852616090234882,23.71353880852416,0.03647550781904463
1288_1289,1623,40.0,21.0,12.319270338360372,15.323835708862543,0.15484427644941468
1289_1290,1071,99.0,39.0,26.933489371638743,33.45194347151198,0.11409091293216178
1289_1360,568,98.0,44.0,29.38868297165145,36.88559862942897,0.14381374576802042
129_130,550,34.0,14.0,9.666499636775214,12.56873468952229,0.05195825862553405
1290_1291,1503,90.0,45.0,30.644559604997408,38.010991972723126,0.17678383834654665
1291_1292,866,60.0,28.0,14.140458861678468,18.49367660150955,0.20155691875579151
1291_2389,637,101.0,41.0,27.59158902048086,33.77993211597204,0.16160528479217295
1292_1293,866,45.0,17.0,11.510295423590671,13.97008871375453,0.0981592006038493
1293_1294,860,52.0,25.0,13.949840904936172,18.206814797104055,0.09396494284201617
1294_1295,865,78.0,36.0,22.9127745117504,29.101630426206892,0.237210001875101
1295_1296,862,46.0,22.0,10.517815912619882,13.157780618541713,0.026765940177602032
1296_1297,855,67.0,45.0,16.76877264960928,24.895287207207083,0.2081419825036558
