segment,count,mean,std,mae,rmse,r2
10_12,750,136.0,73.0,29.613760531689564,39.83628387896204,0.18681617086856883
100_1111,555,45.0,30.0,15.14804275923503,19.59889712547921,0.1870450601629291
1005_1788,243,52.0,20.0,13.253161086025798,16.463857432332848,0.16347021145248264
1013_1015,276,85.0,42.0,20.193352667497738,26.026730288604973,0.14258201399277026
1015_2812,279,83.0,48.0,24.9951612742578,30.880903776739977,0.15623763390569856
1016_1017,3005,76.0,43.0,26.67123673429287,32.75089998053626,0.029935187299776844
1017_1018,2984,48.0,41.0,19.10360377270611,28.046326342052428,0.11119852566211685
1018_1019,3026,32.0,22.0,14.023057811095097,17.70945276752053,0.09410918706498195
1019_1020,3029,39.0,20.0,13.578041250107068,16.871400118746006,0.10459968751361226
102_6239,543,35.0,11.0,9.367873654150909,10.92208757088192,-0.03746199813117479
1020_1076,3039,57.0,22.0,14.600449908342407,18.81265061351163,0.04981124124401215
1021_6042,592,34.0,16.0,9.184677344297183,11.629455984855955,0.03286455230885299
1022_1023,582,38.0,12.0,8.845396242435546,10.280626082041984,0.036768013884788675
1023_1024,587,32.0,48.0,12.01361295514721,14.565661802873706,-0.01258664823142297
1024_895,590,60.0,70.0,18.12511176719067,27.62801836255027,-0.013307656664684364
1025_1026,71,79.0,49.0,24.969201541132463,29.388789937316968,-0.09365652243517908
1026_1027,71,31.0,18.0,9.96987453802334,12.034143679946878,-0.20735339036771072
1027_1028,71,23.0,27.0,9.464590915120095,10.868618679969888,-0.0066190218529691425
1028_2818,71,154.0,64.0,40.0559801920682,47.54335201475799,-0.07432636959424799
1035_1314,404,51.0,20.0,12.21846378890577,15.407901667959951,0.08589873164081863
1036_4709,445,34.0,19.0,10.784313777625751,14.081270585245663,0.12390187821342946
1037_1038,454,33.0,16.0,11.584595304789346,14.444951588933813,0.07852632136449811
1038_2998,450,80.0,22.0,13.407085371410208,17.38357859512873,0.16245365794558486
104_6241,547,60.0,42.0,10.568982482446877,14.104291787692377,-0.09452367430213227
1042_1043,326,91.0,25.0,15.69611998040833,19.841461826983398,0.03892468974737984
1043_1044,331,37.0,12.0,9.18325870390844,12.07416009233014,0.0513819988268831
1044_1045,331,20.0,14.0,6.851183301153572,8.746105197827658,0.009864712656579844
1045_4710,328,44.0,52.0,10.165209722798766,14.916801103476148,0.003482285250831607
1046_1047,321,67.0,13.0,8.350976830555817,10.428967180875114,-0.029504492413323424
1047_1048,323,67.0,28.0,16.54712755948124,20.920772543531843,0.0680745174675007
1048_1049,324,41.0,11.0,8.868102285140175,10.370697605733769,0.06277673932257799
1049_4333,326,48.0,12.0,9.01857157994857,10.578171117217144,0.016516999181380054
105_6253,462,35.0,15.0,8.99971097540543,11.566293264308259,0.039477937425115406
1051_1052,431,35.0,15.0,10.444795420691118,12.23864453029269,0.028407872455711525
1052_1053,434,67.0,22.0,15.926604722079583,20.111669415920268,0.14175464997573162
1053_1054,432,63.0,15.0,9.933650685461156,12.402529756357396,-0.09608995954516875
1054_1036,429,93.0,46.0,25.190020962627816,31.285018884943163,-0.027989319701517745
1055_2868,387,66.0,35.0,15.184541710669276,21.329575200990075,0.1849429408405826
1062_1063,39,34.0,24.0,12.85116840614708,14.388237335601776,-0.18359736759139778
1063_1064,41,52.0,32.0,21.79680437931003,24.015662067534112,-0.028258385254367413
1064_1065,41,48.0,18.0,13.3829255398541,16.050936288574956,-0.0997468923279814
1065_1066,42,65.0,23.0,17.188301518349924,20.262217252084326,0.01307364340121453
1066_1067,42,67.0,18.0,13.569417833048655,16.80077792963106,-0.07268880032386882
1067_1068,513,69.0,31.0,15.069806255570679,19.699041033595723,0.12501378739742985
1068_1069,520,130.0,54.0,34.15206371778007,43.72037641915646,0.17308193294918828
1069_1070,3031,56.0,24.0,16.20763883109284,20.235403955456444,0.07492316476245464
107_6125,380,68.0,20.0,13.506973208601611,17.27494911375881,0.09082387269302017
1070_1071,3033,64.0,26.0,17.241341326743036,21.751945854154265,0.1295850210228925
1071_4528,3035,35.0,17.0,12.139004955783063,14.993825572660883,0.10114114382987627
1072_1352,696,125.0,63.0,28.912692273132887,40.09856817836306,0.10426890914686993
1072_7577,2320,122.0,46.0,27.541323969809095,38.01881713338379,0.1583502680587171
1073_3641,262,76.0,31.0,15.443711072283373,20.015651266987796,0.1900843887992315
1074_6074,267,157.0,58.0,36.33590219966794,45.73047742331155,0.136402506237847
1076_1021,588,67.0,21.0,15.45993626071343,19.299175638696653,-0.007293152778027556
1076_1077,2452,71.0,26.0,16.748569574019733,21.46796252516469,0.06572925281872088
1077_1078,2047,55.0,18.0,12.264137470261533,15.760889984230984,0.020404041973745013
1077_2479,666,91.0,30.0,20.41352454901139,26.317664380122075,0.0768025970291365
1078_1079,2044,58.0,26.0,17.761914074751175,21.791887974395063,0.13297683520064318
1079_1080,2052,32.0,16.0,10.685674648568387,12.62939775848357,0.02761045343391877
1080_1081,2018,47.0,28.0,14.833257879955411,19.62075468782273,0.07813012590579693
1081_1082,1264,69.0,31.0,23.329866528974076,28.05362871320267,0.161694256590577
1081_2914,789,73.0,29.0,21.33134462444177,26.16794755230725,0.13662889526582267
1082_1083,1248,29.0,14.0,9.744686257087906,11.555320088267118,0.09544020374920803
1083_1085,1254,82.0,59.0,41.52591610467424,53.678035009517714,0.16120657194515697
1085_1086,361,91.0,36.0,28.02327934223529,33.55110442746668,0.04435716948537327
1085_1121,908,70.0,32.0,23.76521180845402,28.29635893898212,0.1182608099304241
1086_1087,580,43.0,19.0,11.61420406936703,14.94720995767003,0.08352823724471903
1087_1088,574,35.0,14.0,10.820681944674668,12.801291049894601,0.07386150348632825
1088_1089,575,38.0,21.0,9.628797562037873,12.018754230198725,0.11650622513671116
1089_1090,580,89.0,42.0,31.080508659620907,37.367545522932744,0.018213788795742647
1090_1091,355,65.0,24.0,13.242775711791094,17.491952463940706,0.08580743799449864
1090_2413,681,60.0,26.0,14.276627352739538,18.49276324844471,0.0984761195249706
1091_1092,359,36.0,10.0,8.525546747106116,9.713328126616913,-0.01725556980527454
1092_1093,360,22.0,10.0,7.691212025170327,9.470261689614999,0.023439560527169556
1093_1094,356,40.0,17.0,12.690925839174655,16.302890611715643,0.00788975159112637
1094_1095,352,54.0,35.0,11.30280281844411,14.711282322814426,-0.04358970812696672
1095_1096,745,36.0,19.0,13.45088770154688,17.177769395982565,0.06959197814525275
1096_1097,574,50.0,17.0,10.850449732273752,13.723174916929901,0.14634078809709583
1096_1101,347,47.0,23.0,14.931449726029209,19.609163125391763,0.15731968376152583
1097_1099,569,37.0,57.0,10.477159894061952,16.16165259968718,-0.12934349743749873
1099_6132,516,103.0,27.0,14.21688371044962,18.105952169467958,-0.16910702873465677
