segment,count,mean,std,mae,rmse,r2
10_12,828,129.0,59.0,28.661177762690947,37.58937746192427,0.1942406812952483
100_1111,658,45.0,26.0,14.375683712066666,18.09179461467419,0.22587102848436602
1005_1788,241,51.0,21.0,13.463398752489944,16.875060665498363,0.11808733559194717
1013_1015,372,84.0,41.0,19.472342494436788,24.77507271833806,0.24545483862771122
1015_2812,375,83.0,47.0,26.961197642287065,34.357808099531454,0.1356175079920564
1016_1017,3449,74.0,43.0,27.180729491611043,33.302229339726495,0.07906985995067628
1017_1018,3417,48.0,43.0,20.037174805424005,29.397668644489958,0.1548046446027901
1018_1019,3488,32.0,26.0,14.383134258351594,18.755119945718285,0.12320264776906753
1019_1020,3502,38.0,20.0,13.641535253879727,16.845819974803618,0.14610800834869808
102_6239,617,34.0,11.0,8.802082250219717,10.092657102713087,0.02444826298720537
1020_1076,3542,57.0,30.0,14.870163972534506,19.40882353049276,0.14362954604560108
1021_6042,574,34.0,17.0,9.65600173356974,12.071784047916223,0.11051311613241432
1022_1023,523,40.0,22.0,9.64603407388785,11.954093137520795,0.053279354068308526
1023_1024,524,31.0,26.0,12.269872697142402,14.467503042684971,-0.04638356350736328
1024_895,572,63.0,74.0,19.593750491507933,27.762659247246418,-0.004348961439083698
1025_1026,70,68.0,32.0,24.871208266324206,30.538028400313006,0.0873426326637422
1026_1027,69,27.0,16.0,9.328185477719435,11.379781478557717,0.12656078114082203
1027_1028,68,18.0,14.0,6.3644807422149245,8.396111983623188,-0.020859161702327933
1028_2818,69,145.0,49.0,32.33938013558774,39.99013871913857,0.17273839198873242
1035_1314,418,51.0,20.0,12.807284684641074,15.869762874009698,0.026756681608560706
1036_4709,433,33.0,18.0,11.874247910758267,15.092635273003026,0.1638310872131089
1037_1038,436,32.0,17.0,11.814799202212889,14.564831083522618,0.12470113248007797
1038_2998,434,78.0,22.0,14.648209158811012,19.145085155507914,0.14884928288372723
104_6241,616,58.0,26.0,9.201549151062904,12.035831560209264,-0.006325900290168995
1042_1043,488,89.0,25.0,14.125124619679928,18.108527468972024,0.13738557605061952
1043_1044,490,36.0,13.0,8.564498872233967,11.258778209548332,0.13624592775635402
1044_1045,492,19.0,10.0,6.356411444177249,7.858916598823364,0.05857072022345944
