segment,count,mean,std,mae,rmse,r2
10_12,738,131.0,55.0,29.903133207636234,37.95811828298044,0.16348674302970312
100_1111,568,44.0,31.0,13.407647240760717,16.277394161306677,0.12784604716593462
1005_1788,218,54.0,28.0,13.935548897236187,17.942481801896456,0.05214859081626999
1013_1015,340,84.0,34.0,22.395856394321147,29.688919504574052,0.17028607282250363
1015_1016,31,159.0,57.0,21.801138430948303,31.17479529617429,-0.28003187199995905
1015_2812,307,90.0,42.0,25.579930494274322,32.070579454650364,0.1334581117509861
1016_1017,3206,71.0,33.0,25.282567053898035,30.345535706867334,0.009032604736210703
1017_1018,3148,39.0,26.0,12.753496328407534,16.617792104815777,0.059743088723427706
1018_1019,3182,28.0,18.0,11.515946477026892,14.137770843102427,0.02262020796190156
1019_1020,3201,36.0,18.0,12.706489382410282,15.645835194708427,0.08049886265093831
102_6239,498,33.0,11.0,8.378775080055277,10.026117171893983,0.03393603386649535
1020_1076,3221,54.0,21.0,13.84228211475722,17.672996860508977,0.09714024466879312
1021_6042,643,33.0,13.0,8.662714206316505,11.145733349053517,0.013474075908340821
1022_1023,650,37.0,42.0,8.944579906109787,11.371053590342477,0.045390771412000985
1023_1024,649,32.0,28.0,12.208933045685741,15.157409550705609,-0.0020233877276063517
1024_895,643,63.0,90.0,16.559599474778814,24.421713825479493,0.029121391932400376
1025_1026,59,77.0,47.0,31.638524583986904,36.54175494395418,0.006728940362712987
1026_1027,59,24.0,14.0,8.353445500073814,9.09933633746541,-0.05797378269420084
1027_1028,61,17.0,9.0,6.18574572549562,7.037514817510033,-0.1494469693106084
1028_2818,59,138.0,54.0,31.327333684054537,37.32451285870621,-0.045793758196696066
1035_1314,393,49.0,19.0,12.984535532220214,15.93794070667975,0.04334613300993517
1036_4709,434,33.0,16.0,10.023644744690253,13.308870643971145,0.12456607198645464
1037_1038,434,32.0,16.0,11.048487128333234,13.609967657864766,0.12280083710593837
1038_2998,433,77.0,20.0,14.06824714284895,18.058472533256754,0.14533095093023773
104_6241,502,59.0,31.0,10.06401513349594,13.822160551514987,-0.066810730461486
1042_1043,386,89.0,23.0,14.437770589396726,18.58000219712355,0.02709349756755386
1043_1044,386,37.0,13.0,8.580505094493363,11.614718530805058,0.059876657038905656
1044_1045,382,19.0,10.0,6.611805334537202,8.268696098638106,0.012443982894399963
1045_4710,383,38.0,11.0,8.72892596083804,10.271192839147998,0.04306117535713949
1046_1047,378,68.0,12.0,9.088410071881666,11.423107109460828,-0.07199400826376112
1047_1048,375,65.0,25.0,17.950331719401387,22.41536721553975,0.11054824488232262
1048_1049,378,41.0,12.0,8.980982401801876,10.691450598313773,0.028202996020722626
1049_4333,380,49.0,17.0,10.201874082304833,12.500169327149184,-0.01096020426953248
105_6253,420,34.0,13.0,8.435729764900783,10.667693304219615,0.06365951291706806
1051_1052,423,36.0,15.0,11.21430186102491,13.40344150917029,0.08059827850566004
1052_1053,428,66.0,23.0,15.880205427451843,19.658272859199226,0.17396780855315752
1053_1054,432,62.0,19.0,9.949474323723344,12.60506610945608,-0.03790063631566021
1054_1036,432,88.0,28.0,21.972441922649278,26.99060991661397,0.0009167756777526126
1055_2868,409,59.0,18.0,11.370876088274919,14.127191661879335,0.1235792830635406
1062_1063,55,31.0,20.0,14.110908341519158,17.196211471324393,0.02568575115271432
1063_1064,57,45.0,25.0,18.719306968162332,22.244982879148974,0.005433434348310229
1064_1065,57,42.0,15.0,12.468346917618177,14.885410009509233,0.01525667693920385
1065_1066,57,59.0,24.0,19.30547586289048,22.712974555634577,-0.05208513864844089
