segment,count,mean,std,mae,rmse,r2
10_12,782,134.0,78.0,30.04210425492079,38.69528129303641,0.20877592948930712
100_1111,590,46.0,35.0,16.466500122617234,22.247255337360453,0.20930783226434946
1005_1788,157,53.0,22.0,13.148261973058318,16.14471303711591,0.16549331571135106
1013_1015,265,86.0,40.0,22.14671527778263,29.568399764765882,0.20421049194459406
1015_1016,20,151.0,56.0,40.740423518064624,50.12612131531727,-0.374351954621569
1015_2812,252,82.0,44.0,29.050725018184956,36.873533867460935,0.10620409900172323
1016_1017,3034,75.0,42.0,26.92973544719663,33.02783444006742,0.05323578492870329
1017_1018,2989,46.0,39.0,17.111093867204264,24.87378967018646,0.12820743385075528
1018_1019,3044,32.0,21.0,13.655211232518148,17.150579309311993,0.1037384333491923
1019_1020,3067,38.0,19.0,13.04459900273575,16.127165951162834,0.12515913466653894
102_6239,529,34.0,11.0,8.606393023296677,10.165921380181453,0.044055041006354934
1020_1076,3099,58.0,35.0,15.085946600760122,19.724177033572435,0.09079176183523341
1021_6042,610,35.0,15.0,9.708975607872967,12.384976653146005,0.09633522120256621
1022_1023,610,37.0,12.0,8.703040951443416,10.264541793127236,0.081694453535889
1023_1024,611,36.0,92.0,12.50486826216149,15.90422112941548,-0.005886933997551802
1024_895,605,63.0,107.0,19.58629902278604,31.58140734963826,-0.003142926336488161
1025_1026,50,76.0,40.0,28.76350574275516,33.55328904782402,0.01947628856621464
1026_1027,51,29.0,19.0,8.986104701091286,10.774624687577251,-0.8726460758613919
1027_1028,53,23.0,21.0,12.738118953768064,15.608784905894046,0.17046458922057095
1028_2818,52,157.0,65.0,47.30338896176813,62.049180324055136,0.15727976584488945
1035_1314,354,51.0,20.0,13.478337024235056,17.24213622243727,0.10722362906505511
1036_4709,420,34.0,21.0,12.028700862865918,16.088380784673802,0.10294178943262489
1037_1038,424,34.0,20.0,12.597652578720242,15.530495932541646,0.11821824095964173
1038_2998,422,80.0,24.0,15.413282019355583,20.048599589758517,0.08735945745446139
104_6241,531,61.0,56.0,11.91041003165702,15.929736173822505,-0.17087754921156262
