segment,count,mean,std,mae,rmse,r2
10_12,836,134.0,61.0,30.05612656549637,38.20759264320653,0.20268196127365568
100_1111,650,47.0,29.0,15.184197296812252,19.378293890929914,0.14655440860298174
1005_1788,199,65.0,36.0,22.750450968748158,30.22660203935713,0.11073283459159888
1013_1015,365,88.0,37.0,23.7500248449752,29.836046835403632,0.242100245140065
1015_1016,47,150.0,47.0,39.83919909649741,47.15146974451404,-0.20558070628548264
1015_2812,317,90.0,44.0,26.878112070156,34.13064579040018,0.1449975113337516
1016_1017,3386,74.0,38.0,26.29953212053133,32.14528663412999,-0.006871352607134673
1017_1018,3332,46.0,38.0,17.313830777957573,24.589450862551246,0.08458073686406375
1018_1019,3372,32.0,21.0,13.331898996431633,16.502125701721752,0.062117122475589204
1019_1020,3384,39.0,20.0,13.449459356875058,16.614779686776284,0.08801277228175208
102_6239,564,34.0,11.0,8.359940754969873,9.725551590885535,0.0351703606564977
1020_1076,3396,56.0,21.0,14.4948823415395,18.560028393825917,0.07769008061653981
1021_6042,670,33.0,13.0,9.271341731028004,11.590958083783505,0.035274860395540064
1022_1023,671,38.0,12.0,9.40797156725215,10.898202855849911,0.033364579216114576
1023_1024,672,35.0,76.0,13.055213029085714,15.957123283526848,-0.02803207302203936
1024_895,664,68.0,99.0,18.551975488596582,27.031501726837607,0.030234434826125423
1025_1026,60,77.0,46.0,30.007912981444708,37.66746185955974,0.110805244943176
1026_1027,58,27.0,18.0,10.688570244517496,12.461731448305498,0.00019991479666736645
1027_1028,59,23.0,26.0,13.309442447195766,17.67873733091734,0.0776681432063534
1028_2818,58,156.0,68.0,58.508494671989865,77.96010962758658,-0.05109990940833109
1035_1314,417,51.0,19.0,13.338944642168588,16.636730633569783,0.03979927545375361
1036_4709,463,35.0,21.0,10.93948937246418,14.618720250905643,0.11999097988057361
1037_1038,459,34.0,21.0,11.639351554002527,14.812117504618845,0.13642204340472142
1038_2998,462,79.0,23.0,14.316037103629954,18.091791050910793,0.1317897218685955
104_6241,567,61.0,58.0,11.150976838219616,15.094192667456747,-0.10153053375255405
1042_1043,382,93.0,30.0,16.59304221628869,21.35980035717712,0.07155743055928465
1043_1044,380,38.0,13.0,8.05209540988021,11.473973360689643,0.1043457395291425
1044_1045,380,19.0,9.0,6.203961429125981,7.740394981103059,0.06461936207507968
1045_4710,384,40.0,52.0,9.026227796816885,12.363478971405595,0.047074827549852816
1046_1047,380,67.0,11.0,8.118395265456998,10.719018668012962,-0.03844118446940237
1047_1048,379,67.0,27.0,17.144459726710117,21.72622654912295,0.07325549008071075
1048_1049,380,41.0,11.0,9.301881317200852,10.923964775159256,-0.004867862043922866
1049_4333,382,49.0,16.0,9.836885312869803,11.977568620899447,-0.04994172849753986
105_6253,498,34.0,13.0,8.924663326512443,11.566589244469528,0.06557916509474193
1051_1052,458,36.0,15.0,11.179484529635557,13.402285476223492,0.07778597248349062
1052_1053,462,69.0,24.0,17.6339449185858,21.91128105401793,0.15223216567739317
1053_1054,457,62.0,14.0,9.408385530224047,11.524098961121503,-0.04549637612429458
1054_1036,459,90.0,33.0,24.71738510457033,30.016717107727324,0.008894729210555119
1055_2868,470,61.0,21.0,11.887934770576875,15.013544266923674,0.15663452681204626
1062_1063,47,36.0,27.0,14.610414611113862,16.275832423081436,-0.8328033138440778
1063_1064,48,47.0,27.0,20.500528265233495,23.875548727669635,-0.21566149828490144
1064_1065,47,44.0,16.0,14.360930953555812,16.656626815065657,0.0656782853131338
1065_1066,48,63.0,23.0,19.187003162690306,23.19182342695091,-0.04200892192718597
1066_1067,48,69.0,28.0,17.97976737020661,20.89307141500624,-0.0021044367735525427
1067_1068,581,68.0,28.0,16.19044158401684,21.36283530322743,0.11511212098165591
1068_1069,585,129.0,54.0,31.95948101423573,40.78779777847091,0.17798127870993974
1069_1070,3456,54.0,24.0,16.07753143986154,20.0037869916603,0.10146472768605852
107_6125,443,70.0,22.0,13.625481658409951,17.52753158464082,0.07021041422718088
1070_1071,3453,64.0,26.0,17.295162678412108,21.897702506665283,0.1266084353311041
1071_4528,3462,35.0,18.0,12.318598773486565,15.491824968554377,0.09068679501800059
1072_1352,858,127.0,79.0,29.34247067012292,43.0687773438914,0.11934054484260459
1072_7577,2564,123.0,50.0,28.934858636059353,41.05527110055036,0.14970843585472304
1073_3641,256,77.0,30.0,17.462843177158646,22.505865873968098,0.12449731513741458
1074_6074,355,155.0,51.0,34.72621960971252,44.19229025346865,0.0665025346702226
1076_1021,664,65.0,20.0,15.290326836221185,18.924667810551195,0.02151878269044072
1076_1077,2730,69.0,24.0,16.18247679369086,20.719310276692607,0.09591855802889793
1077_1078,2209,55.0,20.0,12.852904433914352,16.206410677535416,0.02266773316669557
1077_2479,900,90.0,28.0,19.497649663755087,24.819626172391168,0.05528696853178128
1078_1079,2207,56.0,30.0,17.184970180813846,21.43096931762276,0.11761439799347984
1079_1080,2182,34.0,22.0,11.187086447846296,14.137491149348111,0.049591054887180186
1080_1081,2179,57.0,42.0,22.318459779833663,30.873932916043508,0.1282738466928368
1081_1082,1428,75.0,36.0,24.594903678926915,29.876163636520566,0.18259021394952268
1081_2914,773,75.0,31.0,22.256269833195972,27.110537160268187,0.1587189995977305
1082_1083,1431,28.0,13.0,9.704202551316987,11.372608943601538,0.08310646582832215
1083_1085,1425,77.0,53.0,32.63527238730754,42.38876060226429,0.19323216544949295
1085_1086,406,92.0,37.0,29.440781527052625,35.32678162929313,0.08961255948487212
1085_1121,1034,70.0,30.0,23.30485081616448,27.74401290256198,0.13300121580110436
1086_1087,649,42.0,17.0,10.825512106173491,13.691565321187827,0.09410579683609543
1087_1088,659,34.0,14.0,10.101108054345659,11.750968977060523,0.03778669626888742
1088_1089,652,37.0,16.0,8.920242265048472,10.327418572213888,0.03923580649060121
1089_1090,659,81.0,38.0,28.351757279176496,34.760266637970695,0.02959148324969374
1090_1091,402,62.0,19.0,12.27037439221056,15.334320950058109,0.10755434644922723
1090_2413,796,57.0,20.0,13.812736644374183,17.65462494333786,0.05023082551141278
1091_1092,407,36.0,14.0,8.47393659335219,9.724937777403841,0.023233465498673334
1092_1093,407,23.0,72.0,6.689536316111029,8.726816647395571,-0.0021194682103418128
1093_1094,404,39.0,15.0,11.38597895464836,14.088389366359278,0.03345899688682452
1094_1095,402,49.0,21.0,10.091138713799406,12.210755869473102,-0.02741883099691722
1095_1096,818,36.0,18.0,12.357566001307653,15.354228273338261,0.04648665958847087
1096_1097,645,49.0,17.0,11.961304326052772,15.264763189499895,0.10762151999837155
1096_1101,402,47.0,23.0,15.205262191831668,19.11045484882643,0.16110867163566633
1097_1099,650,33.0,33.0,9.207340869487327,10.942674337303874,-0.02619485988819159
1099_6132,606,102.0,30.0,14.176147776142642,18.561245006020062,-0.12865654417030736
11_14,1536,65.0,33.0,27.464587167747194,31.682322021500447,0.05640675194361544
110_112,444,115.0,44.0,27.57783063724478,35.60941099357316,0.201571728732984
1100_100,644,45.0,23.0,12.141746548104665,15.988076359147831,0.10943277243207206
1101_1102,407,34.0,10.0,7.982997510382593,9.380540138954117,-0.020438474743881496
1102_1103,407,24.0,32.0,8.277964791881539,10.005872475600844,0.010791047711801505
1103_1104,407,55.0,14.0,10.819878007759106,13.467995325074487,0.048087139960552916
1105_1107,401,67.0,18.0,9.582210711126054,12.245190990211693,-0.16828174871331725
1107_1108,407,27.0,19.0,9.205052571836584,10.82288661149974,0.07875028767545322
1108_1109,409,35.0,21.0,11.143710936054573,14.110400004020955,0.13418965773298652
1109_1110,406,29.0,21.0,11.130953937082836,13.816469507396729,0.12887118418105514
1110_1111,408,39.0,37.0,19.35567372931304,26.2785469518592,0.11795393734238369
1111_1112,408,71.0,28.0,16.472629724440896,21.38739395908934,0.198665164188076
1111_2323,422,87.0,26.0,14.408241038591646,18.350936445486887,0.21799728452821865
