segment,count,mean,std,mae,rmse,r2
10_12,858,137.0,62.0,30.007801839752688,38.76133638270873,0.19132404974964157
100_1111,651,47.0,29.0,16.13624296895942,20.875243997357288,0.21471058092167739
1005_1788,218,49.0,19.0,12.845027947819089,16.293251237749352,0.14244338448266258
1013_1015,298,89.0,56.0,23.37962065386704,29.983779172376025,0.19728707580040572
1015_1016,20,147.0,38.0,33.103330619113024,39.885143321736464,0.030345628884708153
1015_2812,277,93.0,53.0,29.116717319710126,36.92144537444167,0.19108211849163448
1016_1017,3537,87.0,64.0,34.3890654984856,46.23541455262927,0.11440781383708287
1017_1018,3553,63.0,72.0,33.29612511351112,48.1255019646922,0.1573813465545193
1018_1019,3561,40.0,31.0,17.76256202571629,22.73300680948347,0.10718098139729149
1019_1020,3576,43.0,25.0,15.185244434842971,19.238236403490173,0.13921639146659615
102_6239,555,35.0,11.0,8.794629834824388,10.241719143994333,0.024831804359833565
1020_1076,3564,61.0,26.0,15.706065837238814,20.378157535280092,0.13126263195478516
1021_6042,573,35.0,14.0,10.162995891270995,12.871682200008227,0.06674837450975435
1022_1023,576,38.0,12.0,8.858458015549711,10.550214707082146,0.06959950941260762
1023_1024,569,32.0,15.0,11.689275895006093,13.971139029418694,0.050837921239790584
1024_895,568,66.0,70.0,20.852038374499823,29.092033494189312,-0.03171127127964213
1025_1026,47,91.0,62.0,31.00118264273513,39.45864926921438,0.03932605796498245
1026_1027,46,32.0,27.0,10.102527283066893,12.353178803079006,-0.2700146789815554
1027_1028,47,28.0,28.0,15.268631560822456,19.053142586301913,-0.09879822953365935
1028_2818,47,170.0,74.0,58.00586989688043,73.10045550467834,0.06035871724093178
1035_1314,394,55.0,24.0,14.748869850213596,18.54984268528384,0.11642041574736894
1036_4709,501,34.0,17.0,11.299683474855781,14.689993897261768,0.11778857582178281
1037_1038,499,34.0,21.0,12.4070919787789,15.46336098321072,0.11925148859784784
1038_2998,501,82.0,25.0,15.32595806198394,19.867895915509767,0.14937833462963257
104_6241,559,60.0,43.0,10.347372630967381,13.463568385508367,-0.08097786453225031
1042_1043,582,95.0,30.0,17.524471896519955,22.744573586498838,0.02493895155158632
1043_1044,586,38.0,18.0,9.032502848791925,12.106973327886669,0.056722505305611515
1044_1045,585,20.0,15.0,7.055809281771246,9.15870018639427,0.06337231517535691
1045_4710,576,50.0,68.0,11.529086540225316,17.800242503192546,0.07511054174853926
1046_1047,582,68.0,12.0,8.640998403888188,10.856568952256097,-0.09520349709868992
1047_1048,578,68.0,28.0,18.305499241906656,22.853757390461972,0.13524683034329388
1048_1049,585,41.0,15.0,9.42355294166447,11.330219534161959,-0.021207126258772524
1049_4333,581,50.0,13.0,9.709000723597066,11.962414254647204,0.026705391533325296
105_6253,477,35.0,14.0,9.85887664819722,12.116335493464241,0.07637348271942124
1051_1052,497,37.0,17.0,11.334340921497251,13.914123720604456,0.0849618780344471
1052_1053,499,67.0,25.0,16.88321658380791,20.78002874842147,0.1172871777499499
1053_1054,499,67.0,36.0,11.012792795199324,14.187223094520768,-0.0629152160101003
1054_1036,490,102.0,83.0,30.765001156696034,42.06008814420471,0.054126881794279935
1055_2868,403,73.0,52.0,17.987120174969792,25.349503070626458,0.1535211252129598
1062_1063,71,37.0,24.0,15.199199931019828,17.278078999329338,-0.011930058612142691
1063_1064,71,49.0,28.0,21.90531239192767,25.881014984949463,0.049923751962958396
1064_1065,69,48.0,17.0,12.029373108856134,15.129716964754781,-0.22073710804322233
1065_1066,71,79.0,29.0,20.84845390488177,26.681928399741434,-0.12568958009930942
1066_1067,70,71.0,18.0,13.578505565535531,17.213367983255576,-0.08038515074442687
1067_1068,625,80.0,53.0,22.658273480710697,31.367018777991316,0.14100337953800335
1068_1069,628,160.0,79.0,44.531240811530274,56.75223899720416,0.22584232979341434
1069_1070,3597,59.0,29.0,17.732200348935844,22.537570371254482,0.13412161987146487
107_6125,366,72.0,23.0,14.161794021730634,18.094537036409985,0.1231155032946527
1070_1071,3594,66.0,28.0,17.58980618322216,22.507286568690173,0.16664825832699515
1071_4528,3610,36.0,19.0,12.480206136322412,15.615962895584602,0.1351405783642613
1072_1352,757,137.0,78.0,38.62754781970391,54.449171661177324,0.15948153075415084
1072_7577,2800,129.0,56.0,29.532732854962966,41.34271874945972,0.2005251856185405
1073_3641,300,74.0,26.0,13.84144396398607,17.436670669450166,0.1917206968003934
1074_6074,293,152.0,51.0,34.17590594245557,42.827485761886386,0.07882693165093857
1076_1021,570,69.0,23.0,14.75633729138479,18.590024536277763,0.09984607461434991
1076_1077,3026,70.0,30.0,16.55134087440745,21.392804188974978,0.11330013773130987
1077_1078,2508,55.0,19.0,12.548412421329434,16.133108037378076,0.0784532414850575
1077_2479,877,93.0,30.0,20.92136838974348,27.176740877767642,0.06163531973997205
1078_1079,2508,56.0,28.0,16.413469429093652,20.446972720837508,0.1219362430973403
1079_1080,2495,33.0,19.0,10.777746847706753,12.922717388203228,0.06854045003182963
1080_1081,2469,54.0,39.0,19.348293316375816,26.992069519324644,0.13457897543204544
