segment,count,mean,std,mae,rmse,r2
10_12,833,135.0,63.0,30.18316381294376,38.466349926173024,0.2229773186147368
100_1111,636,47.0,29.0,14.929981674020931,19.078318734863778,0.16159510097612573
1005_1788,220,51.0,28.0,13.657848895912354,17.355016443858325,0.19245210120703027
1013_1015,338,86.0,38.0,21.858381801141267,28.575034134793885,0.29135045361964373
1015_1016,54,147.0,37.0,34.51083025168854,43.69222208575276,-0.24182714092781765
1015_2812,277,86.0,42.0,26.195420562542655,33.726005216939384,0.1348290301302133
1016_1017,3672,74.0,41.0,26.721227835971202,32.195581759247766,0.015239428508105668
1017_1018,3625,47.0,41.0,18.744787183082156,27.52658940495947,0.11849574495578752
1018_1019,3709,34.0,25.0,14.753623906448233,18.954109862127186,0.11737553661460032
1019_1020,3701,39.0,20.0,13.912781693571677,17.46796718833955,0.12820318228047656
102_6239,582,35.0,17.0,9.03890551835699,10.722526852518671,0.04644117047343721
1020_1076,3706,59.0,23.0,14.973929934820005,19.0337390737502,0.09878974688647857
1021_6042,723,34.0,13.0,9.493890245617585,12.364408626601973,0.047330169574952174
1022_1023,723,38.0,12.0,9.0611175270542,10.592678502768424,0.08634345655236653
1023_1024,722,31.0,16.0,11.667438967436992,14.013118792332884,0.00782335082205221
1024_895,721,64.0,81.0,21.35684659953433,31.379774876991654,-0.02440788624149781
1025_1026,70,105.0,87.0,48.846031201597086,65.7850072339488,0.08730869919838913
1026_1027,68,38.0,36.0,18.32132517459476,26.029335264366704,0.08429440218637307
1027_1028,68,26.0,26.0,14.297419561691278,19.171126462755225,0.1410974530269311
1028_2818,69,173.0,81.0,67.63316547993972,88.04249154219833,0.05049310593145062
1035_1314,430,54.0,22.0,13.204477542322318,16.891423301411532,0.14959264418675078
1036_4709,529,34.0,18.0,11.452362248263704,15.23935758438517,0.07925747797153038
1037_1038,540,34.0,22.0,12.439797354657344,15.97193168721207,0.0828747534702976
1038_2998,538,80.0,23.0,14.628598650275254,18.457668326061487,0.08616178286389264
104_6241,582,57.0,13.0,8.898924578854524,11.944591828861007,0.023933775874076413
1042_1043,524,93.0,32.0,18.722507155540246,24.11515666068476,0.1217255099170742
1043_1044,533,37.0,14.0,8.38268677625523,11.355765111188154,0.10728932858172957
1044_1045,527,20.0,13.0,6.966490078689783,8.50800414766653,0.04656143938463264
1045_4710,526,46.0,57.0,10.514471583774046,14.527957943511659,0.0007175563170687127
1046_1047,525,67.0,12.0,8.534015879368896,10.868822290092057,-0.01989216324087595
1047_1048,526,67.0,28.0,18.239297454874986,23.222258922677483,0.14831804054308795
1048_1049,525,40.0,11.0,8.788184331251593,10.15214852177924,0.08386798608690715
1049_4333,525,50.0,16.0,9.276318434547623,11.483237024829245,0.11899985606010566
105_6253,503,34.0,13.0,10.03321323871048,12.261216712461607,0.07448226740679831
1051_1052,533,36.0,15.0,10.863413779465862,13.146685721085197,0.07468741501729792
1052_1053,538,66.0,24.0,16.365129345803126,20.439621946275796,0.11192399325937086
1053_1054,538,65.0,29.0,11.94792919883181,15.125207374299007,-0.2452064468050421
1054_1036,535,98.0,65.0,28.121393994458998,36.11320496230733,0.00293711250860218
1055_2868,418,69.0,40.0,16.923451753899453,24.149485957151313,0.22919635558234908
1062_1063,59,36.0,31.0,15.959317602137121,18.579462755050642,-0.03769749514932852
1063_1064,59,53.0,31.0,22.08843423492697,25.089994984058585,-0.03168661785308169
1064_1065,61,50.0,20.0,16.52297352629549,20.074338341157006,0.029855087150902127
1065_1066,60,73.0,29.0,27.420069230297624,30.589379118595403,-0.10002874150465413
1066_1067,61,65.0,14.0,10.06009607273693,12.481665997969282,0.014279918004126313
1067_1068,601,73.0,39.0,16.756553018185848,22.230469688508503,0.03701128260667508
1068_1069,605,144.0,64.0,36.6512832395778,46.22928567330545,0.1036178710776322
1069_1070,3480,56.0,25.0,16.18162838391064,20.54196748877959,0.09572157964989803
107_6125,486,70.0,22.0,14.161787015638785,17.8365598947901,0.07214383304903638
1070_1071,3480,64.0,26.0,16.49923623942941,20.88093644780135,0.157870728028632
1071_4528,3485,36.0,18.0,12.220590510240687,15.201232660327936,0.1007866404429889
1072_1352,708,129.0,67.0,29.385032556609758,42.16413515874196,0.14054362530393316
1072_7577,2725,123.0,52.0,30.151766195228962,42.10581802325351,0.15413265634568596
1073_3641,285,84.0,31.0,20.821340293158556,26.17560956932312,-0.024440923708686446
1074_6074,311,151.0,48.0,32.36320200966154,41.12846257028268,0.12546858528729898
1076_1021,726,66.0,22.0,14.863103155341111,18.216273497470358,0.04479185905387251
1076_1077,3018,70.0,101.0,16.835065844883243,22.54085027202426,0.08740369440455376
1077_1078,2419,56.0,20.0,12.714112539257734,16.18465280036941,0.06060548272037414
1077_2479,863,93.0,31.0,21.1296306537078,26.88109382962512,0.09798298256583515
1078_1079,2412,55.0,27.0,16.465578822647437,20.61614537662858,0.16152295875592748
1079_1080,2393,34.0,23.0,11.23046459520147,14.049744560115753,0.08431302816286701
1080_1081,2379,54.0,40.0,19.92659574064621,28.30849124329173,0.15575474977792836
1081_1082,1456,75.0,38.0,24.98101627521908,30.504785936431944,0.22765356062297182
1081_2914,971,74.0,32.0,22.86276192377578,27.692102811807104,0.15473635286821041
1082_1083,1450,29.0,14.0,9.718512465096495,11.24902976688115,0.13550293375897315
1083_1085,1448,81.0,60.0,34.94231366860732,45.833797870527256,0.2414709006324609
1085_1086,446,92.0,37.0,28.073958467984365,34.92364087985545,0.07466133453119139
1085_1121,1020,70.0,31.0,22.0034729618512,26.792542896378038,0.1873731948115961
1086_1087,694,45.0,21.0,12.319450927067093,15.986632476025392,0.09170724351444015
1087_1088,696,36.0,15.0,10.565138875709302,12.451534958042291,0.07943598619282122
1088_1089,699,38.0,17.0,9.16213358501335,10.803129946628555,-0.0009547672722829414
1089_1090,702,87.0,41.0,29.230302085499172,35.44769337166055,0.034515556129921965
1090_1091,440,63.0,19.0,12.643169165562934,16.16184744858782,0.09913026761242483
1090_2413,791,58.0,20.0,13.261169832790623,16.89602815456752,0.11467157039766929
1091_1092,446,36.0,10.0,7.974882014282623,9.222505515348198,0.08044609552905002
1092_1093,446,22.0,9.0,6.8926229570817545,8.327983697289522,0.06890283984006695
1093_1094,447,42.0,57.0,14.279549235471775,18.276382427082478,0.06515620690799095
1094_1095,437,55.0,41.0,11.495287426479079,17.431810839936663,0.04632141243823418
1095_1096,810,36.0,19.0,12.498106115468119,15.897524496149616,0.11831515152221739
1096_1097,587,50.0,17.0,11.397130797391814,14.449019101496487,0.1416602872440238
1096_1101,444,47.0,22.0,13.095824919102634,16.49346945780437,0.20024191409891923
1097_1099,592,33.0,41.0,9.084118318527656,11.164154478116442,-0.08220814908879026
1099_6132,546,106.0,44.0,15.88101093652811,20.913987804982952,-0.1218292399254961
11_14,1537,66.0,33.0,26.96568091236545,30.92273527489293,0.052854775858365066
110_112,487,117.0,45.0,29.973903812156973,38.095199557464205,0.19319762335486945
1100_100,632,47.0,29.0,13.336850879858376,17.48083702361851,0.10634362495256022
1101_1102,443,35.0,10.0,7.6972710753064275,9.16536178302664,0.0440002398110404
