segment,count,mean,std,mae,rmse,r2
10_12,679,133.0,62.0,30.821855353744954,40.22778119181586,0.19872195704754225
100_1111,583,47.0,32.0,16.97437524628424,22.699495750203347,0.22400540163273475
1005_1788,196,49.0,22.0,13.488882604211966,17.258537014643462,0.07659358224557844
1013_1015,298,85.0,40.0,20.75184404281406,26.690881018470108,0.10468576777248018
1015_1016,3,149.0,42.0,39.01806940852327,47.18128702942008,-2.1710453643198337
1015_2812,295,87.0,45.0,27.586652228309934,34.13545954948854,0.09374757238361375
1016_1017,3307,75.0,77.0,28.379693661670757,37.81037573217774,0.07266317115968957
1017_1018,3213,46.0,38.0,17.269543010319197,24.52294194890393,0.0940355750719315
1018_1019,3266,34.0,22.0,14.135278924896317,17.931064384254412,0.11272118466151415
1019_1020,3288,39.0,20.0,13.65983403667629,17.037023848733238,0.12204109773468474
102_6239,462,35.0,18.0,9.072783170313945,10.324964482719208,-0.0612518924662524
1020_1076,3295,58.0,22.0,14.903264834106924,18.905954609468118,0.12673734428254746
1021_6042,641,36.0,41.0,10.584813394208899,14.36294230090982,-0.07632251134138701
1022_1023,619,38.0,15.0,9.533273901793645,11.387838028278802,-0.01373750707639787
1023_1024,620,33.0,49.0,13.06484705458342,16.995665922242377,-0.028742421220451897
1024_895,614,71.0,118.0,23.97992435370546,43.973142287894895,-0.028667300051712585
1025_1026,51,103.0,68.0,43.431203125097454,50.59391562479134,-0.2566589858659236
1026_1027,50,35.0,34.0,11.923112267050904,14.145595318482874,-0.6620307633818128
1027_1028,50,30.0,34.0,13.131664239417912,13.997088112660986,-3.034265903549067
1028_2818,50,175.0,74.0,48.270568310114875,53.961733481045144,-2.783251342230458
1035_1314,447,53.0,20.0,13.102933032835901,16.32393467121304,0.09878340362078275
1036_4709,371,35.0,19.0,11.249777814899831,14.979753060886699,0.10798035364514691
1037_1038,374,35.0,19.0,11.851133765183175,14.763367756924085,0.15285998083608732
1038_2998,374,81.0,23.0,13.603073209482718,17.590227439341646,0.19069729922344347
104_6241,464,60.0,37.0,9.770526519845923,13.44702894262559,-0.009798969049790163
1042_1043,442,93.0,27.0,16.008755579215496,20.3826534995593,0.096637520385505
1043_1044,443,39.0,13.0,8.311985905750355,11.176802366048165,0.10402707930429678
1044_1045,444,20.0,13.0,7.353871208788808,9.014302930892448,0.04447844745756546
1045_4710,440,44.0,47.0,10.310770198096241,14.241184860558722,0.04201168734011629
1046_1047,442,68.0,12.0,8.762660987504049,10.946144169203736,-0.03101963629836324
1047_1048,442,68.0,26.0,17.36624905689232,21.721190143189958,0.1616749497506823
1048_1049,443,42.0,12.0,9.108561355371998,11.139135913857105,-0.009816164938495131
1049_4333,441,50.0,13.0,9.286405362042837,11.189820008792179,0.11249688876001696
105_6253,428,34.0,14.0,9.13680358250293,11.482573345639052,0.11376774817911484
1051_1052,362,36.0,15.0,10.610644583189819,12.345013726373292,0.06013061946264975
1052_1053,370,68.0,24.0,17.234430224088022,21.298118920152287,0.11310877945899611
