trip_id,stop_count,actual_duration,predicted_duration
6578858,63,3834,3870.0
6578859,64,4102,4004.0
6578911,64,3536,3648.0
6578912,60,3284,3699.0
6578947,64,3881,4052.0
6578948,62,3600,3548.0
6578949,64,3070,3231.0
6578951,64,3284,3986.0
6578955,64,3577,3838.0
6578956,64,3496,3988.0
6578965,63,3776,3941.0
6579015,61,3864,3654.0
6579025,32,1554,1460.0
6579028,65,4023,3996.0
6579029,64,3322,4179.0
6579030,63,3380,4081.0
6579040,65,3875,4228.0
6579045,62,3727,3997.0
6579061,64,3918,3877.0
6579083,65,4131,4331.0
6579084,65,4071,4354.0
6579098,63,3597,4185.0
6579120,65,3532,4319.0
6579122,64,3860,3973.0
6579127,61,2946,3377.0
6579128,62,4041,3648.0
6579142,63,3362,4077.0
6579167,59,3589,3779.0
6579168,65,4474,4262.0
6579263,81,3632,3776.0
6579278,81,3692,4165.0
6579305,81,4339,4645.0
6579318,82,4418,4518.0
6579320,82,4144,4290.0
6579328,62,2857,3385.0
6579335,62,3068,3769.0
6579337,62,2759,3084.0
6579338,62,3357,3880.0
6579372,60,3116,3885.0
6579377,60,4113,4005.0
6579411,62,3588,3824.0
6579412,62,2718,3174.0
6579414,62,3411,3785.0
6579416,57,3417,3593.0
6579419,62,3500,3789.0
6579430,62,3737,3906.0
6579433,62,3501,3683.0
6579530,61,3012,3297.0
6579534,61,3565,3866.0
6579538,61,3056,3363.0
6579539,61,3297,4014.0
6579540,60,4383,4044.0
6579541,61,3251,4017.0
6579678,47,1721,1833.0
6579699,61,2920,3030.0
6579758,62,3919,4039.0
6579767,60,4058,3525.0
6579790,60,3053,3129.0
6579792,58,3081,3291.0
6579824,56,3022,3118.0
6579843,57,3429,3386.0
6579846,58,2800,3125.0
6579851,58,2127,2812.0
6579854,56,3762,3319.0
6579855,31,1606,1877.0
6579859,31,2254,2240.0
6579860,31,2569,2270.0
6579876,31,2028,2312.0
6579916,32,1700,1629.0
6579918,32,1744,1792.0
6579936,32,1319,1849.0
6579937,32,1573,1847.0
6579938,32,1661,1764.0
6579987,27,1746,1822.0
6579988,30,2145,2285.0
6579990,30,2026,2181.0
6580043,30,1506,1788.0
6580045,30,1966,1992.0
6580066,30,2047,2226.0
6580069,30,2205,2284.0
6580070,30,2067,2214.0
6580077,29,2400,2196.0
6580088,31,1811,1830.0
6580093,31,1773,1898.0
6580094,31,1768,1836.0
6580095,31,1304,1735.0
6580145,31,1966,1691.0
6580148,31,1651,1861.0
6580169,31,2025,1797.0
6580172,31,1468,1900.0
6580206,72,3886,4283.0
6580228,71,3523,4103.0
6580231,72,4702,4138.0
6580233,72,4469,4368.0
6580250,72,3843,3983.0
6580251,72,3142,3487.0
6580268,72,3785,4238.0
6580271,71,3119,3545.0
6580272,72,3949,3515.0
6580328,66,3785,3959.0
6580330,66,3473,3497.0
6580362,66,4375,4296.0
6580364,66,3249,3402.0
6580380,66,3480,3791.0
6580381,66,3490,4211.0
6580383,66,4102,4184.0
6580402,64,4279,4129.0
6580409,66,3882,4235.0
6580410,66,3596,3674.0
6580476,17,945,956.0
6580481,17,882,904.0
6580482,17,846,972.0
6580483,17,814,982.0
6580523,17,850,1001.0
6580536,17,872,825.0
6580551,17,886,925.0
6580558,19,1195,1123.0
6580575,19,1055,1146.0
6580576,19,1016,1115.0
6580578,19,802,900.0
6580580,19,1160,1117.0
6580620,19,754,880.0
6580621,19,967,939.0
6580625,19,933,1107.0
6580626,19,701,1013.0
6580651,19,945,1081.0
6580890,58,2084,2595.0
6580892,58,3311,2986.0
6580935,58,2697,2809.0
6580936,57,2906,2904.0
6580937,58,2370,2944.0
6580939,49,1750,1922.0
6580941,58,3041,2924.0
6580969,58,2921,2952.0
6580982,52,1704,2027.0
6580985,51,2176,2505.0
6581008,51,2304,2503.0
6581013,50,2240,2366.0
6581027,49,1800,2167.0
6581029,52,2089,2572.0
6581037,52,1922,2508.0
6581063,49,1951,2083.0
6581064,52,1941,2496.0
6581536,48,3113,3438.0
6581537,48,2915,3550.0
6581585,44,2573,3214.0
6581619,42,3863,3729.0
6581629,53,3086,3531.0
6581630,53,4423,3631.0
6581648,50,2548,2597.0
6581649,53,3027,3562.0
6581687,48,3130,3259.0
6581688,52,2593,2927.0
6581696,50,3932,3370.0
