trip_id,stop_count,actual_duration,predicted_duration
7315359,23,1110,1080.0
7315360,88,5009,4410.0
7315384,45,2025,2333.0
7315385,41,1582,1730.0
7315530,28,1544,1700.0
7315531,53,2758,2872.0
7315532,54,1731,2241.0
7315562,44,1750,1920.0
7315665,20,775,898.0
7315732,35,1445,1801.0
7315797,65,3126,3279.0
7315907,28,1783,1815.0
7315908,22,768,1016.0
7316013,12,531,499.0
7316014,48,1952,2376.0
7316027,2,109,138.0
7316028,2,114,154.0
7316054,65,3987,3483.0
7316085,32,2783,2372.0
7316133,4,151,152.0
7316134,63,2686,2750.0
7316165,54,2850,2638.0
7316229,37,2387,2383.0
7316230,20,928,1020.0
7316274,67,3592,3299.0
7316285,2,134,127.0
7316286,43,1814,2106.0
7316362,33,1725,1795.0
7316363,31,1486,1630.0
7316386,19,1201,979.0
7316387,42,2738,2491.0
7316468,32,1770,1873.0
7316469,34,1345,1614.0
7316638,40,3013,2172.0
7316639,37,1971,1865.0
7316674,30,1364,1260.0
7316675,32,1285,1416.0
7316806,10,496,488.0
7316807,29,1734,1306.0
7316852,82,4533,4135.0
7316882,23,1509,1351.0
7316883,74,3544,3839.0
7316908,48,2394,2400.0
7316955,43,1845,1675.0
7317046,12,614,493.0
7317047,68,3303,3457.0
7317105,41,2158,2032.0
7317187,25,1404,1406.0
7317238,6,379,469.0
7317239,55,3086,2931.0
7317332,39,2272,2262.0
7317361,28,1369,1359.0
7317362,28,1396,1357.0
7317384,34,2021,1718.0
7317385,47,2735,2672.0
7317399,39,1688,2270.0
7317400,66,3099,2853.0
7317414,2,204,204.0
7317415,51,2732,2689.0
7317449,30,1590,1681.0
7317450,21,1066,1136.0
7317513,14,578,938.0
7317514,39,1837,1839.0
7317536,17,925,877.0
7317537,41,1441,1720.0
7317642,12,599,756.0
7317643,50,2736,2605.0
7317924,9,839,864.0
7317925,31,1824,1656.0
7317964,36,1734,1635.0
7317974,68,3902,3373.0
7318007,77,3100,3410.0
7318095,27,1379,1173.0
7318096,42,1781,1805.0
7318121,30,1712,1533.0
7318122,34,1378,1754.0
7318155,34,1844,2038.0
7318258,59,3128,3179.0
7318298,22,1356,1361.0
7318299,24,1289,1203.0
7318400,58,2358,2282.0
7318451,29,1675,1580.0
7318452,41,2165,2090.0
7318459,6,251,211.0
7318460,44,1728,2168.0
7318507,24,965,1113.0
7318508,24,891,1072.0
7318518,50,1966,2242.0
7318615,31,1826,1314.0
7318616,35,1490,1672.0
7318661,35,2118,1936.0
7318662,38,1528,1582.0
7318700,28,1623,1546.0
7318701,28,1634,1590.0
7318711,36,2323,1785.0
7318712,46,2150,2173.0
7318722,64,3419,3131.0
7318746,28,1006,1102.0
7318747,40,1148,1430.0
7318888,23,943,1530.0
7318889,40,1393,1775.0
7318918,33,1650,1678.0
7318919,14,594,829.0
7319020,25,1087,1124.0
7319021,40,1972,2039.0
7319046,38,1844,1727.0
7319047,45,2068,2256.0
7319075,2,155,204.0
7319076,27,1197,1598.0
7319239,40,2609,2513.0
7319249,64,2685,2988.0
7319281,3,115,103.0
7319282,70,3073,3557.0
7319298,36,1706,1883.0
7319421,29,1166,1202.0
7319574,17,1081,1321.0
7319575,51,1844,2105.0
7319604,50,2933,2753.0
7319605,22,1086,1122.0
7319638,23,1090,1126.0
7319639,25,1507,1243.0
7319704,14,878,640.0
7319705,68,3323,3234.0
7319753,17,786,815.0
7319754,19,726,844.0
7319772,56,2972,2527.0
7319773,53,2234,2444.0
7319809,11,702,658.0
7319810,33,1479,1484.0
7319836,11,431,510.0
7319837,41,2152,2292.0
7319874,57,2547,2367.0
7320038,2,71,77.0
7320039,39,1799,1822.0
7320090,40,1247,1580.0
7320148,5,206,213.0
7320149,41,1832,2326.0
7320158,31,1517,1337.0
7320159,44,1945,2093.0
7320169,80,4030,3956.0
7320209,3,215,299.0
7320210,46,2092,2308.0
7320221,34,1967,1746.0
7320222,43,2018,2373.0
7320324,2,31,45.0
7320325,10,260,361.0
7320326,12,386,444.0
7320343,52,2288,2457.0
7320344,84,3482,3771.0
7320465,27,1249,1239.0
7320466,46,2128,1998.0
7320557,46,2017,2293.0
7320558,44,2124,2105.0
7320583,49,2572,2340.0
7320614,64,3328,3307.0
7320632,23,1049,1051.0
7320633,23,759,822.0
7320749,6,324,265.0
7320750,37,1564,1402.0
7320751,32,1289,1146.0
7320794,18,1067,1205.0
7320795,56,2537,2765.0
7320901,10,961,756.0
7320902,57,2503,2516.0
7320930,31,1735,2217.0
7320945,25,1302,1210.0
7320946,34,1365,1367.0
7320961,22,1585,1484.0
7320962,38,2111,2084.0
7320994,14,792,712.0
7320995,60,2859,2676.0
7321009,8,471,473.0
7321010,37,1291,1515.0
7321242,2,621,429.0
7321330,37,2617,2379.0
7321339,44,1331,1692.0
7321354,49,2225,2368.0
7321374,13,564,594.0
7321584,23,1089,1016.0
7321585,45,2661,2451.0
7321613,51,2859,2558.0
7321614,66,2763,2886.0
7321615,47,1256,1646.0
7321657,11,889,902.0
7321658,60,2779,2947.0
7321751,47,1756,1745.0
7321752,60,2217,2175.0
7321809,31,1203,1230.0
7321810,32,1249,1157.0
7321827,34,2343,2222.0
7321828,39,1916,2058.0
7321857,20,1210,1195.0
7321858,37,1931,1819.0
7321878,5,209,235.0
7321879,50,1939,2118.0
7321898,39,2104,2173.0
7321899,39,1934,2010.0
7321926,47,2751,2786.0
7321956,43,1843,1927.0
7321957,53,2086,2411.0
7322017,5,204,204.0
7322033,5,302,258.0
7322034,44,2023,1836.0
7322054,40,1815,1791.0
7322126,36,1951,1887.0
7322197,32,1831,1794.0
7322343,64,3335,3467.0
7322353,38,2183,1723.0
7322354,35,1592,1601.0
7322421,7,344,356.0
7322422,49,2059,1962.0
7322479,33,2224,2049.0
7322480,16,1078,999.0
7322591,40,1857,1957.0
7322642,7,293,256.0
7322643,34,1541,1895.0
7322671,15,628,499.0
