trip_id,stop_count,actual_duration,predicted_duration
8132170,56,4196,3552.0
8132177,58,3895,4251.0
8132251,45,2158,2364.0
8132259,44,2527,2265.0
8132266,47,3309,2928.0
8132272,48,2091,2194.0
8132297,27,1517,1445.0
8132299,27,1441,1540.0
8132300,24,982,1095.0
8132305,74,4990,4424.0
8132309,75,4558,4867.0
8132345,66,4362,4509.0
8132379,30,2424,2077.0
8132383,30,2629,2381.0
8132391,30,2448,2577.0
8132393,30,2351,2373.0
8132397,30,1669,1942.0
8132414,37,1435,1516.0
8132415,37,1568,1670.0
8132450,69,6225,5222.0
8132452,51,4393,4192.0
8132588,40,2091,2248.0
8132605,43,2904,2608.0
8132607,43,2837,3026.0
8132609,42,3163,3170.0
8132613,48,3007,2929.0
8132614,44,3338,3250.0
8132696,51,3993,3500.0
8132702,58,3757,3875.0
8132704,34,2671,2212.0
8132709,64,3163,3114.0
8132710,69,6320,4584.0
8132712,67,5161,4975.0
8132765,85,4872,5355.0
8132767,51,3300,3348.0
8132794,51,4210,3541.0
8132796,51,3324,3757.0
8132798,50,3966,3610.0
8132799,1,92,57.0
8132870,39,3322,2983.0
8132871,89,5451,5309.0
8132875,64,4053,4536.0
8132896,54,3866,3246.0
8132900,18,1677,1596.0
8132902,55,4403,4321.0
8132903,58,3738,3959.0
8132905,58,3094,3274.0
8132925,73,5779,4738.0
8132927,76,5470,5754.0
8132930,72,4487,4072.0
8132934,63,3684,4108.0
8132939,81,3457,4096.0
8132941,80,4841,4822.0
8132942,76,6039,5305.0
8132969,69,5813,5236.0
8132971,69,5235,5279.0
8132980,50,3851,3322.0
8132984,50,3660,3689.0
8132991,52,3050,2954.0
8132995,52,2409,2543.0
8132997,51,2524,2154.0
8133012,67,5069,4486.0
8133013,68,5646,5035.0
8133014,28,2569,2241.0
8133016,66,5309,5042.0
8133030,36,1323,1455.0
8133031,36,1509,1636.0
8133035,36,1717,1839.0
8133038,36,1791,2039.0
8133053,65,4112,4100.0
8133055,61,5112,4317.0
8133123,38,2623,2942.0
8133124,40,3991,3526.0
8133125,43,3677,3699.0
8133184,68,3418,3509.0
8133185,74,4825,4027.0
8133186,65,4475,4094.0
8133187,74,6295,4758.0
8133235,46,4010,3425.0
8133237,26,2087,1957.0
8133239,46,3347,3800.0
8133251,50,2668,2671.0
8133253,50,3248,2931.0
8133260,41,3412,3009.0
8133282,33,2691,2641.0
8133314,66,4036,3717.0
8133315,74,4530,4410.0
8133317,70,5541,4428.0
8133318,67,5510,4717.0
8133433,41,2745,2420.0
8133450,69,5397,4130.0
8133451,64,3195,3592.0
8133454,68,6153,5191.0
8133455,63,5154,4429.0
8133457,63,4994,4355.0
8133459,62,4021,3576.0
8133463,55,3232,3812.0
8133464,44,2589,2746.0
8133468,27,1976,2121.0
8133469,49,3647,3722.0
8133470,46,3713,3582.0
8133471,49,4305,3939.0
8133474,47,3748,3556.0
8133476,46,3428,2968.0
8133481,86,6939,5866.0
8133513,68,5638,4948.0
8133516,67,4963,5150.0
8133517,69,4774,4792.0
8133524,54,5030,4244.0
8133530,60,3099,3600.0
8133551,66,4485,4039.0
8133555,72,4419,3695.0
8133581,27,1916,2014.0
8133583,19,1967,1372.0
8133588,48,3990,3563.0
8133592,67,4505,3990.0
8133593,60,2899,3237.0
8133594,68,3638,3444.0
8133628,83,6671,5175.0
8133630,78,5359,4922.0
8133646,70,4963,4364.0
8133648,68,5792,4910.0
8133650,68,5658,5108.0
8133651,66,5369,5033.0
8133653,6,1046,704.0
8133672,79,5283,5214.0
8133674,83,5902,5374.0
8133676,88,6152,6005.0
8133707,42,3919,3286.0
8133715,31,2271,1940.0
8133719,34,2152,2095.0
8133721,33,1522,1846.0
8133722,38,1912,1898.0
8133735,60,3700,3553.0
8133738,60,5061,4190.0
8133805,14,486,544.0
8133806,17,752,681.0
8133807,14,588,572.0
8133809,14,690,679.0
8133812,14,825,689.0
8133844,47,3193,2686.0
8133845,47,3201,3052.0
8133846,48,2919,2859.0
8133877,26,1504,1879.0
8133880,39,1790,1986.0
8133921,47,4779,3752.0
8133923,47,4258,3884.0
8133925,76,3876,4019.0
8133931,53,3272,3778.0
8133932,91,4150,4228.0
8133934,56,2768,2595.0
