trip_id,stop_count,actual_duration,predicted_duration
6228561,64,3581,3412.0
6228587,51,4635,4408.0
6228588,57,4492,4444.0
6228589,52,3774,3817.0
6228608,40,2035,2130.0
6228613,41,2506,2597.0
6228615,39,3028,2784.0
6228619,38,2665,1981.0
6228621,38,1849,1559.0
6228624,35,2230,1904.0
6228629,36,1821,1873.0
6228638,36,1018,1764.0
6228639,33,1707,1912.0
6228640,36,1976,1982.0
6228648,45,3520,3466.0
6228684,89,6395,5879.0
6228770,66,4102,4621.0
6228789,65,5429,5043.0
6228790,68,5511,5381.0
6228795,17,1264,1097.0
6228798,19,1001,1414.0
6228827,79,6582,6024.0
6228842,33,2528,2678.0
6228843,34,2844,2690.0
6228850,50,4900,3807.0
6228851,34,3438,2773.0
6228863,44,3020,2996.0
6228864,47,2840,2769.0
6228867,41,1953,2028.0
6228913,49,2356,2530.0
6228914,54,2613,2424.0
6228916,52,2666,2512.0
6228917,47,2710,2567.0
6228920,52,2420,2684.0
6228924,54,1767,2176.0
6228927,49,2065,1934.0
6228945,43,3927,4504.0
6228946,40,3571,3846.0
6228949,44,4475,4346.0
6228965,38,2781,2964.0
6228971,56,3891,3990.0
6228972,58,4358,4153.0
6228977,56,2550,2669.0
6229013,40,2423,2895.0
6229018,45,3526,3991.0
6229019,43,3831,3763.0
6229020,22,1639,1567.0
6229022,25,1249,1711.0
6229024,25,1643,1639.0
6229026,25,1698,1714.0
6229027,22,1509,1560.0
6229028,23,1880,1630.0
6229029,23,1668,1629.0
6229034,27,1695,1988.0
6229035,23,2036,1975.0
6229036,58,4097,4567.0
6229041,23,1556,1790.0
6229046,58,3933,3572.0
6229090,52,2007,2115.0
6229091,49,2332,2837.0
6229093,49,2136,2593.0
6229094,53,2800,2378.0
6229097,45,2949,2457.0
6229098,37,1664,1862.0
6229099,49,2479,2813.0
6229134,57,4723,4676.0
6229139,44,2320,2504.0
6229140,88,7059,6744.0
6229174,52,5061,4483.0
6229177,60,4491,4480.0
6229178,54,4219,4300.0
6229179,60,5034,4695.0
6229180,53,4918,4683.0
6229181,60,4178,4527.0
6229198,22,1502,1359.0
6229200,23,1421,1448.0
6229201,24,1429,1520.0
6229248,23,1721,1654.0
6229260,52,5094,4450.0
6229263,58,2947,3326.0
6229284,57,2120,2628.0
6229285,56,3180,4238.0
6229287,51,2853,2751.0
6229288,58,3556,3409.0
6229315,71,4896,5240.0
6229316,68,4438,4926.0
6229318,68,3687,3798.0
6229319,73,3453,3526.0
6229352,82,7178,6166.0
6229368,57,4591,4516.0
6229379,63,5097,5098.0
6229381,42,3731,3659.0
6229403,67,4679,4794.0
6229406,69,5637,5511.0
6229408,68,4862,4642.0
6229435,35,1472,2069.0
6229436,37,2390,2483.0
6229444,37,2321,2140.0
6229447,35,2759,2112.0
6229449,35,2137,2049.0
6229450,38,1659,2119.0
6229496,23,1282,1737.0
6229498,22,1336,1714.0
6229499,25,1756,1874.0
6229500,23,1346,1659.0
6229503,24,1429,1347.0
6229533,43,2541,2741.0
6229538,42,3708,4093.0
6229541,53,3464,3863.0
6229542,38,3315,3463.0
6229663,43,4045,3737.0
6229665,42,4009,3857.0
6229686,41,2900,2553.0
6229687,32,1887,2044.0
6229779,27,2980,3262.0
6229782,53,3963,3829.0
6229787,42,3386,3310.0
6229839,48,3904,4343.0
6229840,42,3635,3650.0
6229866,27,1908,2191.0
6229869,68,4777,4357.0
6229870,64,5432,5208.0
6229871,69,4781,4895.0
6229872,67,4494,4920.0
6229876,66,5657,4998.0
6229879,34,2474,2282.0
6229883,36,2333,2538.0
6229892,39,1782,1999.0
6229934,67,4348,4305.0
6229935,64,4167,4594.0
6229939,63,4855,4988.0
6229942,67,3682,3378.0
6229943,35,1437,1628.0
6229960,66,5833,5394.0
6229963,75,4463,4487.0
6229967,72,2673,2946.0
6229968,69,3285,3327.0
6229969,73,3321,3245.0
6229971,71,3203,3425.0
6229975,65,4058,3734.0
6229981,65,3393,3766.0
6229982,67,2837,3244.0
6230005,90,5889,6368.0
6230008,84,6606,6219.0
6230010,89,5506,6925.0
6230011,87,5209,5739.0
6230026,68,6420,5657.0
6230033,43,4099,4047.0
6230037,85,5035,4730.0
6230040,30,2500,2873.0
6230134,35,2055,2062.0
6230136,30,2461,2080.0
6230138,35,2360,2397.0
6230139,38,2283,2576.0
6230140,34,2220,2491.0
6230141,38,2463,2674.0
6230155,46,4152,3687.0
6230193,88,5201,6126.0
6230195,87,6658,6272.0
6230197,89,6528,6988.0
6230212,64,4431,5063.0
6230213,40,2856,3493.0
6230215,75,4478,4941.0
6230217,35,1768,1778.0
6230231,67,5744,5544.0
6230232,64,4471,4528.0
6230235,66,5924,5435.0
6230238,45,2326,2320.0
6230239,38,2158,2387.0
6230245,38,2533,2453.0
6230251,51,4239,4137.0
6230252,52,4032,4701.0
6230327,54,5276,4457.0
6230362,49,4738,4346.0
6230374,55,3208,3586.0
6230380,52,1636,2344.0
6230403,82,6697,5681.0
6230404,88,6919,6159.0
6230405,82,6542,6057.0
6230410,58,4104,4267.0
6230411,53,3805,3750.0
6230417,38,1997,2184.0
6230420,34,1889,2064.0
6230424,34,1788,1944.0
6230490,67,6045,5448.0
6230493,63,4439,4618.0
6230495,63,5863,5034.0
6230496,67,4938,4700.0
6230508,51,5069,5893.0
6230527,58,4390,4536.0
6230528,45,4140,3879.0
6230534,67,5536,5356.0
6230535,69,4211,4639.0
6230536,66,3726,3994.0
6230565,1,41,72.0
6230568,69,4211,4399.0
6230585,80,5155,5703.0
6230590,66,4639,4434.0
6230602,47,3091,3185.0
6230603,44,3244,3019.0
6230604,48,4604,3373.0
6230608,47,4071,3613.0
6230613,41,2140,2221.0
6230651,39,2673,2610.0
6230656,39,2358,2257.0
6230660,40,1730,2036.0
6230662,40,1589,1702.0
6230680,48,2657,2785.0
6230699,10,368,487.0
6230701,10,517,512.0
6230710,52,2959,3060.0
6230714,49,3237,3379.0
6230715,54,3373,3724.0
6230718,52,3699,4078.0
6230722,51,2491,3038.0
6230724,45,1798,1969.0
6230725,56,3591,3286.0
6230732,28,2143,2039.0
6230734,49,3316,3154.0
6230743,54,3849,4171.0
6230745,65,4016,4460.0
6230782,31,1513,1740.0
6230787,36,1798,2047.0
6230796,57,5219,4702.0
6230800,39,2859,2737.0
6230801,58,4792,4411.0
6230802,54,3666,3331.0
6230826,50,5025,4962.0
6230832,53,4397,4385.0
6230833,57,4540,4513.0
6230834,61,3298,3726.0
6230858,50,3993,3474.0
6230863,43,3120,3330.0
6230864,49,3596,3721.0
6230865,47,4003,4338.0
6230870,59,3490,3511.0
6230921,84,5978,6211.0
