trip_id,stop_count,actual_duration,predicted_duration
5955278,68,3487,3704.0
5955279,73,4459,4067.0
5955280,67,5404,4196.0
5955281,75,5123,4548.0
5955330,76,4689,4692.0
5955344,33,2718,2071.0
5955351,33,1811,1839.0
5955353,31,1596,1561.0
5955369,78,4197,4473.0
5955371,81,4794,4753.0
5955381,64,3367,3839.0
5955383,64,3257,3848.0
5955437,46,2264,2382.0
5955438,47,2391,2532.0
5955439,43,2049,2384.0
5955443,43,2195,2576.0
5955445,46,2527,3001.0
5955447,45,2773,2607.0
5955452,96,4093,4353.0
5955456,59,2284,2137.0
5955477,68,3243,3317.0
5955480,69,5441,4646.0
5955482,68,3167,3765.0
5955484,69,4280,3957.0
5955486,69,2515,3210.0
5955535,54,2754,2941.0
5955539,50,2024,2160.0
5955560,74,4455,4449.0
5955561,46,3236,2904.0
5955563,38,2194,2183.0
5955564,63,3576,3558.0
5955568,52,3095,2871.0
5955570,54,3010,3152.0
5955572,54,2700,3234.0
5955573,27,1482,1961.0
5955575,58,2937,2934.0
5955625,56,2908,2595.0
5955626,49,2995,2514.0
5955629,51,3398,3012.0
5955630,49,2564,2544.0
5955631,51,3045,3092.0
5955636,50,2401,2088.0
5955637,52,1660,1777.0
5955695,57,3136,3050.0
5955699,52,2262,2604.0
5955702,56,2681,2748.0
5955728,61,3489,3745.0
5955779,56,2219,2438.0
5955783,50,1703,1633.0
5955785,81,4401,3710.0
5955787,77,4048,3903.0
5955790,79,3451,3719.0
5955816,21,1045,997.0
5955820,21,984,1111.0
5955822,23,1595,1309.0
5955844,59,4789,4453.0
5955973,54,2411,3128.0
5955974,52,2646,2903.0
5955975,54,2437,2781.0
5955978,49,1836,2116.0
5956064,36,1690,1570.0
5956065,37,1223,1475.0
5956228,38,1951,1714.0
5956254,49,2403,2430.0
5956256,23,1006,1092.0
5956266,41,1942,2283.0
5956269,40,2571,2384.0
5956288,84,6643,4992.0
5956289,71,3641,3545.0
5956329,58,3094,3039.0
5956330,68,3262,3516.0
