trip_id,stop_count,actual_duration,predicted_duration
7133190,32,2880,2710.0
7133191,36,2511,2594.0
7133192,33,2288,2520.0
7133193,37,2813,2981.0
7133315,36,1728,1726.0
7133321,37,1305,1597.0
7133345,64,3433,4189.0
7133347,64,4190,4177.0
7133390,38,1822,2072.0
7133397,45,1773,1937.0
7133398,37,1475,1524.0
7133401,69,5537,5129.0
7133403,67,5147,4732.0
7133478,45,3795,2861.0
7133479,11,852,935.0
7133561,53,4955,3817.0
7133562,58,2844,3438.0
7133563,51,3333,3915.0
7133582,36,2346,2593.0
7133585,33,2569,2776.0
7133586,37,3470,2884.0
7133587,30,1836,2277.0
7133590,37,2479,2346.0
7133601,86,4720,4611.0
7133603,65,4483,4238.0
7133613,52,2758,2309.0
7133629,73,4256,4123.0
7133630,57,3484,3743.0
7133632,65,4557,4775.0
7133636,65,3769,3992.0
7133637,65,2671,2992.0
7133648,43,2620,2562.0
7133656,36,2168,2370.0
7133662,36,2516,2578.0
7133663,33,2488,2520.0
7133665,33,2137,2305.0
7133666,36,2635,2258.0
7133667,32,1904,2040.0
7133669,30,1559,1680.0
7133692,44,2523,2849.0
7133695,48,2908,2960.0
7133732,49,2992,3096.0
7133733,47,3031,3330.0
7133734,49,3444,3508.0
7133736,49,3585,3687.0
7133737,46,3815,3603.0
7133791,58,2874,3092.0
7133792,53,2610,2729.0
7133827,14,635,691.0
7133830,12,450,602.0
7133861,61,3867,4081.0
7133866,62,3195,3941.0
7133868,62,3483,3363.0
7133888,75,4648,5019.0
7133894,41,2821,2578.0
7133895,30,1033,1549.0
7133948,50,3121,3251.0
7133950,50,3130,3520.0
7133992,56,3915,3978.0
7133996,26,2158,1829.0
7133997,23,1264,1430.0
7133998,27,1614,1707.0
7134029,68,4105,4604.0
7134030,64,4522,3965.0
7134034,64,4279,4310.0
7134035,66,4955,4547.0
7134068,13,823,748.0
7134071,16,640,785.0
7134072,13,822,794.0
7134073,16,678,786.0
7134075,16,690,788.0
7134076,13,617,795.0
7134093,44,2347,2435.0
7134097,44,2061,2500.0
7134098,46,2479,2891.0
7134135,68,3294,3865.0
7134136,72,3390,4104.0
7134137,68,4564,4460.0
7134141,68,3813,4575.0
7134145,68,3024,3628.0
7134147,39,2013,2399.0
7134150,36,1843,2296.0
7134152,43,2195,2665.0
7134223,59,3817,3880.0
7134266,58,3053,3103.0
7134268,58,2784,3083.0
7134270,58,2891,2799.0
7134285,83,5612,5581.0
7134287,83,5818,5504.0
7134288,81,4567,4418.0
7134289,61,3321,3644.0
7134291,47,1928,2510.0
7134302,16,817,995.0
7134320,59,3329,3589.0
7134322,60,3339,3562.0
7134374,67,3353,3841.0
7134376,66,4562,4424.0
7134379,70,4223,4425.0
7134383,72,3734,3849.0
7134386,62,2857,3616.0
7134388,54,3214,3820.0
7134392,60,3805,3780.0
7134393,59,4213,3662.0
7134397,49,1827,2535.0
7134407,45,2381,2488.0
7134409,58,3347,3103.0
7134415,23,1540,1600.0
7134428,64,3870,3933.0
7134429,65,4802,4533.0
7134431,64,4692,4572.0
7134443,48,3320,3530.0
7134444,46,3433,3603.0
7134445,48,3812,3626.0
7134447,49,2959,3662.0
7134465,36,1330,2505.0
7134466,58,2788,3369.0
7134469,57,2960,2747.0
7134509,52,2938,3347.0
7134514,58,3245,3790.0
7134515,42,3577,3190.0
7134518,43,1642,1980.0
7134564,28,1334,1584.0
7134565,62,3415,3491.0
7134587,65,4087,4451.0
7134596,47,2694,2911.0
7134597,54,3114,2863.0
7134598,49,2706,2837.0
7134600,56,2255,2390.0
7134716,50,1961,2446.0
7134772,37,2243,2392.0
7134777,34,2017,2290.0
7134779,34,2230,2282.0
7134783,34,1956,2004.0
7134875,31,1842,1729.0
7134880,47,4043,3118.0
7134882,59,3684,3764.0
7134883,52,3245,3284.0
7134886,58,2914,3222.0
7134888,59,3034,2933.0
7135067,42,3342,3060.0
7135071,43,2960,3422.0
7135073,43,3240,3409.0
7135153,68,5710,5032.0
7135154,63,4198,4291.0
7135159,33,1366,1554.0
7135160,37,2554,2153.0
7135161,32,2125,1892.0
7135213,66,4437,4274.0
7135216,74,4562,4577.0
7135220,53,3326,2834.0
7135235,60,3503,3628.0
7135236,67,3853,4144.0
7135238,68,4100,3728.0
7135240,40,2363,2219.0
7135264,37,2538,2388.0
7135272,37,1442,2104.0
7135275,34,1649,1813.0
7135300,89,5113,5097.0
7135301,83,5195,5268.0
7135328,62,3843,3747.0
7135331,60,3776,4177.0
7135334,62,2987,3727.0
7135349,17,1121,1187.0
7135354,18,1111,1473.0
7135358,18,1569,1548.0
7135360,18,992,1573.0
7135361,16,1066,1268.0
7135362,18,961,1477.0
7135395,67,5470,4955.0
7135435,59,3526,3506.0
7135438,68,3912,4203.0
7135464,56,4593,3974.0
7135471,42,1531,1902.0
7135493,43,3074,3216.0
7135496,43,2843,3512.0
7135548,53,3305,3817.0
7135550,55,3786,3892.0
7135552,58,3533,3551.0
7135554,58,3044,3101.0
7135555,50,2842,2974.0
7135557,50,3213,3398.0
7135558,48,3526,3749.0
7135567,49,3102,2925.0
7135578,11,358,448.0
7135580,12,499,495.0
7135584,12,565,505.0
7135587,10,508,398.0
7135591,10,498,397.0
7135599,10,266,320.0
7135600,12,401,396.0
7135601,10,229,292.0
7135607,83,5216,4992.0
7135608,89,5591,5630.0
7135620,68,4310,3969.0
7135621,75,3928,4011.0
7135623,27,740,1017.0
7135682,50,2882,2620.0
7135683,55,2923,2950.0
7135688,59,3846,3780.0
7135793,57,2201,2525.0
7135939,33,2699,2565.0
7135941,33,3143,2789.0
7135954,53,3520,3987.0
7136006,14,1436,1039.0
