trip_id,stop_count,actual_duration,predicted_duration
6830585,68,4096,4328.0
6830587,67,5003,4603.0
6830632,82,6005,6174.0
6830633,89,6486,6673.0
6830638,73,4763,4929.0
6830639,24,1643,1815.0
6830640,28,1632,1896.0
6830657,44,4690,5244.0
6830669,65,4661,4412.0
6830674,64,5512,4884.0
6830679,81,7018,6211.0
6830696,48,3255,3329.0
6830697,56,3214,3007.0
6830699,56,2973,3257.0
6830700,49,3424,3410.0
6830702,48,3357,3509.0
6830711,88,6030,6509.0
6830712,87,6113,5939.0
6830713,87,6741,6278.0
6830727,61,4903,4628.0
6830783,70,5109,5545.0
6830827,40,4859,4318.0
6830837,48,3091,3215.0
6830839,58,5435,4238.0
6830846,41,3262,3017.0
6830867,37,2065,2077.0
6830869,63,4673,4704.0
6830871,64,5009,4946.0
6830903,29,2158,2258.0
6830904,46,4228,3584.0
6830907,40,3408,3330.0
6830908,44,3759,3791.0
6830915,53,2658,3410.0
6830921,49,3280,3065.0
6830922,54,6120,4859.0
6830923,53,3346,3703.0
6830925,53,2596,3013.0
6830929,52,4743,4107.0
6830930,33,2390,2111.0
6830933,54,4282,4308.0
6830934,60,4214,3841.0
6830936,60,3019,3358.0
6830937,22,1110,1163.0
6830950,54,3366,3576.0
6831015,39,2970,2875.0
6831016,56,3287,3548.0
6831018,42,2265,2124.0
6831020,38,2362,2083.0
6831021,39,2603,2281.0
6831024,39,2426,2412.0
6831026,42,2112,2527.0
6831029,40,2058,1991.0
6831031,31,1489,1324.0
6831034,33,2770,2841.0
6831036,33,2900,2715.0
6831038,33,2946,3129.0
6831039,35,3273,2862.0
6831062,18,1729,1647.0
6831067,16,1403,1433.0
6831068,18,1142,1429.0
6831074,60,5441,4218.0
6831078,16,1289,1158.0
6831082,15,1163,1177.0
6831086,37,2299,2492.0
6831105,50,2978,3284.0
6831110,45,3888,3193.0
6831111,4,420,348.0
6831115,56,2910,3110.0
6831148,69,5099,4685.0
6831150,25,1915,1741.0
6831153,25,1663,1833.0
6831215,36,1840,1870.0
6831219,32,2086,1640.0
6831235,41,2992,2865.0
6831237,23,2239,1938.0
6831238,55,5143,4584.0
6831246,48,4008,3812.0
6831247,26,1885,2007.0
6831249,56,5167,4671.0
6831264,58,3748,4297.0
6831270,58,4923,4013.0
6831305,70,4369,4560.0
6831308,69,5708,5767.0
6831314,63,5192,4665.0
6831353,48,2562,2534.0
6831355,48,2709,2933.0
6831356,44,2765,2749.0
6831361,48,3320,3237.0
6831362,43,3171,3044.0
6831378,37,1731,2207.0
6831379,44,2646,2433.0
6831383,43,2780,2760.0
6831385,44,2796,2858.0
6831386,36,2156,2312.0
6831388,37,1636,2029.0
6831389,66,5580,4925.0
6831390,70,4586,4547.0
6831396,72,4231,4145.0
6831400,22,1563,1689.0
6831413,24,1415,1324.0
6831419,74,3488,4232.0
6831421,52,4007,4223.0
6831422,48,3827,4212.0
6831425,52,2764,2853.0
6831442,81,5679,5375.0
6831444,78,5445,6191.0
6831447,21,1087,1051.0
6831459,29,2573,2561.0
6831461,31,2545,2664.0
6831489,49,4255,4126.0
6831493,49,3693,3635.0
6831497,10,1142,1179.0
6831498,48,4074,4187.0
6831510,32,2243,2194.0
6831511,37,2640,2759.0
6831513,37,2768,3035.0
6831514,33,2979,2887.0
6831520,30,2600,2794.0
6831522,31,2082,2283.0
6831523,34,2656,2298.0
6831533,66,4197,3834.0
6831537,66,4509,4747.0
6831554,36,3347,3280.0
6831572,53,4469,4176.0
6831596,31,2707,2743.0
6831597,36,2883,2859.0
6831614,69,3293,3424.0
6831617,60,3671,3987.0
6831619,60,2687,2735.0
6831620,76,5901,5454.0
6831622,86,7070,6131.0
6831625,85,5241,5919.0
6831626,40,2757,2823.0
6831634,43,2835,2549.0
6831635,65,4451,4044.0
6831638,64,4899,4842.0
6831674,67,4718,4558.0
6831676,67,5037,4816.0
6831686,71,3681,3264.0
6831687,66,2702,3397.0
6831697,45,4476,3840.0
6831699,45,4095,3420.0
6831705,45,3967,3377.0
6831706,43,2903,2863.0
6831714,60,4692,4352.0
6831717,49,3903,3494.0
6831724,66,3942,4057.0
6831732,59,5225,4448.0
6831754,43,2575,2591.0
6831757,38,1838,2239.0
6831759,38,2194,2342.0
6831761,45,2622,2862.0
6831762,38,2301,2305.0
6831763,45,2331,2461.0
6831766,37,2053,1626.0
6831777,54,3958,3700.0
6831778,58,4490,4308.0
6831779,54,3751,3644.0
6831784,58,4972,4071.0
6831785,54,3592,3204.0
6831921,64,4249,5013.0
6831923,63,3974,4640.0
6831933,41,3501,3019.0
6831936,43,3959,3770.0
6831940,36,2556,2651.0
6831942,46,3037,2790.0
6831948,75,4114,4371.0
6831950,74,4055,4273.0
6831965,3,2032,747.0
6831967,67,4497,5002.0
6831970,69,5681,5360.0
6831971,67,6286,5414.0
6831972,45,4819,4212.0
6831987,65,4324,4550.0
6831990,63,4676,4249.0
6831991,56,4498,4374.0
6831992,65,4942,4755.0
6831998,73,4182,3964.0
6832010,25,1949,2272.0
6832012,42,2866,2765.0
6832013,42,3140,3265.0
6832029,45,4062,3760.0
6832032,40,2416,2471.0
6832033,43,2943,2786.0
6832065,36,4376,4414.0
6832077,36,1848,1922.0
6832078,37,2026,1842.0
6832080,34,1981,1849.0
6832149,23,1518,1447.0
6832167,44,3060,2911.0
6832170,44,3488,3184.0
6832214,61,4885,4516.0
6832215,43,3034,3255.0
6832216,65,5172,5193.0
6832218,44,3799,3689.0
6832219,64,4209,3970.0
6832226,67,4158,4280.0
6832227,70,5468,5616.0
6832229,68,5312,5261.0
6832230,67,5229,5226.0
6832231,70,6205,5756.0
6832232,66,5904,5430.0
6832268,14,685,783.0
6832299,38,2205,2617.0
6832300,39,2825,2987.0
6832301,38,2540,2592.0
6832305,40,3148,3160.0
6832324,33,2517,2886.0
6832329,31,2852,2319.0
6832331,30,2303,2274.0
6832332,36,2936,2562.0
6832378,68,4673,4574.0
6832408,33,2442,2513.0
6832410,30,2327,2722.0
6832411,37,2957,3031.0
6832434,89,6483,6443.0
6832435,89,6381,5962.0
6832437,89,6824,6670.0
6832453,33,2845,2658.0
6832458,46,3576,3846.0
6832459,41,3064,2997.0
6832466,45,3093,3214.0
6832469,41,2393,2349.0
6832493,38,3663,3334.0
6832498,46,2944,2736.0
6832517,72,6324,5673.0
6832519,71,6021,5838.0
6832522,66,3541,3742.0
6832527,76,6753,5608.0
6832530,44,3181,3034.0
6832531,81,5038,4483.0
6832584,92,6230,6070.0
6832657,31,1121,1703.0
6832661,32,1483,1580.0
6832665,31,1561,1644.0
6832666,37,1879,2113.0
6832687,43,3697,3994.0
6832689,43,3926,3880.0
6832700,15,1097,1077.0
6832712,12,600,647.0
6832717,10,576,530.0
6832726,66,5768,5440.0
6832739,72,5377,5014.0
6832742,68,5079,5018.0
6832743,67,5571,4924.0
6832745,72,4384,4819.0
6832749,34,1676,1816.0
6832754,37,1361,1622.0
6832755,35,1059,1494.0
6832757,68,5088,4770.0
6832758,72,5146,4722.0
6832760,66,5845,4795.0
6832777,40,3132,2608.0
6832780,43,2593,2704.0
6832786,45,4136,3632.0
6832789,41,3014,3463.0
6832796,88,5478,5951.0
6832822,82,5503,6040.0
6832825,83,5942,6049.0
6832826,89,5071,5363.0
6832837,70,4332,4555.0
6832838,60,5596,4814.0
6832846,66,4303,5339.0
6832847,64,4778,4500.0
6832849,64,5411,4903.0
6832856,37,1644,1721.0
6832872,35,1756,2013.0
6832873,31,1950,1989.0
6832881,31,1435,1725.0
6832892,35,1856,2035.0
6832906,46,4215,3698.0
6832908,22,1716,2214.0
6832932,41,3438,3103.0
6832933,45,3570,3412.0
6832936,38,3099,3233.0
6832941,46,2880,2952.0
6832942,41,2278,2401.0
6832947,58,4358,4146.0
6832955,58,3153,3325.0
6832963,35,1548,1435.0
6832969,15,845,791.0
