trip_id,stop_count,actual_duration,predicted_duration
6280489,1,104,92.0
6280572,21,1061,1104.0
6280682,22,1075,1089.0
6280820,28,1947,1897.0
6281068,46,2937,2591.0
6281139,17,1572,1520.0
6281140,9,478,569.0
6281141,6,467,612.0
6281151,52,3369,3160.0
6281154,61,4001,4179.0
6281158,18,850,930.0
6281302,31,1516,1636.0
6281304,57,3343,3643.0
6281308,55,2740,2785.0
6281436,4,193,267.0
6281438,44,2026,2143.0
6281440,59,2506,2636.0
6281446,21,2041,2073.0
6281447,21,1842,1957.0
6281543,58,3345,3966.0
6281603,23,1325,1244.0
6281630,12,1169,1276.0
6281640,58,3429,3824.0
6281652,59,3627,3078.0
6281658,56,3313,3317.0
6281804,25,1825,1870.0
6281834,22,1208,1071.0
6281837,21,671,798.0
6281865,15,748,692.0
6281868,15,1537,1232.0
6281869,9,948,975.0
6281870,15,1081,1242.0
6281876,6,694,698.0
6281877,3,580,614.0
6281880,6,523,617.0
6282014,65,4194,4327.0
6282053,16,861,1012.0
6282264,54,4156,3675.0
6282268,7,450,436.0
6282269,59,2728,3151.0
6282330,14,1082,843.0
6282333,14,757,834.0
6282357,37,2959,2800.0
6282362,17,1217,1088.0
6282377,43,2729,2595.0
6282378,27,1789,1478.0
6282470,19,1275,1161.0
6282471,23,1396,1796.0
6282519,55,3722,4029.0
6282543,20,1164,1052.0
6282544,15,686,705.0
6282546,32,1627,1392.0
6282547,37,1579,1708.0
6282549,35,1622,1583.0
6282553,34,1273,1389.0
6282582,65,4509,4466.0
6282628,49,3363,3543.0
6282629,2,72,93.0
6282659,28,1181,1430.0
6282670,6,772,758.0
6282752,23,884,1095.0
6282789,38,2478,2474.0
6282790,39,2573,2672.0
6282825,55,3176,3827.0
6282841,10,576,713.0
6282956,15,843,694.0
6283080,44,2827,2933.0
6283095,50,3700,3340.0
6283151,12,923,881.0
6283186,23,1408,1264.0
6283201,54,2820,2601.0
6283203,56,2487,2783.0
6283206,49,2411,2685.0
6283291,49,2316,2488.0
6283352,26,1353,1637.0
6283383,29,2237,2356.0
6283443,6,307,451.0
6283449,6,539,453.0
6283451,6,413,456.0
6283455,6,326,445.0
6283522,47,2650,3060.0
6283523,39,2893,2264.0
6283573,40,3149,2843.0
6283610,1,314,250.0
6283611,17,1316,940.0
6283615,18,1004,1063.0
6283616,26,1375,1441.0
6283624,22,912,894.0
6283665,3,132,208.0
6283684,40,2593,2045.0
