trip_id,stop_count,actual_duration,predicted_duration
6648288,74,4910,5084.0
6648304,55,4709,4706.0
6648306,81,5483,5454.0
6648307,77,6127,5634.0
6648310,39,3316,3189.0
6648312,22,1711,1397.0
6648316,23,1652,1477.0
6648335,59,3992,3771.0
6648341,47,3901,3596.0
6648344,48,2755,3068.0
6648345,59,3038,3004.0
6648367,57,3523,3779.0
6648369,55,3450,3799.0
6648415,58,4702,4134.0
6648416,48,4510,3876.0
6648424,54,2907,3124.0
6648425,76,3335,3655.0
6648426,81,4884,5409.0
6648429,81,4759,4683.0
6648430,84,5390,5439.0
6648435,81,4139,3731.0
6648436,79,3363,3565.0
6648437,43,3490,3539.0
6648438,42,3581,3572.0
6648439,43,3822,3808.0
6648442,44,3565,3531.0
6648444,43,4133,3668.0
6648446,42,3818,3373.0
6648465,53,5565,5239.0
6648468,57,4063,5696.0
6648475,64,4736,4393.0
6648476,65,4281,4691.0
6648479,64,4805,4908.0
6648480,64,3980,3799.0
6648504,54,3906,3734.0
6648524,29,2627,2653.0
6648526,32,2781,3030.0
6648528,67,5214,5435.0
6648529,74,5014,5297.0
6648534,64,3896,4361.0
6648535,73,4351,4338.0
6648539,21,1745,2435.0
6648567,58,3884,3768.0
6648571,56,4452,4212.0
6648573,43,2993,2980.0
6648577,51,3480,3840.0
6648578,50,4116,3562.0
6648664,44,3394,3348.0
6648665,54,3764,3660.0
6648668,58,3679,4525.0
6648672,49,4236,4189.0
6648675,46,3662,3517.0
6648676,49,2867,3402.0
6648677,46,2780,3089.0
6648692,34,1969,2489.0
6648694,34,2617,2559.0
6648695,36,2786,2685.0
6648696,34,3139,2714.0
6648697,52,2316,2331.0
6648698,58,3948,3584.0
6648704,58,2258,2647.0
6648708,57,4813,4459.0
6648710,46,3084,3398.0
6648712,27,1828,2255.0
6648718,57,3980,3467.0
6648719,46,2145,2379.0
6648721,19,1391,1480.0
6648756,22,1455,1558.0
6648759,25,1773,1655.0
6648765,24,2053,1898.0
6648766,23,1054,1780.0
6648767,25,1731,1829.0
6648779,38,2194,1980.0
6648784,35,1782,1850.0
6648785,36,2458,2086.0
6648797,38,1555,1889.0
6648812,41,2350,2452.0
6648838,27,1520,1513.0
6648840,76,4282,5174.0
6648841,80,5594,5862.0
6648842,73,6247,6107.0
6648909,96,5331,5883.0
6648912,57,2427,3113.0
6648936,43,3440,3711.0
6648937,42,3468,3617.0
6648938,42,3750,3767.0
6648944,42,2735,2617.0
6648969,42,2456,3433.0
6648970,42,3487,3655.0
6648973,41,3575,3837.0
6648975,41,3348,3149.0
6648978,37,1964,1654.0
6648980,37,1979,1808.0
6648984,32,1589,1793.0
6648986,33,1209,1373.0
6648987,36,1456,1484.0
6649000,47,3506,3967.0
6649003,19,3105,3078.0
6649030,59,3744,3681.0
6649036,54,4576,4369.0
6649057,61,5434,4702.0
6649058,64,4772,4702.0
6649059,73,5962,6110.0
6649060,67,5403,4767.0
6649090,64,4981,4647.0
6649093,65,4688,4961.0
6649098,64,3334,3566.0
6649100,68,4417,4951.0
6649103,58,3583,3691.0
6649110,64,4275,4602.0
6649111,66,4183,5536.0
6649114,63,4938,4722.0
6649121,58,3942,4305.0
6649132,45,2949,3089.0
6649133,70,5215,5885.0
6649145,66,5239,4899.0
6649156,52,2958,3065.0
6649160,54,2178,2432.0
6649182,72,4989,5062.0
6649214,49,3933,4023.0
6649231,44,3075,2587.0
6649232,47,2418,3043.0
6649234,44,2608,2831.0
6649235,44,2251,2772.0
6649236,47,3058,3290.0
6649261,57,4623,4672.0
6649270,54,2643,2887.0
6649271,40,2231,2251.0
6649272,62,5213,4795.0
6649275,72,4875,4979.0
6649276,64,4507,4946.0
6649279,70,4867,4074.0
6649282,66,4275,4144.0
6649283,69,5954,5611.0
6649287,64,4397,4888.0
6649290,67,3593,3825.0
6649318,87,5988,5700.0
6649319,88,6378,6231.0
6649321,80,6191,6502.0
6649322,80,5166,5733.0
6649333,60,3824,3693.0
6649339,61,3220,3792.0
6649340,56,3463,3283.0
6649429,37,3114,3270.0
6649430,30,2790,2883.0
6649437,56,4616,4590.0
6649441,53,4958,4684.0
6649442,48,3318,3417.0
6649445,51,2698,3134.0
6649453,81,4868,5166.0
6649454,60,5006,4719.0
6649459,66,5481,5725.0
6649463,23,2490,2095.0
6649466,36,3223,2893.0
6649467,32,1970,1872.0
6649480,64,4675,4854.0
6649481,66,4406,4399.0
6649483,66,4735,4748.0
6649493,68,4330,4368.0
6649498,69,4649,5074.0
6649536,75,5619,5101.0
6649541,25,2043,1888.0
6649544,54,3673,3795.0
6649545,51,3507,3491.0
6649546,54,3651,3570.0
6649550,54,4352,4058.0
