trip_id,stop_count,actual_duration,predicted_duration
8064443,68,5089,6003.0
8064444,64,3950,4391.0
8064445,69,6015,5531.0
8064447,69,6108,5958.0
8064451,69,3980,3776.0
8064468,54,3621,3668.0
8064469,53,3252,3571.0
8064471,60,4718,4348.0
8064474,54,4702,4611.0
8064476,33,3081,2998.0
8064477,37,2748,3098.0
8064481,36,2876,3221.0
8064483,37,3332,3583.0
8064484,33,3433,3679.0
8064498,33,2698,2215.0
8064499,36,2092,2623.0
8064501,36,2518,2654.0
8064502,33,2806,2767.0
8064503,37,3197,3255.0
8064505,33,2699,2508.0
8064506,33,3348,3292.0
8064537,88,6394,6318.0
8064540,36,1954,1774.0
8064541,83,3786,4181.0
8064558,56,4391,4310.0
8064559,49,2781,3174.0
8064563,28,3145,3008.0
8064565,46,3362,3321.0
8064568,58,4955,4604.0
8064569,44,4474,4955.0
8064580,89,5753,5960.0
8064591,50,3126,3043.0
8064593,59,2808,2780.0
8064612,62,5117,4341.0
8064619,54,3975,4098.0
8064622,60,3953,4547.0
8064634,53,4730,4987.0
8064636,60,3897,3721.0
8064641,63,6764,5865.0
8064643,51,3356,3136.0
8064668,44,4087,4140.0
8064700,67,5041,5152.0
8064739,27,1465,1663.0
8064741,41,1990,2539.0
8064750,43,2604,2588.0
8064751,41,2358,2273.0
8064772,46,2744,2810.0
8064778,45,3631,3803.0
8064779,41,3371,3553.0
8064782,41,2947,2896.0
8064783,41,2619,2609.0
8064784,46,2889,2758.0
8064792,77,4722,4557.0
8064797,76,5179,5595.0
8064810,69,5964,6126.0
8064811,67,5690,5179.0
8064859,58,4672,4383.0
8064861,53,4067,4069.0
8064865,58,4622,4656.0
8064867,58,3783,3515.0
8064872,67,5625,5105.0
8064873,74,6237,5675.0
8064910,47,3755,3676.0
8064931,45,2415,2545.0
8064933,38,2338,2387.0
8064934,44,2388,2955.0
8064940,45,1865,1910.0
8064941,37,1531,1496.0
8064968,72,4779,4896.0
8064973,68,5762,5314.0
8064974,54,3517,3519.0
8064982,54,5033,5080.0
8064994,42,4052,3945.0
8065006,46,3503,3659.0
8065010,46,3937,3796.0
8065015,41,2623,2721.0
8065017,41,2101,2315.0
8065041,60,4481,4275.0
8065044,53,2433,2712.0
8065050,32,2982,2838.0
8065066,21,2133,2526.0
8065071,49,4787,3677.0
8065072,51,4354,4115.0
8065073,53,4064,4022.0
8065074,50,4705,4581.0
8065078,52,3354,3036.0
8065079,45,1823,1997.0
8065091,59,4789,4535.0
8065093,60,4626,4484.0
8065100,66,5316,5111.0
8065112,27,1548,2108.0
8065113,22,2234,1707.0
8065115,22,1548,1745.0
8065117,10,798,1064.0
8065122,48,5650,4085.0
8065123,43,3894,3938.0
8065128,48,4429,3673.0
8065163,89,5813,5980.0
8065191,58,3835,3886.0
8065196,57,4534,5262.0
8065217,55,5419,4862.0
8065223,30,2251,2607.0
8065227,30,2461,2440.0
8065230,30,2653,2990.0
8065276,41,2555,2494.0
8065278,57,4686,4680.0
8065302,56,3888,3649.0
8065334,57,4703,4332.0
8065335,45,3973,3674.0
8065340,47,3519,3168.0
8065347,96,4468,5563.0
8065349,61,4441,4405.0
8065354,7,547,498.0
8065355,5,253,279.0
8065358,7,406,465.0
8065359,5,324,311.0
8065361,5,329,343.0
8065362,7,441,558.0
8065363,5,494,341.0
8065366,5,235,240.0
8065380,38,1907,2335.0
8065381,35,1957,2107.0
8065384,38,1680,2105.0
8065425,28,1724,1471.0
8065427,28,1604,1569.0
8065429,28,1717,1727.0
8065430,24,1553,1607.0
8065465,49,3541,3695.0
8065471,49,3334,2956.0
8065498,66,5577,5624.0
8065502,66,3586,3115.0
8065504,63,3427,3168.0
8065509,73,2605,2702.0
8065525,53,2420,3134.0
8065526,83,5815,5792.0
8065527,88,5627,5572.0
8065529,88,5781,6321.0
8065530,81,7841,6494.0
8065531,85,6191,5571.0
8065535,41,2089,2449.0
8065537,41,3135,3208.0
8065542,44,3961,3891.0
8065545,41,2554,2802.0
8065550,59,3836,4819.0
8065551,59,5004,4629.0
8065564,61,5572,4888.0
8065590,33,2889,3078.0
8065595,37,3344,3339.0
8065599,36,2880,2658.0
8065601,54,5672,4601.0
8065606,58,4750,5146.0
8065607,55,4543,4455.0
8065608,58,4266,3804.0
8065610,58,3647,3117.0
8065670,48,3631,3806.0
8065676,76,4904,5417.0
8065704,24,2244,2408.0
8065705,51,3893,3850.0
8065706,50,3642,3628.0
8065753,43,2548,3396.0
8065755,42,2891,3258.0
8065756,45,4202,3770.0
8065760,45,4711,4218.0
8065761,43,4042,3501.0
8065778,17,838,1119.0
8065782,17,1167,1140.0
8065783,19,1576,1335.0
8065788,17,1068,900.0
8065791,19,703,861.0
8065799,74,5028,4893.0
8065815,68,4825,4546.0
8065816,67,4683,4895.0
8065824,48,3672,3818.0
8065825,50,4116,3688.0
8065827,50,3701,3957.0
8065859,17,1376,1284.0
8065880,43,3797,3256.0
8065882,48,3763,3843.0
8065897,54,3542,3334.0
8065899,54,4303,4303.0
8065900,60,6265,5287.0
8065909,68,4860,4785.0
8065917,89,5927,5988.0
8065928,45,2868,2611.0
8065931,44,2656,2860.0
8065937,45,2040,2098.0
8065939,45,1636,1812.0
8065940,36,1577,1413.0
8065942,21,1906,2005.0
8065945,15,916,1078.0
8065946,23,1927,2599.0
8065947,17,1263,1360.0
8065949,17,1085,1417.0
8065950,22,2066,2003.0
8065953,17,1503,1515.0
8066001,37,2086,1856.0
8066002,32,1307,1627.0
8066008,58,4074,4284.0
8066022,43,2198,2166.0
8066023,40,1952,1692.0
8066024,55,3537,4162.0
8066026,43,2781,3132.0
8066093,55,4478,4054.0
8066096,51,3220,3560.0
8066098,55,3209,3316.0
8066099,56,4010,3562.0
8066100,55,2755,2736.0
8066102,45,2648,2398.0
8066103,38,1683,2266.0
8066114,45,2147,2440.0
8066119,37,2540,2265.0
8066120,36,2026,2370.0
8066152,56,4053,4136.0
8066159,45,2545,2449.0
8066162,77,6437,5723.0
8066164,77,5694,5099.0
8066176,59,3581,5104.0
8066180,56,6184,5500.0
8066181,57,4369,4087.0
8066182,59,5466,4999.0
8066184,57,2444,2444.0
8066220,48,3754,3811.0
8066221,50,3949,3745.0
8066227,48,4649,4191.0
8066228,45,2205,2157.0
8066230,45,2554,2644.0
8066249,41,3007,2267.0
8066256,41,2907,2342.0
8066260,36,1592,1366.0
8066327,45,2526,2405.0
8066388,56,2831,3153.0
8066390,58,2268,2532.0
8066440,44,2853,3266.0
8066446,43,3392,3658.0
8066447,42,3306,4135.0
8066449,43,3333,3764.0
8066451,42,2526,2632.0
8066463,67,3803,4635.0
8066466,70,5792,5458.0
8066471,67,4630,3944.0
8066472,70,3399,3570.0
8066474,59,3819,3839.0
8066482,44,2666,2923.0
8066485,59,2699,2569.0
8066545,39,2882,3236.0
8066547,40,3115,3000.0
8066582,36,2413,2642.0
8066583,33,2790,2732.0
8066590,33,2015,2319.0
8066599,50,3243,3476.0
8066602,56,3713,3754.0
8066605,58,4259,4285.0
8066608,51,2836,3214.0
8066623,64,4509,4619.0
8066625,29,2020,2144.0
8066649,36,4719,4919.0
8066662,55,3773,4170.0
8066675,69,7111,6627.0
8066679,33,1386,1456.0
8066690,47,3393,3445.0
8066696,47,3889,4419.0
8066698,47,3774,3638.0
8066715,57,3413,3151.0
8066719,55,3610,3556.0
8066722,58,2642,3189.0
8066725,55,2965,4103.0
8066728,57,4412,4448.0
8066729,55,4497,4606.0
8066730,55,4027,3508.0
8066732,98,4737,5073.0
8066733,95,4053,4058.0
8066734,9,328,310.0
8066742,32,3042,2774.0
8066743,42,3619,3907.0
8066803,19,1568,1469.0
8066809,68,5206,4892.0
8066820,76,4958,5450.0
8066846,44,3096,3166.0
8066848,86,4216,4172.0
8066863,37,4572,5211.0
8066892,37,2026,2200.0
8066907,37,2664,3207.0
8066928,67,4617,4518.0
8066929,65,4493,4934.0
8066930,66,4683,4824.0
8066955,19,1866,1990.0
8066956,43,2263,3200.0
8066962,34,2221,2423.0
8066964,34,3126,2916.0
8066965,37,2499,2744.0
8066966,34,2524,2352.0
8066976,59,4221,5648.0
8066978,59,5101,5121.0
8066983,58,3558,3634.0
8066984,59,5458,4915.0
8066985,59,2981,2894.0
8066987,32,1241,1377.0
8067002,37,2032,2202.0
8067003,32,1644,1826.0
8067018,35,1925,1960.0
8067019,37,1811,1956.0
8067059,64,4405,4563.0
8067072,38,2344,2244.0
8067077,34,2041,2089.0
8067080,38,1692,1677.0
8067081,27,1299,1189.0
8067090,73,5283,5463.0
8067096,35,1496,1674.0
8067097,56,3015,2940.0
8067098,49,2688,3152.0
8067099,56,2837,2872.0
8067102,48,3467,3117.0
8067117,65,5265,6534.0
8067118,32,2843,2573.0
8067119,37,3024,3232.0
8067121,65,4614,4737.0
8067122,29,2223,1949.0
8067127,44,2413,2673.0
8067131,43,3311,3013.0
8067135,44,3478,3335.0
8067137,48,2706,3447.0
8067138,45,3252,3209.0
8067140,44,2855,3089.0
8067142,45,2944,3348.0
8067159,41,3866,4042.0
8067161,43,3063,3225.0
8067163,43,2729,2657.0
8067164,16,1180,1040.0
8067165,15,634,705.0
8067166,14,1202,1022.0
8067168,14,1368,1095.0
8067171,15,743,772.0
8067179,14,809,1135.0
8067180,15,878,959.0
8067183,14,852,1035.0
8067204,68,5072,5017.0
8067205,74,5148,5271.0
8067206,68,6018,5376.0
8067224,23,1384,1815.0
8067229,67,6486,5884.0
8067262,57,3661,4245.0
8067268,58,3421,3655.0
8067270,41,2729,2390.0
8067276,43,3581,3661.0
8067277,42,4054,3951.0
8067278,43,3997,4003.0
8067348,15,1021,974.0
8067372,65,7004,5989.0
8067382,34,3361,3410.0
8067383,45,2709,3312.0
8067388,43,3565,3605.0
8067389,42,3801,3515.0
8067391,42,3586,3768.0
8067393,41,3568,4167.0
8067404,17,811,1067.0
8067405,19,1304,1225.0
8067413,17,860,818.0
8067480,58,4361,4056.0
8067483,68,4514,3890.0
8067485,68,3154,3203.0
8067529,67,4805,5108.0
8067530,69,5416,5459.0
8067532,70,6312,6011.0
8067534,69,4119,4425.0
8067536,62,2354,2706.0
8067617,36,1918,2069.0
8067635,28,1520,1752.0
8067636,25,2062,1723.0
8067651,29,1954,1969.0
8067657,63,2939,3012.0
8067661,75,5336,5111.0
8067696,5,238,306.0
8067697,7,481,498.0
8067698,5,231,313.0
8067702,5,319,277.0
8067704,5,176,249.0
8067730,48,3865,3896.0
8067731,50,3999,3634.0
8067733,49,3609,3885.0
8067734,48,3869,4117.0
8067742,34,2169,2097.0
8067757,15,1013,1325.0
8067758,18,1223,1123.0
8067763,20,1481,1666.0
8067766,18,1267,1404.0
8067767,72,4988,4444.0
8067769,72,4073,4492.0
8067771,73,4758,5010.0
8067777,65,5573,4964.0
8067779,67,5897,5859.0
8067792,56,5469,4343.0
8067793,57,4170,4246.0
8067798,56,4629,4227.0
8067805,74,4447,4847.0
8067806,53,3577,3806.0
8067807,74,5242,5218.0
8067816,80,6291,6287.0
8067834,66,4698,5213.0
8067840,37,2733,3025.0
8067850,66,4608,4672.0
8067853,65,5701,4922.0
8067856,67,3394,3409.0
8067857,36,1407,1755.0
8067887,49,3667,3776.0
8067890,44,3663,3368.0
8067913,60,3433,3349.0
8067918,53,2709,3191.0
8067922,71,4947,5059.0
8067926,32,2325,2772.0
8067929,35,3219,2998.0
8067930,30,2105,2399.0
8067939,56,3369,3571.0
8067962,83,4746,5712.0
8067965,81,4492,5047.0
8067967,79,3594,3879.0
8067984,36,1801,2187.0
8068029,70,5362,5507.0
8068030,60,4599,4962.0
8068032,57,4871,4259.0
8068057,67,3049,3237.0
8068061,46,2969,2617.0
8068066,58,2279,2488.0
8068071,36,3907,3440.0
8068073,49,3482,3689.0
8068075,58,3931,4025.0
8068078,51,2818,2899.0
8068080,36,1698,1672.0
8068113,79,5284,5804.0
8068114,75,6232,6226.0
