trip_id,stop_count,actual_duration,predicted_duration
7774785,75,4058,4892.0
7774801,28,1714,1728.0
7774811,14,656,626.0
7774812,15,809,792.0
7774813,66,4794,5073.0
7774814,74,4732,5223.0
7774815,68,3671,4184.0
7774817,68,2636,3491.0
7774863,53,3566,3576.0
7774866,60,4366,4341.0
7774868,60,4094,4580.0
7774872,60,3662,3860.0
7774885,45,2281,2521.0
7774954,40,3442,4059.0
7774957,94,6452,6161.0
7774965,49,2849,2712.0
7774968,31,1250,1370.0
7774972,52,1987,2242.0
7774973,48,2099,2169.0
7774975,49,1980,2036.0
7774987,67,4169,3916.0
7774992,70,5650,4993.0
7774993,67,5261,5449.0
7774994,72,5669,5454.0
7775025,73,5512,5388.0
7775029,66,4400,4317.0
7775031,64,4932,4555.0
7775035,79,4646,5018.0
7775056,89,5623,6448.0
7775063,36,2885,3117.0
7775083,68,5332,5339.0
7775085,68,5967,5785.0
7775102,18,878,941.0
7775108,41,3005,2985.0
7775109,41,3355,3171.0
7775110,41,2881,3107.0
7775112,41,3768,3452.0
7775116,40,2093,2285.0
7775118,66,3814,3757.0
7775119,69,4648,5347.0
7775199,29,2989,3009.0
7775219,65,4936,5046.0
7775225,65,3877,4149.0
7775226,65,2228,2849.0
7775234,54,3223,3777.0
7775237,58,4206,4549.0
7775240,47,3136,3303.0
7775241,46,4069,3995.0
7775246,46,3243,4101.0
7775247,46,3747,4239.0
7775283,58,4817,4414.0
7775284,41,3892,4014.0
7775289,43,1728,1977.0
7775290,37,2115,1714.0
7775300,34,1035,1196.0
7775311,28,3051,2759.0
7775321,64,4078,4131.0
7775328,59,4466,4420.0
7775330,60,5919,4973.0
7775333,52,2806,2740.0
7775335,44,2058,2255.0
7775338,47,2729,3157.0
7775340,47,2541,3098.0
7775344,47,3694,3461.0
7775348,46,2730,2736.0
7775350,47,2002,2496.0
7775356,40,2865,3100.0
7775360,40,2743,3250.0
7775419,46,2555,3313.0
7775421,47,3099,3112.0
7775552,54,3916,4427.0
7775556,53,3234,3947.0
7775558,54,4260,4368.0
7775559,58,3853,4216.0
7775571,47,5419,5686.0
7775601,43,3777,3884.0
7775603,42,2864,3243.0
7775605,43,3627,3956.0
7775607,43,3796,4287.0
7775609,43,2981,3658.0
7775613,42,2876,3183.0
7775615,43,3053,3484.0
7775652,17,1409,1132.0
7775681,18,945,1306.0
7775682,18,1279,1459.0
7775684,18,1311,1334.0
7775688,67,3282,3343.0
7775696,43,2761,3671.0
7775697,44,2671,2953.0
7775699,46,3553,3840.0
7775707,94,6463,6321.0
7775749,57,3557,3764.0
7775752,53,3865,3687.0
7775764,51,3657,3616.0
7775767,50,3585,3604.0
7775768,51,3749,4123.0
7775792,64,5356,5315.0
7775795,68,4381,5215.0
7775800,48,2526,2445.0
7775802,75,4946,5297.0
7775805,68,4056,4315.0
7775819,48,3644,4121.0
7775821,46,3643,4044.0
7775822,49,3704,4442.0
7775832,85,4622,5351.0
7775833,83,4911,4709.0
7775836,54,2898,3173.0
7775837,62,3131,3466.0
7775838,98,4237,5113.0
7775845,61,3679,3990.0
7775848,34,2435,2762.0
7775851,53,4520,4441.0
7775855,61,4922,5142.0
7775857,68,5905,5272.0
7775859,67,4835,5821.0
7775865,33,2603,2430.0
7775899,27,2765,2691.0
7775918,43,3225,3641.0
7775920,42,3461,3666.0
7775925,46,3808,4016.0
7775930,45,2680,2793.0
7775980,65,4758,4826.0
7775984,65,4941,4978.0
7775997,13,903,931.0
7775998,16,1112,1265.0
7776002,16,1073,1282.0
7776035,75,5135,5692.0
7776041,67,4923,4920.0
7776043,67,4307,4276.0
7776046,58,4026,4309.0
7776057,65,4811,5133.0
7776058,67,4270,4321.0
7776059,64,3539,3825.0
7776075,18,1155,1189.0
7776076,18,1469,1475.0
7776077,18,1107,1235.0
7776080,17,1692,1484.0
7776087,18,1237,1183.0
7776088,15,743,707.0
7776094,46,3602,3694.0
7776097,40,3846,3501.0
7776124,47,3813,4064.0
7776128,45,2535,2772.0
7776155,54,3509,3494.0
7776157,62,4257,4546.0
7776164,53,4388,3789.0
7776194,50,4723,5018.0
7776227,69,4882,5112.0
7776228,66,4512,4723.0
7776231,67,5298,5319.0
7776233,69,4708,4345.0
7776236,55,3874,4153.0
7776240,56,4359,4217.0
7776244,56,3618,3556.0
7776246,56,3136,3012.0
7776302,64,5282,5281.0
7776303,63,4235,4207.0
7776307,62,4560,4890.0
7776309,64,3798,4036.0
7776311,64,2546,3385.0
7776312,55,4741,5168.0
7776313,59,4444,4374.0
7776315,60,4791,4415.0
7776319,52,5954,4576.0
7776320,53,2891,3356.0
7776329,71,5046,5097.0
7776335,38,3975,4367.0
7776353,37,2175,2038.0
7776355,36,2457,2056.0
7776379,72,5296,5338.0
7776403,87,6379,6426.0
7776404,88,6670,6093.0
7776424,78,4991,4800.0
7776425,79,6096,6029.0
7776431,33,2742,2374.0
7776433,32,2867,2816.0
7776435,33,2160,2604.0
7776454,21,1503,1506.0
7776460,41,3131,3096.0
7776462,41,3409,3216.0
7776465,41,3247,3061.0
7776469,40,2162,1936.0
7776523,43,3441,3320.0
7776524,57,3868,4224.0
7776528,27,2399,2481.0
7776532,27,1554,1739.0
7776533,23,1266,1286.0
7776546,49,4337,3262.0
7776547,44,3876,3821.0
7776550,48,2947,3198.0
7776552,51,3302,3831.0
7776553,47,4437,4000.0
7776557,47,2988,3099.0
7776564,42,1783,1810.0
7776590,34,2900,2730.0
7776593,33,2351,2732.0
7776595,33,1955,2248.0
7776600,55,3247,3557.0
7776601,59,3672,3673.0
7776605,59,4431,4230.0
7776703,36,2769,3455.0
7776707,36,2486,2792.0
7776709,37,3489,3281.0
7776714,67,6060,5607.0
7776715,57,3693,4236.0
7776716,68,4792,5478.0
7776717,64,5443,5131.0
7776731,27,1783,1654.0
7776741,33,2001,2246.0
7776743,34,2033,1916.0
7776744,37,1787,2280.0
7776745,34,1837,2040.0
7776774,54,4083,4456.0
7776775,54,3575,3956.0
7776777,54,5387,4956.0
7776781,60,2364,3082.0
7776849,41,2385,2391.0
7776917,37,2407,2522.0
7776919,38,2634,2659.0
7776920,35,2114,2630.0
7776925,38,2273,2237.0
7776926,35,1821,2040.0
7776927,38,1942,1982.0
7776940,43,3060,3590.0
7776942,43,5252,4135.0
7776943,42,3525,3790.0
7776946,37,1797,1964.0
7776951,47,3939,3950.0
7776953,49,3206,4071.0
7776955,44,3366,3631.0
7776957,44,3143,3310.0
7776960,43,3881,3908.0
7776961,43,3884,3563.0
7776962,43,4353,4258.0
7776965,44,2902,3045.0
7776967,33,1744,1762.0
7776971,37,1489,1798.0
7776980,31,1736,1651.0
7777001,19,1126,1248.0
7777002,17,923,1059.0
7777004,17,1278,1128.0
7777007,16,1019,1198.0
7777015,34,3449,2746.0
7777017,35,2335,2413.0
7777018,38,2072,2491.0
7777024,37,3108,2951.0
7777025,35,2312,2749.0
7777026,54,4745,4538.0
7777030,60,2316,3220.0
7777050,42,1900,2538.0
7777053,59,3537,3819.0
7777054,68,4603,4593.0
7777056,67,5063,4903.0
7777059,60,3125,2980.0
7777062,48,3031,3709.0
7777063,64,4144,4481.0
7777064,65,5044,4926.0
7777069,38,1707,1802.0
7777099,41,3710,3569.0
7777102,15,937,938.0
7777103,41,2728,3188.0
7777109,41,2204,2559.0
7777110,46,2341,2795.0
7777113,40,2477,2784.0
7777114,40,2089,2196.0
7777118,39,2596,2271.0
7777121,38,2511,2284.0
7777153,67,5537,5296.0
7777154,61,3946,4768.0
7777157,64,4711,4971.0
7777160,64,4233,4569.0
7777162,64,5324,5105.0
7777163,65,4134,5029.0
7777164,64,3732,3902.0
7777166,32,1191,1372.0
7777170,32,1369,1529.0
7777175,35,1875,1843.0
7777177,33,1607,1788.0
7777184,32,1540,1367.0
7777188,32,1112,1154.0
7777197,88,4862,5844.0
7777202,69,4977,4740.0
7777230,68,5648,5511.0
7777231,83,6680,6009.0
7777232,85,6586,6598.0
7777240,65,4009,4854.0
7777243,66,4309,5122.0
7777250,89,6231,6458.0
7777255,47,3988,4064.0
7777258,38,4206,3618.0
7777259,57,4882,4043.0
7777260,52,4621,4117.0
7777263,52,3586,4052.0
7777306,90,4679,4899.0
7777310,31,1486,1791.0
7777313,31,2005,1711.0
7777314,37,2078,2027.0
7777316,36,1609,1772.0
7777318,35,1194,1502.0
7777322,34,829,1142.0
7777373,48,4259,3729.0
7777382,89,6128,6027.0
7777384,84,6986,5896.0
7777385,71,6001,5643.0
7777390,49,3266,3202.0
7777397,1,29,40.0
7777399,41,2664,2969.0
7777401,48,4193,3809.0
7777413,35,5325,5469.0
7777425,53,4535,4639.0
7777426,57,5037,4543.0
7777429,67,5514,5441.0
7777431,89,6488,6507.0
7777434,39,1581,1570.0
7777452,75,5834,6141.0
7777455,27,1564,1677.0
7777459,23,1576,1534.0
7777473,41,3272,3187.0
7777476,45,3286,4102.0
7777511,37,2701,2763.0
7777519,68,5725,5215.0
7777525,25,1724,1734.0
7777533,19,1823,2442.0
7777567,60,5865,4934.0
7777605,51,3304,3136.0
7777606,58,4612,4219.0
7777607,26,2047,2018.0
7777612,54,3903,4045.0
7777614,56,3412,3317.0
7777621,30,2599,2546.0
7777631,48,2488,3257.0
7777632,43,2594,3069.0
7777633,47,2981,3300.0
7777634,44,2644,3354.0
7777645,58,3457,3593.0
7777655,58,3065,3520.0
7777656,53,2274,2581.0
7777675,67,5996,5492.0
7777676,70,6158,5980.0
7777677,67,4891,4955.0
7777678,70,3688,4551.0
7777715,44,2953,3057.0
7777718,53,3509,3949.0
7777719,58,4585,4669.0
7777725,56,3581,3818.0
7777729,60,3765,3844.0
7777730,56,3645,3963.0
7777734,56,4080,4297.0
7777737,61,2798,3135.0
7777757,33,2670,3132.0
7777758,35,3486,3403.0
7777767,23,1176,1135.0
7777785,56,3499,4073.0
7777786,55,3123,3328.0
7777793,80,3029,3292.0
7777795,77,5310,4805.0
7777797,84,4991,4923.0
7777799,81,4440,4722.0
7777800,84,5476,5871.0
7777805,47,1680,1684.0
7777806,54,2933,3267.0
7777808,51,4691,4366.0
7777826,43,3103,2967.0
7777828,45,2537,2477.0
7777832,35,2409,2182.0
7777833,45,2607,2928.0
7777834,36,2422,2267.0
7777839,51,3813,3893.0
7777856,34,1896,1672.0
7777861,33,1778,1968.0
7777865,34,2604,1805.0
7777866,34,1368,1480.0
7777891,66,4850,4733.0
7777900,58,3722,4193.0
7777903,55,3373,4940.0
7777906,58,4471,4353.0
7777910,47,2666,2589.0
7777912,48,3716,3803.0
7777920,50,3480,3754.0
7777921,51,3170,3474.0
7778009,24,1496,1861.0
7778058,55,2765,2840.0
7778059,46,3282,3364.0
7778064,55,2632,3306.0
7778066,56,2687,3122.0
7778070,67,4907,5019.0
7778082,43,2858,2685.0
7778085,38,2709,2703.0
7778086,23,1501,1326.0
7778088,33,3134,3299.0
7778089,25,1820,1781.0
7778092,23,1453,1815.0
7778093,24,1982,1723.0
7778101,41,3387,3229.0
7778104,46,3039,3548.0
7778107,41,2499,2409.0
7778108,13,383,529.0
7778111,50,1977,2299.0
7778112,50,2224,2508.0
7778120,65,4133,4499.0
7778128,65,4666,4339.0
7778130,65,3351,3658.0
7778137,66,4192,4455.0
7778138,69,4367,5251.0
7778143,66,3705,3876.0
7778145,37,1729,1593.0
7778146,41,2081,2512.0
7778149,46,3555,3469.0
7778152,41,3146,3210.0
7778153,46,3389,3949.0
7778157,69,5133,4735.0
7778158,79,5778,5759.0
7778163,75,4964,5153.0
7778164,81,4214,4568.0
7778166,83,5969,5977.0
7778168,47,3937,3900.0
7778169,88,4848,5328.0
7778205,47,4202,4063.0
7778249,47,2868,3302.0
7778251,40,2913,3088.0
7778252,44,2788,3478.0
7778270,41,2857,2479.0
7778275,39,2695,2699.0
7778276,41,2284,2586.0
7778277,41,1939,2416.0
7778278,43,2236,2338.0
7778280,41,1590,1863.0
7778290,58,3461,3890.0
7778292,75,5198,5287.0
7778293,81,5694,5567.0
7778297,39,1484,1863.0
7778298,76,4327,4618.0
7778300,66,4635,5167.0
7778319,47,3991,4157.0
7778320,47,3727,3873.0
7778323,48,3861,3899.0
7778324,45,4507,4233.0
7778326,55,2902,3180.0
7778347,59,4187,5419.0
7778348,59,3605,3901.0
7778350,58,7014,5552.0
7778351,58,4541,4645.0
7778352,58,5789,4856.0
7778354,59,5424,4379.0
7778378,47,4355,3913.0
7778382,47,3183,3318.0
7778428,58,4156,3487.0
7778429,46,2187,2301.0
7778443,43,3607,3545.0
7778445,43,4366,3812.0
7778457,20,1639,1369.0
7778459,16,775,1132.0
7778462,32,1729,2000.0
7778464,29,2175,2056.0
7778465,30,2721,2828.0
7778472,34,2559,2254.0
7778487,34,3192,3284.0
7778516,68,3416,3305.0
7778520,56,4003,3918.0
7778524,54,4849,4407.0
7778525,56,3944,4037.0
7778529,49,1681,1938.0
7778556,82,5306,5172.0
7778558,83,5873,6173.0
7778572,58,5726,4864.0
7778577,52,4623,4166.0
7778578,54,5670,4597.0
7778580,58,3389,3702.0
7778623,14,674,801.0
7778626,17,749,858.0
7778629,17,899,954.0
7778630,14,834,816.0
7778632,17,654,703.0
7778633,14,414,534.0
7778650,51,2804,3101.0
7778651,59,2565,2983.0
7778661,70,2679,4011.0
7778667,25,2136,2699.0
7778671,17,1764,1393.0
7778675,58,7076,5254.0
7778676,59,4419,3977.0
7778679,20,752,926.0
7778688,67,4887,4675.0
7778691,75,4686,4855.0
7778693,75,5353,5612.0
7778697,58,2546,2607.0
7778700,53,3595,3785.0
7778701,52,3442,3552.0
7778706,54,4410,4165.0
7778709,52,2862,3346.0
7778729,67,2791,3169.0
7778732,70,2928,3129.0
7778736,50,2049,2159.0
7778737,60,2333,2622.0
7778780,96,5657,5499.0
7778781,87,4702,5330.0
7778798,23,1400,1380.0
7778799,25,1477,1707.0
7778800,23,1703,1842.0
7778801,25,1443,1813.0
7778806,22,1811,1561.0
7778809,24,1815,1641.0
7778811,24,1801,1807.0
7778827,41,2232,2531.0
7778867,55,3286,3337.0
7778869,57,3458,3742.0
7778873,55,3688,3443.0
7778907,39,2372,2271.0
7778918,59,3652,3751.0
7778920,5,385,387.0
7778924,59,3561,3901.0
7778995,40,3344,3598.0
7778997,42,4010,3941.0
7779030,44,2845,2644.0
7779035,48,2960,3409.0
7779036,42,2846,3358.0
7779038,44,3305,3089.0
7779039,42,1836,2082.0
7779087,43,3420,3454.0
7779091,41,2317,2182.0
7779097,44,2292,2551.0
7779099,44,1858,2212.0
7779183,53,4388,4255.0
7779230,74,4566,4321.0
7779231,64,3064,3292.0
7779268,41,2411,2747.0
7779270,41,3258,2815.0
7779293,39,1869,2405.0
7779295,66,5842,5097.0
7779299,56,3264,3029.0
7779302,94,5421,4814.0
7779303,96,4095,4295.0
7779313,35,1406,1620.0
7779316,38,2706,2302.0
7779317,35,1478,1807.0
7779318,38,2228,2059.0
7779319,35,1662,1812.0
7779322,38,2118,2199.0
7779323,35,1966,1924.0
7779330,38,1682,2042.0
