trip_id,stop_count,actual_duration,predicted_duration
7497941,47,2976,2380.0
7497942,58,1971,2068.0
7497948,54,2429,2496.0
7497997,52,3496,3253.0
7498008,27,2052,2206.0
7498010,46,3344,3619.0
7498017,14,880,906.0
7498020,15,880,909.0
7498086,32,895,1218.0
7498087,37,1380,1531.0
7498103,61,3770,3617.0
7498104,61,5363,4389.0
7498106,62,5842,4652.0
7498107,64,4445,4517.0
7498126,23,1048,1170.0
7498217,38,2067,2913.0
7498218,67,3195,4203.0
7498222,28,1609,1332.0
7498251,39,2643,2717.0
7498266,48,2774,2509.0
7498268,48,3175,2974.0
7498270,43,3804,2990.0
7498271,38,2496,2372.0
7498275,50,3833,3191.0
7498277,27,1835,1559.0
7498319,67,3039,3477.0
7498320,65,3563,3810.0
7498322,53,3200,2989.0
7498326,64,3957,4222.0
7498327,64,4104,3845.0
7498342,46,4220,3633.0
7498344,47,3691,3707.0
7498396,87,4296,4283.0
7498399,85,5962,5370.0
7498400,29,2530,2393.0
7498401,62,4436,4640.0
7498406,49,2736,2519.0
7498407,48,2717,2874.0
7498415,48,4235,3850.0
7498416,50,3154,3459.0
7498457,45,3255,2791.0
7498460,35,2174,2157.0
7498502,46,2763,2845.0
7498504,46,3644,3357.0
7498511,29,2034,2076.0
7498517,49,3238,2656.0
7498522,53,2374,2277.0
7498523,49,2316,2315.0
7498528,48,3880,3860.0
7498530,47,3705,3775.0
7498532,48,3387,3603.0
7498547,72,3809,3898.0
7498555,72,3939,3759.0
7498592,77,5138,4737.0
7498595,78,5622,5379.0
7498655,47,3111,3158.0
7498656,49,3603,3501.0
7498659,33,3347,2831.0
7498662,47,4298,3412.0
7498664,48,3506,3057.0
7498666,26,1750,1204.0
7498698,54,4043,4143.0
7498726,34,1982,2056.0
7498730,35,2474,2446.0
7498735,24,1051,1156.0
7498737,24,1271,1333.0
7498760,61,4027,3466.0
7498761,57,3983,3605.0
7498787,65,4499,4497.0
7498788,66,4311,4315.0
7498789,65,4315,4237.0
7498824,81,4655,4475.0
7498828,76,4445,5403.0
7498829,81,4651,4369.0
7498847,64,4083,3791.0
7498848,63,3991,3146.0
7498859,63,4916,4603.0
7498860,63,5212,4276.0
7498893,75,5930,5130.0
7498895,80,5477,5265.0
7498897,81,5148,5019.0
7498900,41,2088,2233.0
7498905,54,5059,3971.0
7498910,47,3031,3034.0
7498912,41,1867,1975.0
7498914,89,4433,4400.0
7498921,81,3788,4162.0
7498924,74,5011,5061.0
7498928,75,4156,4322.0
7498934,45,2941,2949.0
7498939,53,2938,3505.0
7498942,38,2186,2554.0
7498948,77,4625,4742.0
7498950,76,5535,5408.0
7498952,78,5536,5564.0
7498953,81,4949,5112.0
7498957,34,1290,1314.0
7498958,34,1280,1619.0
7498960,34,1542,1798.0
7498964,34,2633,1824.0
7498965,34,1768,1710.0
7498966,34,2301,1920.0
7498988,47,2947,3497.0
7498990,39,2446,2451.0
7499047,42,2639,2669.0
7499101,52,3227,3879.0
7499185,61,2387,2852.0
7499186,57,2738,2711.0
7499187,53,2850,2737.0
7499188,58,3844,3239.0
7499213,35,1738,1838.0
7499216,37,1786,1983.0
7499305,50,2631,2635.0
7499307,50,3103,2971.0
7499308,45,3146,3188.0
7499357,65,4759,4320.0
7499403,65,3992,4061.0
7499406,67,4313,4416.0
7499427,84,5727,5158.0
7499434,81,3316,3473.0
7499454,17,781,788.0
7499459,19,1202,1211.0
7499460,16,1322,1031.0
7499463,17,714,891.0
7499466,17,590,736.0
7499469,58,2655,2698.0
7499470,51,2944,2742.0
7499472,50,2600,2574.0
7499635,69,4155,4213.0
7499637,80,4908,4802.0
7499640,81,3654,3361.0
7499644,52,2550,2874.0
7499646,52,2316,2490.0
7499649,14,1348,889.0
7499650,15,619,637.0
7499653,12,1227,864.0
7499654,15,684,724.0
7499655,12,1256,922.0
7499668,15,628,694.0
7499708,54,4411,3497.0
7499710,37,3126,2817.0
7499712,29,2210,1759.0
7499774,69,4919,4596.0
7499892,51,3877,3231.0
7499893,41,2742,2525.0
7499895,55,4424,4124.0
7499896,47,3983,3439.0
7499913,30,1562,1922.0
7499989,68,3385,3554.0
7499991,55,2838,2971.0
7499994,60,3659,3753.0
7499998,58,2707,2577.0
7500036,53,3536,4000.0
7500038,61,3116,3758.0
7500113,14,531,674.0
7500134,38,2314,2612.0
7500135,12,805,716.0
7500136,23,2179,2069.0
7500142,41,3096,2626.0
7500172,55,3697,3281.0
7500187,28,1298,1186.0
7500189,27,1447,1379.0
7500194,28,1434,1552.0
7500197,24,812,892.0
7500250,68,3016,3108.0
7500252,68,3705,3680.0
7500253,56,3484,3077.0
7500261,58,2470,2499.0
7500263,54,3482,3455.0
7500264,57,3330,3423.0
7500327,49,2712,2719.0
7500328,47,3727,2871.0
7500334,56,3216,3221.0
7500342,68,4588,4757.0
7500347,61,2598,3164.0
7500352,52,2981,3300.0
7500354,53,2589,2831.0
7500368,41,3639,2932.0
7500372,40,2719,2720.0
7500373,38,2651,2468.0
7500375,41,2724,2305.0
7500389,89,3270,3959.0
7500393,87,7031,5638.0
7500440,65,4278,4547.0
7500467,41,3658,3626.0
7500469,42,3459,3291.0
7500471,52,3856,3044.0
7500477,23,1506,1470.0
7500480,11,574,931.0
7500506,56,3172,3050.0
7500507,49,3252,3089.0
7500509,47,2839,2854.0
7500510,49,2392,2492.0
7500519,34,1818,1786.0
7500523,34,1890,1992.0
7500530,44,2997,3019.0
7500531,36,2913,2480.0
7500534,44,3413,3375.0
7500538,42,1971,2241.0
7500620,60,3157,2986.0
7500625,45,2779,3080.0
7500626,66,4668,4582.0
7500628,65,4758,4329.0
7500629,68,4940,4631.0
7500630,66,4057,3664.0
7500646,66,4058,4409.0
7500653,35,2694,2647.0
7500676,43,2585,2269.0
7500678,44,2742,2693.0
7500679,40,2952,2637.0
7500700,45,2363,2534.0
7500759,69,5616,5124.0
7500795,25,1461,1471.0
7500796,23,1386,1400.0
7500799,25,1481,1661.0
7500802,23,1254,1527.0
7500902,45,2580,2090.0
7500935,46,2420,2669.0
7500937,46,3062,3006.0
7500938,38,2847,2543.0
7500940,28,2687,2158.0
7500948,41,2713,2358.0
7500975,23,1462,1179.0
7500976,25,1237,1316.0
7500978,24,1304,1344.0
7500979,23,1463,1349.0
7500984,24,1403,1622.0
7500985,23,1533,1527.0
7500986,24,1609,1583.0
7500988,25,1770,1653.0
7500991,21,1224,1257.0
7501049,17,739,830.0
7501050,19,977,954.0
7501058,19,1084,1080.0
7501060,67,3313,3796.0
7501061,70,5056,4437.0
7501062,65,4839,4481.0
7501063,64,4170,4406.0
7501066,67,4855,4879.0
7501068,66,4822,4070.0
7501108,50,3474,3310.0
7501136,61,4657,4519.0
7501137,64,3873,4323.0
7501186,50,2762,2633.0
7501187,51,3127,2997.0
7501190,49,3793,3288.0
7501191,42,3828,3029.0
7501194,48,3089,3342.0
7501251,49,3455,2905.0
7501336,85,3740,4295.0
7501338,81,4519,4608.0
7501359,73,4540,4696.0
7501362,68,4330,3594.0
7501401,58,4878,3600.0
7501402,31,2653,1997.0
7501406,61,4408,4006.0
7501407,64,5105,3618.0
7501428,42,2708,2833.0
7501429,53,3193,3152.0
7501431,47,3300,2836.0
7501433,56,4061,3923.0
7501434,52,4095,4019.0
7501447,20,956,1095.0
7501450,23,1258,1424.0
7501466,40,1709,1941.0
7501477,88,6588,5920.0
7501480,83,4649,4420.0
7501481,38,1348,1592.0
7501497,88,5430,4402.0
7501500,77,4952,4384.0
7501501,85,4321,4864.0
7501558,55,2921,2817.0
7501559,57,2328,2789.0
7501561,57,3581,3500.0
7501567,58,3708,3346.0
7501568,55,2978,3674.0
7501570,50,1844,2026.0
7501620,17,778,855.0
7501621,19,1019,975.0
7501691,58,2990,3333.0
7501694,43,3242,2813.0
7501700,47,2554,2566.0
7501785,73,4139,3749.0
7501839,28,2175,1841.0
7501842,63,4008,4064.0
7501844,35,1073,1524.0
7501847,35,2289,2052.0
7501848,36,1693,1954.0
7501850,30,1375,1494.0
7501852,31,1368,1597.0
7501854,35,2195,2112.0
7501856,36,2084,2058.0
7501867,19,986,1075.0
7501868,19,1291,1153.0
7501872,48,3405,3534.0
7501892,25,1308,1333.0
7501893,24,1168,1290.0
7501894,23,1290,1253.0
7501933,50,2662,2729.0
7501936,49,3877,3543.0
7501940,49,3083,3315.0
7501941,50,2954,3271.0
7501942,50,1695,1818.0
7501945,49,2109,2378.0
7501947,44,1827,2042.0
7501948,46,1722,2137.0
7502103,47,3197,2811.0
7502106,57,4282,4225.0
7502111,30,1668,1315.0
7502131,40,2935,2389.0
7502134,38,1723,1808.0
7502199,34,1411,1474.0
7502201,34,1430,1258.0
7502207,68,3038,3569.0
7502208,81,3803,4344.0
7502210,76,4670,4534.0
7502211,35,2610,2438.0
7502254,69,5248,4926.0
7502255,65,3364,3776.0
7502256,16,538,661.0
7502259,13,699,732.0
7502261,12,733,726.0
7502263,15,749,824.0
7502266,11,594,652.0
7502267,16,805,797.0
7502271,14,796,950.0
7502272,15,749,743.0
7502275,85,3572,3831.0
7502280,53,2551,2307.0
7502285,49,2889,2541.0
7502286,53,3241,2320.0
7502339,47,2495,2385.0
7502341,45,2511,2626.0
7502345,50,3615,3344.0
7502351,50,2885,3368.0
7502407,43,2021,2174.0
7502408,41,2036,2123.0
7502409,43,2263,2328.0
7502410,41,2055,2371.0
7502418,43,2232,2406.0
7502424,75,5444,5439.0
7502426,77,4673,5290.0
7502427,86,4131,3532.0
7502431,54,2800,2575.0
7502450,88,6872,5979.0
7502452,89,6317,5837.0
7502468,60,3428,3204.0
7502498,68,3723,3757.0
7502539,73,3398,3378.0
7502541,69,3523,3773.0
7502542,64,4466,4703.0
7502543,67,4890,4203.0
7502548,65,4067,3868.0
7502549,42,1785,1776.0
7502617,59,2422,2942.0
7502621,53,2773,2944.0
7502625,38,2397,2610.0
7502628,40,2564,2934.0
7502672,52,3245,3137.0
7502674,49,3826,3270.0
7502676,52,3692,3639.0
7502680,52,3480,3256.0
7502681,54,3007,2983.0
7502682,52,2575,2769.0
7502731,28,1331,1328.0
7502733,28,1804,1604.0
7502734,24,1380,1334.0
7502735,24,963,963.0
7502876,41,2070,2364.0
7502878,43,2575,2618.0
7502881,46,2745,3025.0
7502884,44,2006,2182.0
7502885,47,2321,2369.0
7502886,44,1539,1890.0
