hour,count,mean,std,mae,rmse,r2
4,117,41.0,23.0,7.51351187782239,10.309347190353904,0.7946091904894712
5,6175,49.0,44.0,14.535670030337767,25.431923941013622,0.6660293794357335
6,57457,56.0,41.0,15.547607968524359,24.792551384323893,0.6402107566079944
7,127284,69.0,66.0,19.644024164612315,37.42654220964462,0.6800817035850203
8,136024,82.0,75.0,24.080067690092676,45.03001534218716,0.6370076841854015
9,142395,72.0,70.0,21.697327136044787,41.65839047484186,0.6415601742227726
10,126105,66.0,64.0,19.07693816564509,40.68362166698537,0.5960489296193052
11,115314,68.0,62.0,19.192157199421235,37.16443919318581,0.6443196080310754
12,113981,71.0,67.0,19.640475835035865,40.19481800024133,0.641682787574641
13,110753,72.0,64.0,19.683465519661247,39.127528948339155,0.6209651866686166
14,114081,72.0,62.0,19.95922399820269,36.27197353084725,0.6528303687358795
15,117618,74.0,65.0,20.72733346272075,40.82119028347683,0.6051564938560505
16,124567,77.0,70.0,21.654614720985254,40.09562026985266,0.675789112268342
17,134388,81.0,76.0,22.892290470157246,42.8650857434083,0.684756893768695
18,136018,74.0,65.0,20.762320414634182,36.76771122855553,0.68384816806546
19,104326,66.0,61.0,18.45501048899344,36.81339636035637,0.6322993699306942
20,88888,61.0,59.0,16.938350716228786,36.41881148051826,0.6153091537135026
21,80937,58.0,57.0,16.085480988527326,36.54591500919493,0.5886656133486943
22,77954,54.0,54.0,14.965573476239088,31.55878938598189,0.6560840595862911
23,72748,47.0,43.0,14.070213201009546,25.961127675372357,0.6367465925782647
0,7862,45.0,33.0,12.112505951718655,19.00234512134494,0.6778216990699037
1,133,72.0,67.0,27.21735225016203,40.201037722278336,0.6389667996302758
