hour,count,mean,std,mae,rmse,r2
4,120,40.0,29.0,11.123551631216298,20.981721537537037,0.4568514169257366
5,5910,51.0,44.0,13.083405605407883,19.75165159044989,0.7947626183769074
6,70304,55.0,47.0,14.761028931867422,27.349825159658803,0.6588447238540002
7,156682,65.0,62.0,17.722781656369655,38.99670096579178,0.6071249172599333
8,166296,75.0,68.0,20.78739344830983,41.65364079972765,0.6256965370405602
9,155063,68.0,70.0,19.67964448349229,42.857065258058185,0.621060724031261
10,133150,66.0,65.0,18.839646519317657,40.90556269944235,0.5995767729558512
11,125402,69.0,60.0,19.05270374052179,34.51925721079219,0.6672711151908738
12,127523,70.0,62.0,19.16766836023981,36.307023795130384,0.6598330468037534
13,128607,71.0,61.0,19.20107083999407,34.8660763071081,0.6763566731971795
14,125754,71.0,63.0,19.608019861655034,36.39637091489469,0.6616234934769925
15,126443,73.0,65.0,20.164602816401093,37.82297679210542,0.6562771628766442
16,134608,76.0,71.0,20.99537619057889,39.061638768115955,0.6944416943266768
17,145899,80.0,76.0,21.8756196368018,41.77810307506638,0.6942739486977343
18,148975,73.0,67.0,20.1326330776386,37.50289676738453,0.6886659460476926
19,124365,66.0,59.0,17.94354265518303,34.864546437626615,0.6551579375760974
20,101779,61.0,57.0,16.632919326389384,33.91248362109471,0.6450776514870715
21,94468,58.0,59.0,15.940363673594945,35.831656107431634,0.6300791358297908
22,97115,53.0,55.0,14.83723710986316,35.79004871824008,0.5812969738202441
23,94150,48.0,42.0,13.65705607805131,24.996548750575933,0.6506547096996276
0,8764,44.0,33.0,11.632486364585017,19.02647342458343,0.6730591687926499
1,98,55.0,52.0,26.575145964255455,58.244603621927794,-0.2649989985024268
