hour,count,mean,std,mae,rmse,r2
4,80,39.0,23.0,8.094656906750853,11.639768994613728,0.7458677384175625
5,6245,50.0,49.0,13.99947579730616,25.53326000437772,0.7321495038055752
6,49099,56.0,45.0,15.843211198858846,30.139656544859474,0.544096322070242
7,102954,69.0,70.0,19.64818357057262,40.50559223010206,0.6630111585796239
8,110411,81.0,72.0,23.372142031721992,41.10193429239746,0.6766322913159724
9,111503,71.0,69.0,21.358704768568124,43.24769522494525,0.6120651458247262
10,98027,67.0,61.0,19.2392283266282,36.68226805685118,0.6338847808542634
11,95490,70.0,62.0,19.922139559032075,36.203507161863,0.656136531047901
12,91134,73.0,65.0,20.59994820710494,37.918552663431896,0.6544307170962558
13,94986,75.0,62.0,20.579310455405558,34.483889977652474,0.6878005208277788
14,101305,75.0,65.0,21.236959474524404,38.41218094593364,0.6525707576715383
15,96005,76.0,63.0,21.24490229713725,36.06234394947858,0.669995146100901
16,96121,81.0,72.0,22.71817905671455,39.874919621879,0.689682037613846
17,103194,84.0,80.0,24.2602131570101,43.20564924872747,0.7080525482686062
18,113061,76.0,72.0,21.432049660987435,39.87711219144147,0.6947176701481365
19,92224,69.0,62.0,19.37225370318133,35.9839705762045,0.6682277714765826
20,76427,62.0,57.0,17.858072592701255,34.334909479648125,0.6428236444684385
21,67575,59.0,59.0,16.845125028634236,36.15491822065791,0.6286915571769127
22,63249,55.0,61.0,15.567236234795384,35.756473310706944,0.6555703050416428
23,55060,51.0,47.0,15.26753381915139,28.71207770489034,0.633122692049624
0,5900,47.0,35.0,12.742431959402975,21.13852477477019,0.6281138470582797
1,188,61.0,61.0,20.874778382032186,31.508134591517674,0.7318409591613164
