hour,count,mean,std,mae,rmse,r2
4,121,38.0,24.0,8.175786704648736,10.818507397771324,0.8014304028901345
5,6271,48.0,41.0,14.585348742554066,28.401307740724423,0.5250374253450625
6,61126,58.0,50.0,16.172590739477336,32.1972834003597,0.5877051161415017
7,128722,69.0,64.0,19.770332098259136,39.43345887952088,0.6204590273632377
8,132757,82.0,73.0,23.982473954386155,41.73692156826759,0.6748460996247063
9,134975,72.0,70.0,21.52337191064378,41.123980756595635,0.650409971717472
10,112571,65.0,63.0,18.978270265060345,39.376343473349515,0.6039517777470587
11,115853,67.0,57.0,18.35014355022927,33.32407278929619,0.6551666396548741
12,114860,69.0,64.0,19.13420040606648,39.24726790067389,0.6281993005488672
13,112648,71.0,62.0,19.281617682282025,36.13660336974135,0.6574093643954784
14,111751,71.0,61.0,19.654443193344264,36.46754531261221,0.6371913851299678
15,113865,73.0,61.0,20.159192725009007,36.738623572090724,0.6425344352181783
16,124671,77.0,75.0,21.800030278283916,46.241529921530706,0.6223256004659635
17,131706,81.0,77.0,22.443143319178592,43.41466394835164,0.6819238393482314
18,130723,75.0,69.0,20.71574192957349,39.790283235091934,0.6670494168418657
19,108431,66.0,62.0,18.200281486067055,37.038101115382844,0.6457864346183972
20,91632,60.0,52.0,16.547652641939337,31.25140867681922,0.644942990696413
21,75188,56.0,50.0,15.261850732881362,30.058638261803793,0.6353240435389137
22,75424,53.0,55.0,14.900839021300351,35.81332984293764,0.581948055479045
23,70536,46.0,39.0,13.474910720577311,23.166794368300963,0.6513144277025821
0,3595,48.0,38.0,13.297509953947937,22.93867065593523,0.6267970663683764
1,32,58.0,68.0,15.908657694257851,22.515799946600275,0.8868198376998727
