hour,count,mean,std,mae,rmse,r2
4,188,34.0,22.0,8.387701102064465,11.43562238158139,0.7337000063446945
5,6524,49.0,38.0,14.16541723087858,24.33809801662509,0.5915614221665277
6,63450,56.0,44.0,15.652406066917514,26.048551664111745,0.642757701735696
7,138382,68.0,69.0,19.167467419734614,40.01939024108798,0.6590983601085239
8,146200,80.0,74.0,23.376127533166628,44.084002540471936,0.6416881725471418
9,146866,71.0,75.0,21.861113146076065,44.657863273457004,0.6411941798646048
10,136797,63.0,64.0,18.607680950544335,41.636509913038964,0.5717560054647769
11,128301,65.0,60.0,18.14223690360026,35.68693905613891,0.6405321477861105
12,129420,67.0,62.0,18.53652262133316,37.011746442607034,0.6491738173020529
13,131348,68.0,59.0,18.649992261166183,35.14243042355082,0.6449658069193559
14,123641,70.0,61.0,19.58016920465383,37.68535692719274,0.620849197096522
15,129630,71.0,61.0,19.72031586095212,35.88031927832449,0.6576891351902769
16,143035,76.0,72.0,21.12849059600864,41.66616085964488,0.664719389272742
17,153028,79.0,74.0,22.062904081223436,41.926911362933886,0.6806851498117643
18,155085,73.0,65.0,19.918697048503315,37.0706355225571,0.6763134023092361
19,129827,64.0,58.0,17.243321070628177,34.02913205484252,0.65605286361821
20,106680,58.0,54.0,16.005219082165116,36.090775552228344,0.5522456484938932
21,93089,54.0,56.0,14.90783348343352,34.504928577978,0.6201864545806133
22,87759,50.0,51.0,13.839764803814852,31.67814783784566,0.6122596964466642
23,77244,46.0,42.0,13.354891009395947,27.590763439886146,0.5765718029574166
0,5619,43.0,30.0,11.24093981653608,17.466151317765185,0.6505573521151602
1,68,59.0,63.0,20.57237953249043,30.346051512742857,0.7675339991323783
