hour,count,mean,std,mae,rmse,r2
4,60,37.0,23.0,7.488328196513382,9.448438666521374,0.823644253920856
5,5884,48.0,36.0,14.075858569783477,21.039334552274433,0.6572580201670861
6,63159,56.0,47.0,15.250909960016912,31.034742099964284,0.5651430557348014
7,147852,65.0,65.0,17.531037298563977,37.15663735834041,0.6745783663177268
8,162843,73.0,70.0,20.480650963418295,41.995044001288676,0.642086004146089
9,144381,68.0,73.0,20.196235229052068,44.229814547776435,0.6318827720662803
10,120049,65.0,69.0,18.834053531110204,42.54079557207932,0.618065385529371
11,115506,67.0,61.0,18.684097780765082,36.39249878351304,0.6413041286817871
12,121206,69.0,66.0,18.78169753862388,36.97332019611934,0.6870370567817126
13,125063,70.0,61.0,19.047389949875623,35.267779611128546,0.6648523375849411
14,122981,69.0,63.0,19.25256714564771,38.19383961837303,0.6351762796817375
15,122092,69.0,65.0,18.91652035762618,39.323448782529866,0.6294177480257575
16,123433,75.0,78.0,21.024929679143767,46.03439128450169,0.6537443908242111
17,132146,78.0,74.0,21.672747023642213,42.20745294568439,0.6753813078640305
18,141034,73.0,69.0,20.035897038048866,40.302058810091225,0.6569694858765043
19,116616,65.0,65.0,17.755199055745848,38.41773292817,0.6469727361596451
20,92977,60.0,67.0,17.24079053354025,44.09426716729696,0.5610968569663499
21,84425,57.0,57.0,16.025644314893427,35.47678194873311,0.6165859800309414
22,82169,55.0,59.0,15.503083798337128,36.68068161358079,0.608519990945071
23,78159,48.0,44.0,13.879392694714433,26.804026578393252,0.6261803631504437
0,7847,45.0,34.0,11.788436360603221,17.888069153269008,0.7180269025845817
1,161,63.0,62.0,21.40395991245839,29.631274291416766,0.7720740969441604
