hour,count,mean,std,mae,rmse,r2
4,6,46.0,27.0,18.02448700832629,24.97213562015913,-0.0625146513104422
5,5408,49.0,36.0,15.210331858294625,21.59481319212803,0.64522242609896
6,57007,56.0,47.0,15.683802898390777,31.42172804491596,0.5460736823387482
7,130410,65.0,62.0,17.96120274904192,36.241422032416644,0.6615643984032529
8,141692,78.0,75.0,22.21783499369436,46.03177609882875,0.6246410729781156
9,138176,70.0,73.0,20.795837106935252,46.396646819649625,0.595378354406136
10,118695,67.0,66.0,19.301141504981057,41.19637760153828,0.6124553001695403
11,107710,68.0,63.0,19.046482460351925,37.544111038997464,0.6495727291283627
12,108282,70.0,64.0,19.227175602438333,38.113597249793756,0.6441887567214526
13,112890,71.0,65.0,19.525556707064744,39.51402936806435,0.630149299921114
14,102553,73.0,62.0,20.108072229942056,37.808863345616516,0.6337491054474838
15,111348,71.0,62.0,19.39891030163689,37.298935667657865,0.6387740479255364
16,117357,75.0,69.0,20.90875418185253,40.94089830721131,0.6474980605848182
17,133300,79.0,74.0,21.834569794756668,41.53887536565696,0.6813988039148504
18,131631,73.0,65.0,19.996833731216118,37.38064823783704,0.6734904340717919
19,107082,64.0,56.0,17.73177234209769,33.812898224638815,0.6325917139977635
20,92891,59.0,59.0,16.56784339977535,36.601156590925754,0.6110153427761361
21,76683,56.0,57.0,15.912169703297266,34.42827338777376,0.6356518927940359
22,76740,55.0,57.0,15.23490489257684,35.400698740024296,0.617367946705401
23,66487,49.0,44.0,14.106883813741083,27.44998030905465,0.6051237465161731
0,7260,45.0,32.0,12.51977742732453,19.02450936134815,0.6446144923801297
1,179,54.0,51.0,16.624069087177716,22.306015678372276,0.8084779280455793
