hour,count,mean,std,mae,rmse,r2
4,96,40.0,23.0,7.163705501520752,9.109042700897557,0.8430550898341858
5,4442,49.0,42.0,15.055361422727517,26.7594350928465,0.6029921698141916
6,57224,58.0,47.0,16.298075742247267,29.680823539526756,0.6044491636276751
7,124652,69.0,65.0,19.76317186968404,38.643863744200026,0.6472975418878857
8,133077,82.0,73.0,24.367462648380542,42.42464500990568,0.659971791829255
9,130853,72.0,67.0,21.951449331380438,41.95698188311456,0.6095495394388297
10,108893,68.0,64.0,19.823702582669178,38.85534976999574,0.6346525843524141
11,104936,69.0,58.0,19.54164069244477,34.49604583947806,0.647560898759789
12,100357,71.0,62.0,20.088567683896255,36.38457251619091,0.658461057323378
13,102018,72.0,63.0,20.11833285546452,37.59070912503646,0.6396743977068544
14,101899,74.0,68.0,20.76858358019451,42.258330212636395,0.6172600108931019
15,99382,75.0,66.0,21.52590752224557,40.04296910399249,0.6291081782284462
16,113410,78.0,73.0,22.258092750290835,43.06599605231323,0.6523403700078553
17,122457,82.0,77.0,24.0932905089257,46.71224168042694,0.6291493452821608
18,125535,76.0,71.0,21.75115107380742,40.31259299541341,0.6747665172444142
19,93730,68.0,63.0,19.038587360083035,38.49626362069598,0.6276147645413745
20,83842,62.0,64.0,17.50245178989415,41.13249527053685,0.5858312176812837
21,76051,57.0,63.0,16.0746983645764,37.350915815519095,0.6467812003814659
22,72293,53.0,58.0,14.978778305504456,35.79641572165064,0.6162456931794007
23,59300,47.0,45.0,14.215061994730968,28.345990075766206,0.6004938366343435
0,4899,45.0,35.0,11.893191219808331,19.49078657673044,0.6832088531827212
1,20,63.0,58.0,20.67097246763594,30.491236652299474,0.7053937326037123
