hour,count,mean,std,mae,rmse,r2
4,37,50.0,46.0,15.461212056296159,42.36406228874338,0.14279284301025508
5,7288,49.0,37.0,14.293126223706944,22.335036179456182,0.6348171143139989
6,66525,56.0,43.0,15.74220190378738,25.746484383501876,0.641346264528105
7,147377,69.0,69.0,19.46888835624801,37.6027717765704,0.6994770119364385
8,155562,83.0,75.0,24.018424133939575,44.83014501801167,0.6428048767889905
9,155435,71.0,73.0,21.359291367837592,44.5159579888976,0.6305357092964117
10,133100,67.0,69.0,19.402817415011665,41.89871714364808,0.6351557106162229
11,127302,69.0,63.0,19.367673746599586,38.22383233892863,0.6307312439525226
12,120259,71.0,61.0,19.265926340002014,35.73186199501678,0.6562103616581043
13,121631,72.0,60.0,19.502066145654535,34.09705439548705,0.6741460030859625
14,119224,73.0,64.0,20.38164282207795,37.88182949529027,0.6474496648469574
15,128281,74.0,62.0,20.637616142042,36.79031235242275,0.6432663187365892
16,134472,78.0,71.0,22.101336870501125,41.101886067599445,0.6635091434281165
17,149511,82.0,76.0,23.32688654403223,42.72056626695172,0.6840422839532325
18,145022,76.0,69.0,21.472139730557323,39.666962930859476,0.6661624550970642
19,117028,66.0,58.0,18.39054778541642,34.76836364048001,0.6453537261865583
20,96718,60.0,61.0,17.18444446658776,38.98765808515419,0.5922375787367762
21,87400,57.0,51.0,15.75343921517282,32.31948645606471,0.5944925555643581
22,83653,54.0,56.0,15.17996240782869,34.83528570915222,0.6110809545042653
23,75074,48.0,42.0,14.370907856523742,26.11036846855188,0.6199438472698338
0,7393,45.0,32.0,11.922197330591866,19.06623262129803,0.6488043181823331
1,93,63.0,60.0,17.156719581733448,21.760962276845508,0.866018587755844
