hour,count,mean,std,mae,rmse,r2
4,35,31.0,17.0,9.364959092989608,12.165072155800452,0.459775129386805
5,6668,53.0,79.0,17.296506964885868,56.17366332507608,0.4901297430738146
6,65773,60.0,46.0,16.59077543936098,26.782272585737314,0.6655962820469923
7,135713,72.0,70.0,20.68669247973113,40.16155164736284,0.6670993733581299
8,144794,86.0,74.0,25.22235348595691,42.624742104144985,0.6718568234713059
9,151630,75.0,73.0,22.58883814778876,43.38353999689877,0.6453984503356369
10,126332,69.0,67.0,20.368855583150314,42.834988127807826,0.591357558031578
11,125473,69.0,60.0,19.42401462991343,36.26364962652396,0.6344708834549903
12,123821,71.0,65.0,19.71339119399182,37.837811959194866,0.6616920747583326
13,119503,73.0,61.0,19.861797468429746,35.22513108354936,0.6663175348142079
14,116575,75.0,66.0,21.05231046848398,39.291831673928236,0.6405988559723479
15,124984,77.0,66.0,21.771678253130577,40.58480270193937,0.6272711084137735
16,124704,82.0,76.0,23.419325963403086,45.499109952993415,0.6389248809602892
17,132743,89.0,81.0,25.111321935029054,43.81564336733655,0.7055839763347143
18,146741,79.0,71.0,21.672317351865555,38.98985288364477,0.6950669073053946
19,116928,69.0,63.0,19.316871499172173,37.61527923420216,0.6409572089675561
20,95334,62.0,58.0,17.335247535950103,35.55340816967416,0.6269971398607412
21,88469,59.0,65.0,16.785021483977445,41.20022336674032,0.6038988610636333
22,92178,55.0,62.0,15.514862419804835,37.55211933123291,0.6290014108826614
23,75739,49.0,43.0,14.482295368115942,25.366081116765965,0.6582734383119768
0,7580,45.0,34.0,12.580833147204613,19.920159225689574,0.6656391271910951
1,14,42.0,23.0,10.056374568647708,13.2698000399262,0.6293091858919868
