hour,count,mean,std,mae,rmse,r2
4,188,37.0,23.0,11.786924248894573,23.394164285255457,-0.0725107241080829
5,5531,51.0,87.0,16.28363490419633,58.702447638090874,0.5395781035382834
6,64847,58.0,45.0,15.868647575869378,27.85863177756818,0.619359536260478
7,133810,72.0,62.0,19.774890211145106,34.62523999124373,0.6906516432405836
8,147588,86.0,73.0,24.555076589002983,41.49780096094617,0.6763024435213808
9,151130,73.0,69.0,21.62858498664068,41.65898425876002,0.6375884552577267
10,128822,67.0,66.0,19.548852021698732,41.451044025902654,0.6046664690367174
11,116167,68.0,60.0,19.119811830515932,36.69034533269835,0.6288225504616927
12,124355,71.0,63.0,19.215820651197895,34.99689065201945,0.6933104651235554
13,116840,72.0,61.0,19.703686629604853,35.99168931568657,0.657197734858975
14,118631,72.0,60.0,20.048180475109877,34.913870964466554,0.6604533783060568
15,124891,74.0,62.0,20.697113044042812,36.01056494889184,0.6596328727964051
16,128811,81.0,72.0,22.523101216264834,41.12872930262817,0.6761324963907038
17,141409,84.0,76.0,23.409000212935595,41.15865985096732,0.7041392234364356
18,145973,79.0,71.0,21.627088145996982,39.079170501688345,0.6938901947062752
19,112722,69.0,62.0,18.92874325832821,37.09108972961312,0.6390370643876753
20,98946,61.0,58.0,17.02247739748318,35.409306555121276,0.6261311011375004
21,84176,58.0,59.0,16.118724413710552,34.0329148800901,0.669704287512761
22,90732,53.0,54.0,15.001063178020573,33.702719407767056,0.6074052457670301
23,75407,49.0,47.0,14.450986014421984,30.16648879493974,0.5881137995403902
0,6993,43.0,31.0,11.116310682283537,18.046807509881905,0.6705663190669919
1,60,58.0,62.0,21.321397004949528,31.590704986476712,0.732306747149208
