hour,count,mean,std,mae,rmse,r2
4,92,34.0,22.0,10.801185108096918,14.32178138772063,0.558479447655806
5,4299,49.0,39.0,13.615243814552263,21.402972763074665,0.6957802924905769
6,49843,57.0,44.0,15.184713317546217,25.837765234251126,0.658720030590161
7,108514,69.0,62.0,19.232702221582947,35.92503383397196,0.6640107672677904
8,111204,85.0,74.0,24.08544024230862,41.935207199757116,0.6793661011069589
9,116800,73.0,70.0,21.232807959038254,40.903452209326105,0.6597980456249217
10,98985,67.0,66.0,19.229920456747607,40.98690800351255,0.6144923180720085
11,91433,68.0,63.0,19.01268870234751,37.09796827560678,0.6533949066411605
12,92837,70.0,62.0,19.020368763223853,36.350655812525055,0.6549798665736438
13,92415,72.0,61.0,19.375118338837876,35.179671198661524,0.6670082267083626
14,92292,73.0,62.0,20.05203614396799,36.964076664382475,0.641580587625159
15,92205,74.0,62.0,20.553547389585063,36.50750299078075,0.6522076716969721
16,97550,80.0,69.0,21.81712482654028,39.58703546096978,0.6689236436699357
17,106225,84.0,74.0,22.908819556910835,39.48186728082969,0.7178175497703423
18,123340,76.0,67.0,20.55089836032219,36.27654411015024,0.7041568265217062
19,104554,69.0,61.0,18.660040170584292,34.63144627632465,0.6747601327848292
20,87186,63.0,59.0,17.292013959255648,33.778808350844024,0.675227498563545
21,79308,59.0,58.0,16.11854815859674,34.454559310944866,0.6446183755388477
22,78548,54.0,58.0,15.185233181807112,39.24595405240742,0.5372801457829757
23,70110,49.0,44.0,14.005202058832959,24.841889879301092,0.6744856270076347
0,8353,46.0,35.0,11.945516703195745,19.690266122584454,0.6768395639595237
1,139,50.0,51.0,18.091313095402302,23.434657258949184,0.789664829079359
