hour,count,mean,std,mae,rmse,r2
5,288,44.0,33.0,12.77530395110479,18.442717765276296,0.6910866549075744
6,5055,46.0,35.0,13.223966736220488,20.741147054115896,0.6407924302350914
7,16461,48.0,53.0,14.621627111013483,39.56839856952648,0.4469093270907647
8,23812,52.0,48.0,15.014165515836337,31.663006906901664,0.5725322163572708
9,31401,57.0,55.0,16.56376630785098,37.319832934126055,0.5431264821615934
10,34803,60.0,63.0,17.60766176864055,41.26851665504852,0.5644868912995004
11,38336,63.0,53.0,17.976267035836035,33.129983401698745,0.6047563057904124
12,41313,65.0,62.0,18.989268441251813,35.933850851062616,0.6631277690790933
13,43695,67.0,57.0,19.420104824460864,35.450789493837455,0.6080418360547353
14,43580,68.0,61.0,19.586321228705515,35.71059275044263,0.6601372628562928
15,45117,66.0,56.0,18.82825024842737,33.60096083162053,0.6446295286797858
16,45212,65.0,64.0,18.746659090606894,36.934864774833784,0.670762848510489
17,43086,65.0,61.0,18.475601968785828,35.55946520888986,0.6557895789073833
18,42913,65.0,58.0,18.1902467133733,33.8985309821567,0.6529994260354233
19,40837,61.0,55.0,17.24309919718983,34.487576108619685,0.6006632245944535
20,35086,60.0,53.0,16.62096761523122,32.67918320709151,0.6267044278313281
21,33459,57.0,53.0,15.834265113949186,32.720706112087285,0.6179010367544708
22,33265,52.0,45.0,14.769712535655787,28.728896298909657,0.5997445532477552
23,30638,47.0,43.0,14.0470853995942,26.189441806858625,0.6279804927134545
0,2616,47.0,42.0,13.253341675362817,24.285034966344103,0.6583605297471422
1,38,57.0,49.0,19.682246902712908,31.33110336665132,0.5815986117726044
