hour,count,mean,std,mae,rmse,r2
4,12,37.0,26.0,6.6394743663536415,8.156265801700105,0.8932509528384592
5,369,42.0,48.0,11.491816250241303,19.18084261383771,0.8369128232505425
6,4301,45.0,39.0,13.076907373069991,24.975235716586315,0.5826614695089418
7,13541,47.0,43.0,14.63303572269943,33.93447576713557,0.3667535777814006
8,18048,50.0,54.0,15.071607700526194,35.110049052272984,0.5712818315579655
9,21793,53.0,61.0,16.70812934902867,40.73639814089502,0.5532782895378463
10,24078,55.0,59.0,17.98579065845395,40.42274497466028,0.526791293298495
11,24382,57.0,60.0,18.97783242268227,40.2236359013937,0.5545951142267229
12,24787,58.0,50.0,18.574712557080993,31.910541304536988,0.5987146587787355
13,25848,58.0,51.0,18.952542802830134,33.806445478781484,0.5619587470206268
14,25857,58.0,51.0,18.626506228603347,33.74999611244656,0.5615912015775457
15,26000,56.0,52.0,18.728048857004957,35.89756297443996,0.5281988248479955
16,26137,56.0,55.0,18.31706894508351,35.78580967816679,0.574580625890023
17,26406,57.0,54.0,17.9491256129894,34.260465610401425,0.5931973910972475
18,26474,58.0,54.0,17.788542965696205,34.30454532546452,0.6013613479203639
19,24757,59.0,54.0,18.22022534035518,32.32817440707184,0.6369026341560398
20,23128,56.0,52.0,16.80368827810547,32.86468472600155,0.6029388058350582
21,22559,54.0,54.0,16.286355294891344,34.66936831895603,0.5868010402615695
22,21826,52.0,56.0,16.332601766252257,34.18704650789193,0.6213416688168794
23,20659,47.0,41.0,14.464604319900431,24.482444476423467,0.6419121720623271
0,1829,43.0,35.0,12.164875724233804,21.99915420143424,0.6037746081544686
1,26,55.0,37.0,17.506218249918128,23.182735722252318,0.5937505051505887
