hour,count,mean,std,mae,rmse,r2
5,761,44.0,42.0,13.354315333641917,20.012153916290494,0.7776911886089555
6,7023,47.0,46.0,13.527184760132185,25.999171053218035,0.6858242181720764
7,20055,49.0,46.0,14.033976907323586,30.017235686113732,0.5803018892876832
8,28397,52.0,50.0,14.846325590570405,32.03432960265093,0.5856056428778753
9,34776,56.0,53.0,16.088401938017736,35.94239735686314,0.5480908524720568
10,40106,59.0,53.0,17.404118113001655,35.213970220433296,0.5516362100161658
11,41361,64.0,64.0,18.7218481355187,40.86384588672225,0.5951184215495762
12,40584,68.0,65.0,20.31681066103136,40.93937114896801,0.6020388328576545
13,44097,68.0,60.0,19.96521690925598,36.7439847448139,0.6267241665383518
14,44310,69.0,59.0,19.834487367912825,35.031115692749495,0.6441799458645621
15,43888,69.0,65.0,20.439859919168352,40.46836107283946,0.612245049081626
16,41738,70.0,63.0,19.894958871662737,36.789083990445924,0.6594363918716872
17,44000,68.0,63.0,19.24870341228145,36.49236348806266,0.6690264105090289
18,43465,67.0,65.0,18.687044547616235,36.40407754372531,0.6853419800875449
19,38852,65.0,65.0,18.5306650838697,39.35213614637903,0.6344506961936001
20,36008,61.0,54.0,17.183494945674497,31.999137823924286,0.6502532561720676
21,37042,56.0,58.0,16.36310844972032,35.85228694569645,0.6117073716276407
22,35295,53.0,59.0,15.591147068773704,39.13405239508793,0.5614656708964325
23,30013,50.0,48.0,14.810908216627118,28.649431994780926,0.6408118892869717
0,3379,48.0,42.0,13.795423169472215,24.142821712783103,0.6678056549545046
1,62,61.0,56.0,20.14002123971931,27.29139004949968,0.7607308484521251
