hour,count,mean,std,mae,rmse,r2
4,23,40.0,26.0,9.141388077593394,11.22255732365429,0.7998265689766441
5,494,41.0,28.0,11.632320197364235,20.30237400668391,0.4585369676944855
6,4786,46.0,36.0,12.328925602285643,21.922952391362763,0.6373442800937258
7,15137,47.0,39.0,13.50379549215749,30.73813805739752,0.39008044480740445
8,22013,50.0,39.0,14.340117543886583,27.0060655802573,0.5176627217950454
9,29212,53.0,52.0,15.302108868249665,33.98311838125917,0.5760019494124373
10,32282,56.0,58.0,16.461292844888685,40.29974945536053,0.5187594226174492
11,36921,60.0,56.0,17.332826594404317,33.7577331563862,0.636309352003041
12,38730,63.0,62.0,18.417388460781545,38.329474666843865,0.6161250145972894
13,39426,65.0,55.0,18.529232599315307,32.66129803914088,0.6484926953270196
14,38934,66.0,58.0,18.810984677530982,35.3263019079695,0.6311724545529946
15,39008,65.0,60.0,18.565048787634936,34.467755386117865,0.6657046831184941
16,41746,65.0,61.0,18.170474448319045,33.9248464256903,0.686700923381096
17,42369,65.0,57.0,18.016549909345116,33.06726481006028,0.6670015449052252
18,42776,62.0,54.0,16.860501560670563,31.17251415550539,0.6703182046128913
19,36925,59.0,53.0,16.358869726483704,32.69794382000023,0.6213793796526524
20,33741,56.0,53.0,15.717571200017098,34.98450035601228,0.5593661654548181
21,32413,53.0,52.0,14.761594687468467,30.937525322026136,0.6459343205181554
22,32654,50.0,55.0,14.281717026139642,37.02625584614424,0.554693205478901
23,27247,47.0,42.0,13.804411606502752,28.521604612089824,0.548129489186902
0,2216,43.0,32.0,11.583273488386371,19.553601269704313,0.6168242780808728
1,23,46.0,54.0,20.04758243141977,32.67969471829538,0.612148048149865
