hour,count,mean,std,mae,rmse,r2
5,439,41.0,35.0,13.617282676814824,19.416313100455046,0.6872322352122877
6,5612,48.0,38.0,12.724745102090951,22.244539512088416,0.6634611410451698
7,16249,49.0,51.0,14.354857285684323,38.5083837111338,0.4399561306321409
8,21797,52.0,47.0,15.070864240969726,31.07029397766067,0.5609068221169669
9,31035,56.0,52.0,16.252863912646795,36.26641707203718,0.5176907469054075
10,35112,60.0,53.0,17.124887366369805,34.244709465631615,0.5821309739134073
11,35292,63.0,57.0,17.72406868931159,35.837329833063,0.6060773029436697
12,36300,65.0,62.0,18.83676867126899,38.21348034469638,0.6243538331621583
13,36919,66.0,59.0,18.677664291092455,35.47356542641252,0.6374742855697367
14,37824,67.0,60.0,18.97471680059545,38.016945705472466,0.601847425454824
15,39774,66.0,59.0,18.517197840531008,35.6411182417485,0.6406136870696415
16,37811,65.0,62.0,18.278532128301002,35.75331168545035,0.6720387559483281
17,39762,65.0,62.0,18.05955465447397,34.16423029922949,0.6943163447475578
18,38015,66.0,60.0,18.549483171360894,35.855025005329516,0.647925697249189
19,35322,63.0,58.0,17.79694336235311,35.27605445095655,0.6245600933105625
20,30728,60.0,57.0,16.928881079884423,34.93264061329809,0.6242197798865206
21,29847,56.0,46.0,15.753213508169848,29.115832878253993,0.601351224913681
22,29518,54.0,52.0,15.566651429804528,34.42198836660542,0.5694452572203248
23,28547,51.0,44.0,14.877171357907512,26.111927374298677,0.6455788065078116
0,3491,48.0,36.0,13.081433158212949,20.916083416744733,0.6609589313140591
1,82,57.0,55.0,20.00737925931314,31.21500636680533,0.6796428147118418
