hour,count,mean,std,mae,rmse,r2
4,32,40.0,24.0,9.523187727480913,12.91374453985687,0.7112214853415708
5,417,39.0,28.0,10.929110892411872,17.91596119624232,0.5885725024898203
6,6603,47.0,40.0,13.070458406100052,24.38917760373828,0.6345047167405472
7,21141,48.0,53.0,14.138888236925775,38.57097582356362,0.46080297939604664
8,26480,52.0,48.0,14.762685681518569,30.756497087859348,0.590646795222777
9,34263,57.0,55.0,16.355149111972636,35.60676123789469,0.5829270606653294
10,36541,61.0,57.0,17.41375380364579,36.17526682012684,0.5934759641174397
11,39061,64.0,61.0,18.178908106960115,35.688664107460454,0.6534651662794324
12,39620,66.0,58.0,18.873873516636323,35.53879210116209,0.6243215245416498
13,43398,68.0,59.0,19.1218727889224,35.582435365324265,0.6300858511320001
14,43360,68.0,57.0,19.15851753256518,34.43479665278306,0.6369872655850481
15,42461,66.0,61.0,18.765274459828795,35.79950859119047,0.6531561389873324
16,43907,66.0,62.0,18.761687380661535,36.70019123890172,0.6445297505173377
17,45584,66.0,61.0,18.549315723050466,36.340730960263265,0.6433871013556776
18,41216,66.0,61.0,18.358012688894917,35.71854876468859,0.6546551971265984
19,39103,62.0,51.0,17.570047491746756,31.76269939621049,0.6136504780240827
20,36725,59.0,52.0,16.349753385308727,31.936097525664998,0.6155872592104875
21,34466,56.0,53.0,15.692772130268938,32.56968362383613,0.6167513742556175
22,34920,53.0,49.0,15.238927703977561,31.69546602914139,0.5813086428553077
23,31260,51.0,45.0,15.168677985177151,27.38254191703663,0.634927222436156
0,3660,49.0,35.0,13.16681514322457,21.68556348994153,0.6174932202303389
1,27,44.0,34.0,15.51919130568987,25.43426185868661,0.4291809127706063
