hour,count,mean,std,mae,rmse,r2
4,23,38.0,26.0,9.449393581216016,13.233428230483382,0.7279587111427019
5,722,41.0,39.0,13.182106713384787,25.796484523329845,0.5576833571653652
6,6952,45.0,43.0,13.39333342301711,24.341157139530385,0.6740666046845104
7,18486,47.0,58.0,14.423178971044157,43.63566630140211,0.42583364264167034
8,25484,51.0,51.0,15.421728377122081,34.64810019306382,0.5445260079258772
9,28283,55.0,52.0,16.268810156983626,34.1660277249342,0.5674033312656188
10,32601,59.0,53.0,17.362740922254837,33.58659383301468,0.591944513051178
11,33905,62.0,60.0,18.87100825935317,38.11362590874378,0.5958107970622181
12,37691,65.0,58.0,19.435615563277807,36.036106155517814,0.6114611380005611
13,40503,66.0,59.0,19.4999280140494,38.232842274163076,0.5840879163141246
14,40552,66.0,63.0,19.64346885933347,40.89855373682375,0.5815204287385225
15,41299,64.0,56.0,19.166112398650093,35.686972951495015,0.5995667673512494
16,42835,64.0,64.0,18.825848061176988,39.500167136146956,0.6197147065912652
17,41441,64.0,59.0,18.553965521741638,36.195643119933465,0.6255949068536557
18,43104,63.0,61.0,18.10804701668321,36.76771078374944,0.6323937799519697
19,37049,63.0,62.0,17.857330341097462,40.74789059443848,0.5674815471008563
20,33725,58.0,49.0,16.28133109066118,29.352963658636135,0.6414280771265031
21,31806,55.0,51.0,15.780476691241551,31.716042715840185,0.6074955778842426
22,32214,51.0,55.0,14.810817296242465,37.24860404697678,0.5345669654700249
23,30735,49.0,46.0,14.663817451559902,27.554320039311694,0.6377577705587729
0,2966,45.0,39.0,12.623683471511786,22.099107017902774,0.6707347995042534
1,47,56.0,55.0,20.56676517173826,30.250056673815855,0.69217138109821
