hour,count,mean,std,mae,rmse,r2
4,11,40.0,31.0,13.473037157599306,16.387739479223807,0.6826485542998928
5,599,43.0,32.0,12.440513887601544,19.22986865959976,0.6458733149320863
6,5140,46.0,35.0,13.082947083350984,20.279022263225013,0.6552688219905414
7,16759,48.0,45.0,14.138204212130972,31.019331361283243,0.5334940260326039
8,24169,53.0,53.0,15.34082523907737,35.65291277415099,0.5553826643610373
9,31033,59.0,60.0,16.65641696992778,39.50283878332492,0.5620728450092539
10,35178,61.0,56.0,18.079778965561758,38.21640835516352,0.5345636828023441
11,36044,65.0,58.0,18.493117524144335,33.984354937075,0.6616896592508346
12,38777,67.0,56.0,19.182220112938662,33.202292856563936,0.6515873152837391
13,38137,69.0,59.0,19.578171657175464,35.95712283782001,0.6253077489742348
14,36637,69.0,57.0,19.322744728554234,33.98766751909838,0.6457934696454197
15,37419,66.0,58.0,19.099233790219706,35.09565988939077,0.6343694829253627
16,37375,67.0,62.0,19.021397300961443,35.65172389455383,0.6646288403005132
17,38944,66.0,58.0,18.798038137743116,34.081124470469824,0.654679704971265
18,36579,65.0,56.0,18.15151979735883,32.454201876426445,0.6624931195550018
19,36069,62.0,52.0,17.384548203437653,31.12424235388114,0.6473847294713628
20,31113,59.0,54.0,16.698117775984752,34.78900203696056,0.5813636863575962
21,29622,56.0,51.0,15.41595434848226,29.83809466561794,0.6608392867622102
22,32126,53.0,46.0,14.794309184941362,28.503872866553515,0.6118533387031057
23,27911,50.0,43.0,14.59255761413703,26.723523259075144,0.6120930320431677
0,3234,46.0,34.0,12.515900529778923,19.763425320443094,0.654354035050647
1,5,74.0,92.0,10.817224578453075,14.13628898031028,0.9704554415635435
