hour,count,mean,std,mae,rmse,r2
4,11,38.0,27.0,10.353107765522884,11.65505280333613,0.7881162379447372
5,547,46.0,52.0,12.567224629635604,23.958280240246896,0.7866493447790014
6,5694,48.0,49.0,14.069200846174176,28.227924281761574,0.674294788729054
7,15957,49.0,47.0,14.500691426710056,31.459722709266472,0.5556141891681561
8,21878,53.0,50.0,15.34081446968295,31.992237697114806,0.5945846613932235
9,28399,58.0,54.0,16.953497677767345,35.95807001082432,0.5517074721684321
10,31588,63.0,57.0,18.379526055988652,36.502295647909044,0.5852297996831565
11,32468,66.0,58.0,19.191555426510398,34.56583951841676,0.6410731253589728
12,33380,69.0,58.0,20.20685614847034,34.78381797930923,0.644881214527045
13,36043,71.0,61.0,20.60432678330282,36.64370247951354,0.6398707009559346
14,34917,73.0,66.0,20.79964635137582,39.37641250616838,0.6464747659381823
15,34842,71.0,62.0,20.262652307950923,36.74564718726014,0.6491071383741576
16,34322,71.0,60.0,20.100311607079924,36.92808622877385,0.6195409541436252
17,35496,71.0,61.0,20.10003089343214,36.309432572596165,0.6504503043460541
18,34332,68.0,62.0,18.980626372071303,36.96732473587481,0.649985547630598
19,34151,63.0,62.0,18.276009551399518,38.63543836009852,0.6086284290288109
20,30858,59.0,52.0,16.60846078239733,30.64224543790232,0.6558420637573742
21,28462,56.0,56.0,15.991770172054396,36.19367501789827,0.5852874952206346
22,28311,54.0,55.0,15.652489054105624,36.27203750443321,0.5721482157603839
23,24414,50.0,49.0,15.27864363780548,30.863209988528485,0.6102413151711303
0,2446,48.0,39.0,14.46411634050478,24.32022146128665,0.6168885046513922
1,42,61.0,48.0,16.372651364467533,24.313296341352935,0.7357842183414158
