hour,count,mean,std,mae,rmse,r2
5,592,45.0,51.0,12.79714764727615,29.89272683326066,0.6510465487248851
6,6258,48.0,40.0,13.731494811541188,25.171355187177074,0.6012407005790463
7,16333,49.0,56.0,14.423200062594402,36.77688726278595,0.5617716047622144
8,21974,52.0,46.0,14.99361994166751,29.312693443003585,0.585813047898738
9,29570,58.0,54.0,16.770890652037014,37.06784420720575,0.5331246375156597
10,32425,61.0,63.0,17.68051004634507,39.398089142828695,0.6072736462086594
11,34649,64.0,53.0,18.57660948211495,32.365033528513884,0.6220481600239258
12,36946,68.0,61.0,19.6445731493608,36.304954759102095,0.6429997735107342
13,39484,68.0,56.0,19.68093222039529,34.41674400575733,0.6252683135929967
14,39499,69.0,62.0,19.787989404195226,37.20903043276966,0.6368977997636253
15,40679,68.0,59.0,19.85584385439842,36.286993690157935,0.6249865696363119
16,39629,69.0,65.0,19.64819930963138,37.98036261879526,0.6537912979266092
17,39498,68.0,58.0,19.036232305403182,33.19558825637763,0.6747055059136198
18,40197,67.0,62.0,18.709068009382563,36.24595555157804,0.6575821746067521
19,35167,65.0,57.0,18.16496997897306,34.34828090160533,0.6412211779388506
20,31384,60.0,53.0,16.636502259891127,32.10323692002831,0.6362368772793251
21,32722,56.0,56.0,15.885450042688245,36.35374777704227,0.5726738663282072
22,31516,53.0,52.0,15.34053844549132,31.169508738886947,0.6346143561827245
23,27981,50.0,48.0,14.87890314463369,28.957049622919765,0.6361097668936153
0,2699,46.0,35.0,12.755826849171886,20.82445184965215,0.6529253538378592
1,27,60.0,39.0,14.2414794367722,20.545127802135738,0.7104421392530708
