hour,count,mean,std,mae,rmse,r2
4,21,38.0,24.0,5.2962520412678,6.994716276790751,0.913059423611557
5,726,44.0,44.0,12.213344411227082,20.685726646827185,0.7810977336793379
6,8526,47.0,38.0,13.218487967562641,25.150700879060977,0.5618097063793654
7,27480,48.0,42.0,13.758878478287356,30.54798817175847,0.47763648007580084
8,35490,53.0,50.0,14.79869418961005,34.97324996144884,0.5121590680853642
9,44325,58.0,55.0,16.256623824390456,35.5440772191139,0.585160992026947
10,50173,61.0,54.0,17.28509067653786,33.38594945591809,0.6189193608330674
11,52038,65.0,58.0,18.691573914457845,36.841446418527184,0.595311332229047
12,55020,67.0,57.0,19.23932659776132,33.62841558626256,0.6556933619940495
13,57878,69.0,57.0,19.59854635202475,34.35068144614005,0.638958594229422
14,56597,68.0,59.0,19.462195667078497,35.8407560534248,0.6348573861354306
15,55463,68.0,57.0,19.436003533894382,34.75943336945678,0.6260278446127556
16,57055,68.0,59.0,19.21477541721961,36.39578585511577,0.6215230341752135
17,58258,67.0,59.0,18.936075270616815,34.34833218248762,0.662844672901058
18,57652,66.0,61.0,18.169022750548606,35.67393411592166,0.6547317458216979
19,52296,64.0,54.0,17.559665226292758,31.873766032595316,0.6454643930780233
20,48078,60.0,51.0,16.604355002450177,31.51776621805988,0.6166619560699367
21,46323,56.0,52.0,15.490982994817742,33.01363415099225,0.6029648007708137
22,46269,53.0,56.0,14.812852300371246,36.04661956041274,0.587385663244149
23,41740,49.0,45.0,14.065319917311353,26.386721316550823,0.6512588239126863
0,3356,48.0,38.0,12.471600194214732,21.331954434902705,0.6795955093576246
1,44,60.0,76.0,21.31909140465859,32.683067771795166,0.8105298451250686
